"";"id";"finess";"nom_etab_1";"nom_etab_2";"nom_etab_long";"compl_etab";"compl_distr";"achemin";"comm";"dept";"lib_dept";"num_voie";"typ_voie";"lib_voie";"categ_etab";"lib_categ_etab";"categ_etab_agr";"lib_etab";"siret";"code_ape";"code_mft";"lib_mft";"code_sph";"lib_sph";"date_ouv";"date_autor";"date_maj";"num_educ"
"1";"010000024G1";"010000024";"CH DE FLEYRIAT";"CH DE FLEYRIAT";"CENTRE HOSPITALIER DE BOURG-EN-BRESSE FLEYRIAT";NA;NA;"01440 VIRIAT";"451";"01";"AIN";"900";"RTE";"DE PARIS";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26010004500012";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1979-02-13";"1979-02-13";"2020-02-04";NA
"2";"010000032G1";"010000032";"CH BUGEY SUD";"CH BUGEY SUD";"CENTRE HOSPITALIER BUGEY SUD";NA;NA;"01300 BELLEY";"34";"01";"AIN";"700";"AV";"DE NARVIK";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26010003700068";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2021-07-07";NA
"3";"010005239G1";"010005239";"CH DU HAUT BUGEY - GEOVREISSET";"CH DU HAUT BUGEY - GEOVREISSET";"CENTRE HOSPITALIER DU HAUT BUGEY - GEOVREISSET";NA;NA;"01108 OYONNAX CEDEX";"283";"01";"AIN";"1";"RTE";"DE VEYZIAT";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26011021800112";NA;"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"2007-04-20";"2007-03-14";"2018-01-12";NA
"4";"010780195G1";"010780195";"CLINIQUE CONVERT";"CLINIQUE CONVERT";"CLINIQUE DOCTEUR CONVERT";NA;NA;"01000 BOURG EN BRESSE";"53";"01";"AIN";"62";"AV";"DE JASSERON";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"77220148900022";"8610Z";"7";"ARS établissements de santé non financés dotation globale";"0";"Non concerné";"1956-11-16";"1956-11-16";"2021-10-18";NA
"5";"010780203G1";"010780203";"HOPITAL PRIVE D AMBERIEU";"HOPITAL PRIVE D'AMBERIEU";"HOPITAL PRIVE D'AMBERIEU";NA;NA;"01506 AMBERIEU EN BUGEY CEDEX";"4";"01";"AIN";NA;"EN";"PRAGNAT NORD";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"81157144700010";"8610Z";"7";"ARS établissements de santé non financés dotation globale";"0";"Non concerné";"2001-09-03";"1994-04-03";"2024-01-30";NA
"6";"020000162A1";"020000162";"CH SAINT-QUENTIN";"CH SAINT-QUENTIN";NA;NA;NA;"02321 ST QUENTIN CEDEX";"691";"02";"AISNE";"1";"R";"MICHEL DE L'HOSPITAL";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26020861600011";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2012-11-14";NA
"7";"020000162P1";"020000162";"CH SAINT-QUENTIN";"CH SAINT-QUENTIN";NA;NA;NA;"02321 ST QUENTIN CEDEX";"691";"02";"AISNE";"1";"R";"MICHEL DE L'HOSPITAL";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26020861600011";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2012-11-14";NA
"8";"020000394A1";"020000394";"CH LAON";"CH LAON";NA;NA;NA;"02001 LAON CEDEX";"408";"02";"AISNE";"33";"R";"MARCELIN BERTHELOT";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26020871500011";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2011-03-03";NA
"9";"020000394P1";"020000394";"CH LAON";"CH LAON";NA;NA;NA;"02001 LAON CEDEX";"408";"02";"AISNE";"33";"R";"MARCELIN BERTHELOT";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26020871500011";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2011-03-03";NA
"10";"020000519A1";"020000519";"CH SOISSONS";"CH SOISSONS";NA;NA;NA;"02209 SOISSONS CEDEX";"722";"02";"AISNE";"46";"AV";"DU GÉNÉRAL DE GAULLE";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26020862400015";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2012-11-15";NA
"11";"020000519P1";"020000519";"CH SOISSONS";"CH SOISSONS";NA;NA;NA;"02209 SOISSONS CEDEX";"722";"02";"AISNE";"46";"AV";"DU GÉNÉRAL DE GAULLE";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26020862400015";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2012-11-15";NA
"12";"020000535G1";"020000535";"CH CHAUNY";"CH CHAUNY";NA;NA;NA;"02303 CHAUNY CEDEX";"173";"02";"AISNE";"94";"R";"DES ANCIENS COMBATTANTS AFN";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26020864000011";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2024-02-08";NA
"13";"020001061G1";"020001061";"CH CHATEAU-THIERRY";"CH CHÂTEAU-THIERRY";NA;NA;NA;"02400 CHATEAU THIERRY";"168";"02";"AISNE";NA;"RTE";"DE VERDILLY";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26020863200018";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1983-03-01";"1983-03-01";"2010-09-28";NA
"14";"020001087G1";"020001087";"CH HIRSON";"CH HIRSON";NA;"BRISSET";NA;"02500 HIRSON";"381";"02";"AISNE";"40";"R";"AUX LOUPS";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26020007600016";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2011-03-03";NA
"15";"020010047G1";"020010047";"HOPITAL PRIVE SAINT CLAUDE";"HOPITAL PRIVE SAINT CLAUDE";"HOPITAL PRIVE SAINT CLAUDE";NA;NA;"02315 ST QUENTIN CEDEX";"691";"02";"AISNE";"1";"BD";"DU DOCTEUR SCHWEITZER";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"32345727500010";"8610Z";"7";"ARS établissements de santé non financés dotation globale";"0";"Non concerné";"1968-07-10";"1968-07-10";"2018-04-13";NA
"16";"030000061G1";"030000061";"CH DE MOULINS";"CH DE MOULINS";"CENTRE HOSPITALIER DE MOULINS";NA;NA;"03006 MOULINS CEDEX";"190";"03";"ALLIER";"10";"AV";"DU GENERAL DE GAULLE";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26030383900013";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2020-02-04";NA
"17";"030000079G1";"030000079";"CH DE MONTLUCON";"CH DE MONTLUCON";"CENTRE HOSPITALIER DE MONTLUCON";NA;NA;"03109 MONTLUCON CEDEX";"185";"03";"ALLIER";"18";"AV";"DU 8 MAI 1945";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26030017300010";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2020-02-04";NA
"18";"030000087G1";"030000087";"CH JACQUES LACARIN VICHY";"CH JACQUES LACARIN VICHY";NA;NA;NA;"03201 VICHY CEDEX";"310";"03";"ALLIER";NA;"BD";"DENIERE";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26030026400017";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2010-12-13";NA
