year;finess;establishment_name;juridical_status;capacity;region_number;region_name;dep_number;dep_name;town_name;postal_code;emergency_type;regulation;total_hospitalized_emergency;waiting_monitoring;hours_physicians_total_raw;hours_physicians_emergency_raw;hours_nurses_total_raw;hours_nurses_emergency_raw;hours_paramedics_raw;hours_regulation_physicians;hours_regulation_assistants;joint_personnel_SMUR_emergency;etp_physicians_empl_total;etp_physicians_empl_emergency;number_physicians_liberal;number_medecine_interns;number_medecine_junior_doctors;number_emergency_interns;number_emergency_junior_doctors;beds_number;dummy_regulation_physicians;dummy_paramedics;dummy_regulation_assistants;dummy_number_liberal_phyisicians;dummy_joint_personnel;dummy_medecine_interns;dummy_emergency_interns;dummy_medecine_junior_doctors;dummy_emergency_junior_doctors;total_emergency_visits_raw;total_emergency_visits_win;hosp_rate_raw;hosp_rate_mod;hours_physicians_total_mod;hours_physicians_emergency_mod;hours_nurses_total_mod;hours_nurses_emergency_mod;hours_regulation_assistants_raw;hours_regulation_assistants_mod;hours_paramedics_mod;etp_total_win;etp_emergency_win
2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;Public;Medium capacity;01;Guadeloupe;9A;Guadeloupe;LES ABYMES;97139;GEN;3;6535;1;NA;NA;60;60;0;0;0;0;NA;NA;0;201;0;0;0;8,00000000000000;0;0;0;0;0;1;0;0;0;48649;48649,0000000000;0,1343295853974388;0,1343295853974388;NA;NA;60;60;0;0;0;NA;NA
2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;Public;Low capacity;01;Guadeloupe;9A;Guadeloupe;LES ABYMES;97139;PED;3;1859;NA;NA;NA;60;60;0;0;0;0;NA;NA;0;201;0;0;0;4,00000000000000;0;0;0;0;0;1;0;0;0;25023;25023,0000000000;0,0742916516804540;0,0742916516804540;NA;NA;60;60;0;0;0;NA;NA
2024;910000298;CENTRE HOSPITALIER DE LONGJUMEAU;Public;High capacity;11;Île-de-France;91;Essonne;LONGJUMEAU;91160;GEN;1;4594;NA;584;416;840;672;168;0;0;0;23,62;18,52;0;0;0;4;0;14,00000000000000;0;1;0;0;1;0;1;0;0;38365;38365,0000000000;0,1197445588426952;0,1197445588426952;584;416;840;672;0;0;168;23,62;18,520
2024;910000298;CENTRE HOSPITALIER DE LONGJUMEAU;Public;Low capacity;11;Île-de-France;91;Essonne;LONGJUMEAU;91160;PED;1;809;NA;584;416;840;672;168;0;0;0;23,62;18,52;0;0;0;4;0;0,00000000000000;0;1;0;0;1;0;1;0;0;15453;15453,0000000000;0,0523522940529347;0,0523522940529347;584;416;840;672;0;0;168;23,62;18,520
2024;720000033;CENTRE HOSPITALIER DU MANS;Public;High capacity;52;Pays de la Loire;72;Sarthe;LE MANS;72037;GEN;1;17506;1;1471;1051;3232;2812;420;389;689;1;42,06;27,54;0;85;19;21;5;22,00000000000000;1;1;1;0;1;1;1;1;1;65027;65027,0000000000;0,2692112507112430;0,2692112507112430;1471;1051;3232;2812;689;689;420;42,06;27,540
2024;720000033;CENTRE HOSPITALIER DU MANS;Public;High capacity;52;Pays de la Loire;72;Sarthe;LE MANS;72037;PED;2;5328;NA;1471;1051;3232;2812;420;389;689;1;42,06;27,54;0;85;19;21;5;9,00000000000000;1;1;1;0;1;1;1;1;1;30055;30055,0000000000;0,1772749958409582;0,1772749958409582;1471;1051;3232;2812;689;689;420;42,06;27,540
2024;890975527;CH AUXERRE;Public;High capacity;27;Bourgogne-Franche-Comté;89;Yonne;AUXERRE;89011;GEN;2;8780;1;1022;686;1689;1185;336;276;400;0;26,46;10,99;0;26;1;4;2;11,00000000000000;1;1;1;0;0;1;1;1;1;45810;45810,0000000000;0,1916612093429382;0,1916612093429382;1022;686;1689;1185;400;400;336;26,46;10,990
2024;890975527;CH AUXERRE;Public;Low capacity;27;Bourgogne-Franche-Comté;89;Yonne;AUXERRE;89011;PED;1;1594;NA;1022;686;1689;1185;336;276;400;0;26,46;10,99;0;26;1;4;2;3,00000000000000;1;1;1;0;0;1;1;1;1;17778;17778,0000000000;0,0896613792327596;0,0896613792327596;1022;686;1689;1185;400;400;336;26,46;10,990
2024;600000194;CH BEAUVAIS;Public;High capacity;32;Hauts-de-France;60;Oise;BEAUVAIS;60021;GEN;NA;9286;NA;NA;NA;NA;NA;0;0;0;0;28,15;15,25;0;39;0;0;0;15,00000000000000;0;0;0;0;0;1;0;0;0;46366;46366,0000000000;0,2002760643575033;0,2002760643575033;NA;NA;NA;NA;0;0;0;28,15;15,250
2024;600000194;CH BEAUVAIS;Public;Low capacity;32;Hauts-de-France;60;Oise;BEAUVAIS;60021;PED;NA;2426;NA;NA;NA;NA;NA;0;0;0;0;28,15;15,25;0;39;0;0;0;4,00000000000000;0;0;0;0;0;1;0;0;0;18672;18672,0000000000;0,1299271636675235;0,1299271636675235;NA;NA;NA;NA;0;0;0;28,15;15,250
2024;620000653;CH BOULOGNE-SUR-MER;Public;High capacity;32;Hauts-de-France;62;Pas-de-Calais;BOULOGNE SUR MER;62321;GEN;3;10601;0;756;588;NA;NA;0;0;0;0;21,19;16,19;0;22;8;1;0;10,00000000000000;0;0;0;0;0;1;1;1;0;57616;57616,0000000000;0,1839940294362677;0,1839940294362677;756;588;NA;NA;0;0;0;21,19;16,190
2024;620000653;CH BOULOGNE-SUR-MER;Public;Low capacity;32;Hauts-de-France;62;Pas-de-Calais;BOULOGNE SUR MER;62321;PED;NA;1670;NA;756;588;NA;NA;0;0;0;0;21,19;16,19;0;22;8;1;0;4,00000000000000;0;0;0;0;0;1;1;1;0;8427;8427,0000000000;0,1981725406431707;0,1981725406431707;756;588;NA;NA;0;0;0;21,19;16,190
2024;620000323;CH CALAIS;Public;High capacity;32;Hauts-de-France;62;Pas-de-Calais;CALAIS;62107;GEN;3;5430;1;861;574;1897;1686;113;0;0;1;23,06;18,46;0;24;4;6;0;12,00000000000000;0;1;0;0;1;1;1;1;0;38280;38280,0000000000;0,1418495297805642;0,1418495297805642;861;574;1897;1686;0;0;113;23,06;18,460
2024;620000323;CH CALAIS;Public;Low capacity;32;Hauts-de-France;62;Pas-de-Calais;CALAIS;62107;PED;3;2026;NA;861;574;1897;1686;113;0;0;1;23,06;18,46;0;24;4;6;0;2,00000000000000;0;1;0;0;1;1;1;1;0;14140;14140,0000000000;0,1432814710042433;0,1432814710042433;861;574;1897;1686;0;0;113;23,06;18,460
2024;600113476;CH CHICN COMPI�GNE;Public;High capacity;32;Hauts-de-France;60;Oise;COMPIEGNE;60321;GEN;3;8157;1;714;457;1797;1413;660;0;0;0;19,09;12,22;0;24;8;0;0;12,00000000000000;0;1;0;0;0;1;0;1;0;41750;41750,0000000000;0,1953772455089820;0,1953772455089820;714;457;1797;1413;0;0;660;19,09;12,220
2024;600113476;CH CHICN COMPI�GNE;Public;Low capacity;32;Hauts-de-France;60;Oise;COMPIEGNE;60321;PED;1;1536;NA;714;457;1797;1413;660;0;0;0;19,09;12,22;0;24;8;0;0;0,00000000000000;0;1;0;0;0;1;0;1;0;16695;16695,0000000000;0,0920035938903863;0,0920035938903863;714;457;1797;1413;0;0;660;19,09;12,220
2024;910000272;CH D ARPAJON;Public;Medium capacity;11;Île-de-France;91;Essonne;ARPAJON;91294;GEN;3;6140;0;599;496;1290;1081;168;0;0;0;15,34;12,70;0;0;0;6;0;6,00000000000000;0;1;0;0;1;0;1;0;0;31612;31612,0000000000;0,1942300392256105;0,1942300392256105;599;496;1290;1081;0;0;168;15,34;12,700
2024;910000272;CH D ARPAJON;Public;Low capacity;11;Île-de-France;91;Essonne;ARPAJON;91294;PED;3;1489;NA;599;496;1290;1081;168;0;0;0;15,34;12,70;0;0;0;6;0;1,00000000000000;0;1;0;0;1;0;1;0;0;14576;14576,0000000000;0,1021542261251372;0,1021542261251372;599;496;1290;1081;0;0;168;15,34;12,700
2024;910000306;CH D ORSAY;Public;Low capacity;11;Île-de-France;91;Essonne;ORSAY;91401;GEN;1;1742;NA;672;504;756;588;168;0;0;1;10,60;7,73;0;0;0;0;0;0,00000000000000;0;1;0;0;1;0;0;0;0;11525;11525,0000000000;0,1511496746203904;0,1511496746203904;672;504;756;588;0;0;168;10,60;7,730
2024;910000306;CH D ORSAY;Public;Medium capacity;11;Île-de-France;91;Essonne;ORSAY;91401;PED;2;55;NA;672;504;756;588;168;0;0;1;10,60;7,73;0;0;0;0;0;6,61519607843137;0;1;0;0;1;0;0;0;0;1621;1621,0000000000;0,0339296730413325;0,0339296730413325;672;504;756;588;0;0;168;10,60;7,730
2024;770000131;CH DE COULOMMIERS;Public;Low capacity;11;Île-de-France;77;Seine-et-Marne;COULOMMIERS;77527;GEN;3;5130;NA;554;386;756;588;168;0;0;1;12,26;11,16;0;0;0;0;0;2,00000000000000;0;1;0;0;1;0;0;0;0;27613;27613,0000000000;0,1857820591750262;0,1857820591750262;554;386;756;588;0;0;168;12,26;11,160
2024;770000131;CH DE COULOMMIERS;Public;Medium capacity;11;Île-de-France;77;Seine-et-Marne;COULOMMIERS;77527;PED;3;500;NA;554;386;756;588;168;0;0;1;12,26;11,16;0;0;0;0;0;6,61519607843137;0;1;0;0;1;0;0;0;0;8246;8246,0000000000;0,0606354596167839;0,0606354596167839;554;386;756;588;0;0;168;12,26;11,160
2024;770000446;CH DE MEAUX SITE SAINT FARON;Public;High capacity;11;Île-de-France;77;Seine-et-Marne;MEAUX;77100;GEN;3;7989;1;743;406;1093;756;337;0;0;1;29,08;25,87;0;8;1;1;0;12,00000000000000;0;1;0;0;1;1;1;1;0;41064;41064,0000000000;0,1945499707773232;0,1945499707773232;743;406;1093;756;0;0;337;29,08;25,870
2024;770000446;CH DE MEAUX SITE SAINT FARON;Public;Low capacity;11;Île-de-France;77;Seine-et-Marne;MEAUX;77100;PED;3;1888;NA;743;406;1093;756;337;0;0;1;29,08;25,87;0;8;1;1;0;2,00000000000000;0;1;0;0;1;1;1;1;0;19699;19699,0000000000;0,0958424285496726;0,0958424285496726;743;406;1093;756;0;0;337;29,08;25,870
2024;770000156;CH DE MELUN SITE SANTEPOLE;Public;High capacity;11;Île-de-France;77;Seine-et-Marne;MELUN;77000;GEN;3;12307;1;2127;1651;210;210;476;0;0;1;47,73;47,73;0;6;0;12;8;18,00000000000000;0;1;0;0;1;1;1;1;1;59786;59786,0000000000;0,2058508680962098;0,2058508680962098;2127;1651;210;210;0;0;476;44,53;30,912
2024;770000156;CH DE MELUN SITE SANTEPOLE;Public;Low capacity;11;Île-de-France;77;Seine-et-Marne;MELUN;77000;PED;1;1770;NA;2127;1651;210;210;476;0;0;1;47,73;47,73;0;6;0;12;8;4,00000000000000;0;1;0;0;1;1;1;1;1;21171;21171,0000000000;0,0836049312739124;0,0836049312739124;2127;1651;210;210;0;0;476;44,53;30,912
2024;770000172;CH DE PROVINS LEON BINET;Public;Medium capacity;11;Île-de-France;77;Seine-et-Marne;PROVINS;77488;GEN;3;7154;1;652;517;855;654;293;0;0;1;21,21;16,81;0;0;0;0;0;5,00000000000000;0;1;0;0;1;0;0;0;0;26645;26645,0000000000;0,2684931506849315;0,2684931506849315;652;517;855;654;0;0;293;21,21;16,810
2024;770000172;CH DE PROVINS LEON BINET;Public;Low capacity;11;Île-de-France;77;Seine-et-Marne;PROVINS;77488;PED;3;967;NA;652;517;855;654;293;0;0;1;21,21;16,81;0;0;0;0;0;1,00000000000000;0;1;0;0;1;0;0;0;0;9222;9222,0000000000;0,1048579483842984;0,1048579483842984;652;517;855;654;0;0;293;21,21;16,810
