an;fi;rs;fi_ej;stj;stjr;cat;catr;mft;reg;dep;cominsee;nomcom;chlej0;fipre;cpo;libcom;autsu;autsais;autmedurg;ex_gen;ex_ped;emg;reor;reor_moe;outil;urg_type;passu_check;urg;regulation;sao;acc;passu;dt80;dt18;dt_mco;dt_mco80;dt_mco18;dt_ls;dt_ls80;dt_ls18;dt_had;dt_had80;dt_had18;dt_ext;dt_ext80;dt_ext18;dt_hosp;dt_trans;lit_uhcd;jli_uhcd;sej_uhcd;sej0_uhcd;jou_uhcd;accspe_ped;accspe_psy;accspe_ger;accspe_aut;stap;rmm;hmed_tot;hmed_urg;hmed_smur;hide_tot;hide_urg;hide_smur;hamb_tot;hamb_smur;hmr_tot;hmr_reg;hmramu_tot;hmramu_reg;arm_tot;arm_reg;osnp_tot;osnp_reg;effpdsa;effsas;etpsal_tot;etpsal_urg;etpsal_smur;etpsal_samu;efflib_tot;efflib_urg;efflib_smur;efflib_samu;com_smur_su;intmed;docju_med;intpha;docju_pha;intodo;docju_odo;intgen;inturg;docju_urg;int;docju;ffi;dt_stag
2024;010000024;CH DE FLEYRIAT;010780054;13;1;355;PUB2;0;84;01;01451;VIRIAT;0;NA;01440;VIRIAT;1;0;0;NA;NA;1;1;IAO;1;autgen;1;GEN;3;1;IAO;48373;5924;13201;8399;1567;1320;1;NA;NA;NA;NA;NA;179;38;2;8579;NA;10;3660;3653;431;3696;1;0;0;0;1;1;669;382;287;1176;840;336;252;252;287;287;287;287;780;780;NA;NA;NA;NA;17,54;11,58;3,39;2,57;NA;NA;NA;NA;1;25;4;2;NA;0;NA;25;3;NA;55;4;12;7
2024;010000032;CH BUGEY SUD;010780062;13;1;355;PUB2;0;84;01;01034;BELLEY;0;NA;01300;BELLEY;1;0;0;NA;NA;0;0;NA;NA;autgen;1;GEN;2;1;IAO;12187;1322;3856;2047;788;350;0;0;0;0;0;0;290;23;8;2337;NA;4;1464;444;258;193;0;0;0;0;0;1;252;84;168;402;234;168;168;168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,34;2,17;2,17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;1;NA
2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;14;1;355;PUB2;0;84;01;01283;OYONNAX;0;NA;01108;OYONNAX CEDEX;1;0;NA;NA;NA;0;1;IAOMAO;0;autgen;1;GEN;3;1;IAOMAO;21958;2086;4780;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;1830;1591;350;1518;0;0;0;0;0;1;420;252;168;504;336;168;168;168;NA;NA;NA;NA;NA;NA;NA;NA;0;0;10,00;10,00;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;0;2;0;0;2;0;6;0
2024;010780195;CLINIQUE CONVERT;010000156;73;2;365;PLU4;5;84;01;01053;BOURG EN BRESSE;0;NA;01000;BOURG EN BRESSE;1;0;0;0;0;0;0;NA;1;autgen;1;GEN;2;1;IAO;25647;2077;4271;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1460;1727;1273;375;0;0;0;0;1;1;218;218;0;471;471;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;5;5;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;95;2;365;PLU4;4;84;01;01004;AMBERIEU EN BUGEY;0;NA;01506;AMBERIEU EN BUGEY CEDEX;1;0;0;NA;NA;0;0;NA;1;autgen;1;GEN;3;1;IAO;38635;4088;8960;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2190;3450;1443;2297;1;0;0;0;1;1;934;766;168;934;766;168;168;168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;12;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024;020000162;CH SAINT-QUENTIN;020000063;13;1;355;PUB2;0;32;02;02691;SAINT QUENTIN;0;NA;02321;ST QUENTIN CEDEX;1;0;1;1;1;1;0;IAOMAO;0;autgen;1;GEN;3;1;IAOMAO;32717;5522;30;9026;2846;4;18;5;1;0;0;0;738;0;0;9782;NA;10;3660;7764;3180;4672;0;1;0;0;1;0;96;96;NA;180;156;24;34;34;NA;NA;NA;NA;NA;NA;NA;NA;0;0;33,00;18,00;15,00;NA;NA;NA;NA;NA;NA;32;11;3;1;0;NA;23;8;1;66;13;42;32
2024;020000162;CH SAINT-QUENTIN;020000063;13;1;355;PUB2;0;32;02;02691;SAINT QUENTIN;0;NA;02321;ST QUENTIN CEDEX;1;0;1;1;1;1;0;IAOMAO;0;autped;1;PED;3;1;IAO;19205;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2426;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;96;96;NA;180;156;24;34;34;NA;NA;NA;NA;NA;NA;NA;NA;0;0;33,00;18,00;15,00;NA;NA;NA;NA;NA;NA;32;11;3;1;0;NA;23;8;1;66;13;42;32
2024;020000394;CH LAON;020000253;13;1;355;PUB2;0;32;02;02408;LAON;0;NA;02001;LAON CEDEX;1;0;0;NA;NA;1;1;IAOMAO;NA;autgen;1;GEN;3;1;IAOMAO;25435;3044;3561;4869;1427;51;4;1;0;0;0;0;916;196;10;5789;NA;4;1464;4688;3287;1420;1;0;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,39;7,07;5,12;2,20;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;4;2;NA;7;NA;27;16
2024;020000394;CH LAON;020000253;13;1;355;PUB2;0;32;02;02408;LAON;0;NA;02001;LAON CEDEX;1;0;0;NA;NA;1;1;IAOMAO;NA;autped;1;PED;3;1;IAO;9819;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;492;NA;1;0;135;109;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,39;7,07;5,12;2,20;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;4;2;NA;7;NA;27;16
2024;020000519;CH SOISSONS;020000261;13;1;355;PUB2;0;32;02;02722;SOISSONS;0;NA;02209;SOISSONS CEDEX;1;0;NA;NA;NA;0;1;IAOMAO;0;autgen;1;GEN;3;1;IAO;36336;5245;5337;6704;2412;56;14;14;0;0;0;0;434;31;33;7152;NA;8;1508;1686;901;1009;1;0;0;0;1;0;546;378;168;924;756;168;168;168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,40;13,14;4,26;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;NA;5;NA;NA;8;NA;34;NA
2024;020000519;CH SOISSONS;020000261;13;1;355;PUB2;0;32;02;02722;SOISSONS;0;NA;02209;SOISSONS CEDEX;1;0;NA;NA;NA;0;1;IAOMAO;0;autped;1;PED;1;0;NA;12150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1208;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;546;378;168;924;756;168;168;168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,40;13,14;4,26;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;NA;5;NA;NA;8;NA;34;NA
2024;020000535;CH CHAUNY;020000287;13;1;355;PUB2;0;32;02;02173;CHAUNY;0;NA;02303;CHAUNY CEDEX;1;0;0;1;0;1;1;IAOMAO;1;autgen;1;GEN;3;1;IAOMAO;19073;2286;2223;17916;1992;2183;57;35;NA;NA;NA;NA;1100;259;40;19073;NA;6;2190;2409;1234;1256;0;0;0;0;0;0;336;168;168;588;168;420;168;168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,45;12,45;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;5;NA;NA;5;NA;8;7
2024;020001061;CH CHÂTEAU-THIERRY;020004404;13;1;355;PUB2;0;32;02;02168;CHATEAU THIERRY;0;NA;02400;CHATEAU THIERRY;1;0;0;0;0;0;0;NA;0;autgen;1;GEN;3;1;IAO;33233;3535;10701;6540;2131;680;NA;NA;NA;NA;NA;NA;573;233;28;7113;NA;8;2718;4782;2575;2420;0;0;0;0;1;0;497;329;168;776;608;168;168;168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,31;10,08;5,23;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;2;NA;12;10
