an;fi;rs;catr;stjr;reg;dep;nomcom;cpo;urg;regulation;passu;dt_hosp;stap;lit_uhcd;hmed_tot;hmed_urg;hide_tot;hide_urg;hamb_tot;hmr_tot;hmramu_tot;arm_tot;osnp_tot;com_smur_su;etpsal_tot;etpsal_urg;efflib_tot;efflib_urg;intmed;docju_med;inturg;docju_urg
2024;010000024;CH DE FLEYRIAT;PUB2;1;84;01;VIRIAT;01440;GEN;3;48373;8579;1;10;669;382;1176;840;252;287;287;780;NA;1;17,54;11,58;NA;NA;25;4;3;NA
2024;010000032;CH BUGEY SUD;PUB2;1;84;01;BELLEY;01300;GEN;2;12187;2337;0;4;252;84;402;234;168;NA;NA;NA;NA;NA;4,34;2,17;NA;NA;NA;NA;NA;NA
2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;PUB2;1;84;01;OYONNAX;01108;GEN;3;21958;NA;0;5;420;252;504;336;168;NA;NA;NA;NA;1;10,00;10,00;NA;NA;0;0;0;0
2024;010780195;CLINIQUE CONVERT;PLU4;2;84;01;BOURG EN BRESSE;01000;GEN;2;25647;NA;1;4;218;218;471;471;0;0;0;0;0;0;NA;NA;5;5;NA;NA;NA;NA
2024;010780203;HOPITAL PRIVE D'AMBERIEU;PLU4;2;84;01;AMBERIEU EN BUGEY;01506;GEN;3;38635;NA;1;6;934;766;934;766;168;NA;NA;NA;NA;1;NA;NA;12;12;NA;NA;NA;NA
2024;020000162;CH SAINT-QUENTIN;PUB2;1;32;02;SAINT QUENTIN;02321;GEN;3;32717;9782;1;10;96;96;180;156;34;NA;NA;NA;NA;NA;33,00;18,00;NA;NA;32;11;8;1
2024;020000162;CH SAINT-QUENTIN;PUB2;1;32;02;SAINT QUENTIN;02321;PED;3;19205;2426;NA;0;96;96;180;156;34;NA;NA;NA;NA;NA;33,00;18,00;NA;NA;32;11;8;1
2024;020000394;CH LAON;PUB2;1;32;02;LAON;02001;GEN;3;25435;5789;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;14,39;7,07;NA;NA;NA;NA;2;NA
2024;020000394;CH LAON;PUB2;1;32;02;LAON;02001;PED;3;9819;492;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;14,39;7,07;NA;NA;NA;NA;2;NA
2024;020000519;CH SOISSONS;PUB2;1;32;02;SOISSONS;02209;GEN;3;36336;7152;1;8;546;378;924;756;168;NA;NA;NA;NA;1;17,40;13,14;NA;NA;3;NA;NA;NA
2024;020000519;CH SOISSONS;PUB2;1;32;02;SOISSONS;02209;PED;1;12150;1208;NA;0;546;378;924;756;168;NA;NA;NA;NA;1;17,40;13,14;NA;NA;3;NA;NA;NA
2024;020000535;CH CHAUNY;PUB2;1;32;02;CHAUNY;02303;GEN;3;19073;19073;0;6;336;168;588;168;168;NA;NA;NA;NA;1;12,45;12,45;NA;NA;NA;NA;NA;NA
2024;020001061;CH CHÂTEAU-THIERRY;PUB2;1;32;02;CHATEAU THIERRY;02400;GEN;3;33233;7113;1;8;497;329;776;608;168;NA;NA;NA;NA;1;15,31;10,08;NA;NA;NA;NA;NA;NA
2024;020001087;CH HIRSON;PUB2;1;32;02;HIRSON;02500;GEN;NA;14957;NA;NA;4;2354;1177;NA;NA;NA;NA;NA;NA;NA;NA;8,26;4,13;NA;NA;NA;NA;NA;NA
2024;020010047;HOPITAL PRIVE SAINT CLAUDE;PLU4;2;32;02;SAINT QUENTIN;02315;GEN;1;9968;4;1;6;299;299;168;168;NA;NA;NA;NA;NA;0;0,00;0,00;5;5;NA;NA;NA;NA
2024;030000061;CH DE MOULINS;PUB2;1;84;03;MOULINS;03006;GEN;2;39924;11137;1;8;672;420;840;588;216;200;200;672;75;1;23,04;13,31;0;0;9;2;3;0
2024;030000079;CH DE MONTLUCON;PUB2;1;84;03;MONTLUCON;03109;GEN;2;41066;7626;0;6;588;252;756;420;223;0;0;0;0;1;15,94;7,26;NA;NA;13;2;3;NA
2024;030000087;CH JACQUES LACARIN VICHY;PUB2;1;84;03;VICHY;03201;GEN;3;33615;10001;0;10;567;532;1109;1016;93;NA;NA;NA;NA;1;14,64;13,76;NA;NA;24;7;9;1
2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;PUB2;1;93;04;MANOSQUE;04101;GEN;2;20764;4186;1;8;406;238;756;588;168;NA;NA;NA;NA;NA;8,61;8,11;NA;NA;0;0;0;0
2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;PUB2;1;93;04;SISTERON;04200;GEN;3;14993;3456;1;4;504;336;588;420;168;0;0;0;0;1;8,31;6,18;NA;NA;NA;NA;NA;NA
2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;PUB2;1;93;04;DIGNE LES BAINS;04995;GEN;3;22954;4624;1;6;574;406;596;428;168;293;168;336;NA;1;17,38;10,06;NA;NA;NA;NA;NA;NA
2024;050000231;CH LES ESCARTONS A BRIANCON;PUB2;1;93;05;BRIANCON;05105;GEN;1;22113;5528;1;3;620;452;840;672;168;NA;NA;NA;NA;1;16,44;9,34;NA;NA;1;NA;NA;NA
2024;050000256;CENTRE HOSPITALIER D'EMBRUN;PUB2;1;93;05;EMBRUN;05200;GEN;3;8642;1258;1;2;178;178;252;252;NA;NA;NA;NA;NA;NA;3,30;3,30;NA;NA;NA;NA;NA;NA
2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;PUB2;1;93;05;GAP;05007;GEN;3;33779;12496;1;10;847;441;1288;441;168;336;168;420;64;NA;29,82;20,45;NA;NA;7;3;NA;NA
2024;060000478;CENTRE HOSPITALIER DE GRASSE;PUB2;1;93;06;GRASSE;06135;GEN;3;47147;4679;1;14;554;386;840;672;0;0;0;0;0;1;19,33;17,80;NA;NA;4;4;0;0
2024;060000510;CH D'ANTIBES JUAN LES PINS;PUB2;1;93;06;ANTIBES;06606;GEN;3;50151;9467;1;12;1099;763;1848;1512;336;NA;NA;NA;NA;1;20,40;16,10;NA;NA;12;3;NA;NA
2024;060000544;CH DE CANNES SIMONE VEIL;PUB2;1;93;06;CANNES;06414;GEN;3;49509;10180;1;12;836;668;1680;1512;168;NA;NA;NA;NA;1;18,01;15,62;NA;NA;19;6;2;0
2024;060002102;CH LA PALMOSA DE MENTON;PUB2;1;93;06;MENTON;06507;GEN;3;20009;3149;1;4;504;336;406;238;168;NA;NA;NA;NA;0;12,52;11,82;NA;NA;3;NA;9;NA
2024;060780491;INSTITUT ARNAULT TZANCK;PNL4;3;93;06;ST LAURENT DU VAR;06721;GEN;1;17674;2952;1;4;168;168;307;307;NA;NA;NA;NA;NA;NA;0,11;0,11;8;8;NA;NA;NA;NA
2024;060780517;POLYCLINIQUE SAINT JEAN;PLU4;2;93;06;CAGNES SUR MER;06800;GEN;2;37926;495;1;5;253;253;476;476;NA;NA;NA;NA;NA;NA;NA;NA;13;13;NA;NA;NA;NA
2024;060780715;CLINIQUE SAINT GEORGE;PLU4;2;93;06;NICE;06105;GEN;3;30662;3445;1;4;252;252;336;336;NA;NA;NA;NA;NA;NA;NA;NA;12;12;NA;NA;NA;NA
2024;060780723;CLINIQUE DU PARC IMPERIAL;PLU4;2;93;06;NICE;06045;GEN;3;14896;NA;1;8;168;168;238;238;NA;NA;NA;NA;NA;NA;1,50;1,50;7;7;NA;NA;NA;NA
2024;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;PNL4;3;93;06;NICE;06200;PED;3;50880;8278;NA;8;420;420;252;252;NA;NA;NA;NA;NA;NA;22,06;22,06;NA;NA;NA;NA;NA;NA
2024;060785003;CHU DE NICE HOPITAL PASTEUR;PUB1;1;93;06;NICE;06001;GEN;NA;97363;NA;NA;19;1538;964;2758;2184;574;840;336;1344;120;1;57,31;27,87;NA;NA;115;36;16;5
2024;070000013;CH DE PRIVAS ARDECHE;PUB2;1;84;07;PRIVAS;07007;GEN;3;16818;NA;1;5;336;168;252;84;168;360;168;468;84;1;19,97;12,18;NA;NA;NA;NA;3;NA
2024;070000179;CH ARDECHE NORD;PUB2;1;84;07;ANNONAY;07103;GEN;2;32813;7512;0;14;615;447;924;756;168;NA;NA;NA;NA;1;15,86;12,79;NA;NA;14;3;9;NA
2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;PUB2;1;84;07;AUBENAS;07205;GEN;3;30154;NA;0;10;588;420;658;490;168;NA;NA;NA;NA;NA;14,64;12,91;NA;NA;NA;NA;NA;NA
2024;070780424;CLINIQUE PASTEUR;PLU4;2;84;07;GUILHERAND GRANGES;07500;GEN;3;15668;1044;1;2;168;168;245;245;NA;NA;NA;NA;NA;NA;1,51;1,51;3;3;NA;NA;NA;NA
2024;080000110;CENTRE HOSPITALIER DE SEDAN;PUB2;1;44;08;SEDAN;08209;GEN;3;18528;824;1;4;324;156;503;453;168;NA;NA;NA;NA;1;7,44;4,95;NA;NA;NA;NA;NA;NA
2024;080000219;CENTRE HOSPITALIER DE RETHEL;PUB2;1;44;08;RETHEL;08300;GEN;3;15883;1428;1;6;672;336;672;336;336;NA;NA;NA;NA;NA;21,09;11,57;NA;NA;NA;NA;NA;NA
2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;PUB2;1;44;08;CHARLEVILLE MEZIERES;08011;GEN;3;60890;2896;1;8;684;348;1428;1092;336;168;168;336;0;1;26,86;19,14;NA;NA;32;3;9;0
2024;090000175;CHIVA SITE ST JEAN DE VERGES;PUB2;1;76;09;SAINT JEAN DE VERGES;09000;GEN;NA;38970;12060;1;8;742;574;994;826;224;264;168;360;50;1;27,91;19,37;NA;NA;6;1;8;NA
2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;PUB2;1;76;09;SAINT LIZIER;09190;GEN;3;11670;2397;1;3;504;336;504;336;168;0;0;0;0;1;8,50;5,43;NA;NA;NA;NA;NA;NA
2024;100000090;CENTRE HOSPITALIER DE TROYES;PUB2;1;44;10;TROYES;10003;GEN;1;48146;12437;1;0;1220;884;1662;1326;372;216;168;504;0;1;20,24;12,98;NA;NA;33;9;5;3
2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;PUB2;1;44;10;ROMILLY SUR SEINE;10105;GEN;3;18128;3400;1;4;336;168;393;225;84;NA;NA;NA;NA;1;6,65;5,32;NA;NA;NA;NA;NA;NA
2024;110000023;CH CARCASSONNE;PUB2;1;76;11;CARCASSONNE;11010;GEN;3;41883;8754;1;9;717;380;1177;840;337;284;168;672;64;NA;22,25;5,52;NA;NA;16;NA;10;1
2024;110000049;CH JP CASSABEL CASTELNAUDARY;PUB2;1;76;11;CASTELNAUDARY;11400;GEN;3;12407;NA;0;2;168;168;252;252;NA;NA;NA;NA;NA;NA;4,50;4,50;0;0;NA;NA;NA;NA
2024;110000056;CH NARBONNE;PUB2;1;76;11;NARBONNE;11108;GEN;2;49571;12356;1;9;693;357;1260;924;336;NA;NA;NA;NA;1;26,29;19,45;0;0;2;1;NA;NA
2024;110780228;HOPITAL PRIVE DU GRAND NARBONNE;PLU4;2;76;11;MONTREDON DES CORBIERES;11100;GEN;3;19026;2127;1;6;168;168;400;400;NA;NA;NA;NA;NA;NA;2,68;2,68;6;6;2;NA;NA;NA
2024;110780483;POLYCL MONTREAL CARCASSONNE;PLU4;2;76;11;CARCASSONNE;11890;GEN;NA;21100;NA;NA;4;168;168;307;307;NA;NA;NA;NA;NA;NA;2,50;2,50;3;3;NA;NA;NA;NA
2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;PUB2;1;76;12;RODEZ;12027;GEN;1;23030;9100;1;4;504;336;668;332;189;236;168;338;NA;1;23,87;20,87;NA;NA;13;NA;1;3
2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;PUB2;1;76;12;VILLEFRANCHE DE ROUERGUE;12200;GEN;NA;13659;NA;1;2;336;168;406;375;NA;NA;NA;NA;NA;NA;7,90;6,67;NA;NA;NA;NA;NA;NA
2024;120000070;CH PIERRE DELPECH DECAZEVILLE;PUB2;1;76;12;DECAZEVILLE;12300;GEN;2;9859;1567;NA;2;257;89;406;238;0;NA;NA;NA;NA;1;8,69;3,63;NA;NA;NA;NA;NA;NA
2024;120004569;CH MILLAU;PUB2;1;76;12;MILLAU;12101;GEN;3;15407;2539;0;3;336;168;518;350;NA;NA;NA;NA;NA;1;10,53;5,10;NA;NA;NA;NA;NA;1
2024;120004668;CH EMILE BOREL ST AFFRIQUE;PUB2;1;76;12;SAINT AFFRIQUE;12402;GEN;2;8086;1600;1;2;336;168;339;171;NA;NA;NA;NA;NA;1;6,72;3,45;NA;NA;NA;NA;NA;NA
2024;130000409;CHI SITE D'AIX EN PROVENCE;PUB2;1;93;13;AIX EN PROVENCE;13616;GEN;3;56152;16378;1;7;840;672;1808;1556;252;NA;NA;NA;NA;1;15,24;9,88;NA;NA;25;15;NA;NA
2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;PUB2;1;93;13;AUBAGNE;13400;GEN;3;42060;9308;1;8;456;228;816;588;228;NA;NA;NA;NA;1;14,34;7,76;0;0;3;3;0;0
