BOR;AN;FI;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2014;010000024;010780054;1;1;0;342;1380;368;60;0;308;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;010780195;010000156;1;;1;730;2014;812;101;0;711;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;020000162;020000063;1;0;1;629;3086;734;114;0;620;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;020000519;020000261;1;;1;128;535;132;98;0;34;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2014;030000061;030780092;1;1;0;325;1563;337;283;0;54;0;0;0;0;0;0;0;;0;0;24;0;0
CHIRCAR;2014;030000087;030780118;1;1;1;992;1994;1024;87;0;937;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;060000510;060780954;1;1;1;699;3118;820;308;0;512;0;0;0;;;0;0;;0;;45;0;0
CHIRCAR;2014;060000544;060780988;1;2;1;714;2022;767;285;0;482;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;060780715;060000361;1;0;3;1365;4216;1434;487;0;947;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;060785003;060785011;1;2;2;1029;3773;1238;635;0;603;1;0;0;;;0;0;;0;;42;0;0
CHIRCAR;2014;060785219;060001468;1;1;;580;1631;1040;1040;0;0;0;0;0;;;0;0;;0;;35;0;0
CHIRCAR;2014;060794013;060790797;1;3;3;1547;3819;1797;607;0;1190;1;0;0;2;2;1;557;76;512;24;;3245;4210
CHIRCAR;2014;080000425;080000615;1;0;1;83;446;89;89;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2014;100000090;100000017;1;1;1;594;2391;650;166;0;484;0;0;0;;;0;0;;0;0;45;0;0
CHIRCAR;2014;110000023;110780061;1;;1;335;1421;364;91;0;273;0;0;0;;;0;0;;0;;;0;0
