BOR;AN;FI;FI_EJ;PHARMA_A1;PHARMA_A2;PHARMA_A3;PHARMA_A4;PHARMA_A5;PHARMA_A6;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A8;PHARMA_B8;PHARMA_C8;PHARMA_D8;PHARMA_E8;PHARMA_A9;PHARMA_B9;PHARMA_C9;PHARMA_D9;PHARMA_E9;PHARMA_A10;PHARMA_A11;PHARMA_A12;PHARMA_A13;PHARMA_A14;PHARMA_A15;PHARMA_A16;PHARMA_A17;PHARMA_A18;PHARMA_A19;PHARMA_A20;PHARMA_A21;PHARMA_A22;PHARMA_A23;PHARMA_A24;PHARMA_A25;PHARMA_A26;PHARMA_A27;PHARMA_A28;PHARMA_A29;PHARMA_A30;PHARMA_A31;PHARMA_A32;PHARMA_A33;PHARMA_A34;PHARMA_A35;PHARMA_B29;PHARMA_B30;PHARMA_B31;PHARMA_B32;PHARMA_B33;PHARMA_B34;PHARMA_B35;PHARMA_C29;PHARMA_C30;PHARMA_C31;PHARMA_C32;PHARMA_C33;PHARMA_C34;PHARMA_C35;PHARMA_D29;PHARMA_E29
PHARMA;2014;010000024;010780054;0;;;;1;0;440;;80;120;169;0;0;0;0;0;0;0;0;0;0;14884000;1;775;775;289;1;1;0;0;1;1;1;1;40;0;1;1;1;0;6;2;4;;15;10;3;1;;;;9;6;2;6.8;0.6;1.5;;21.16;14.66;4.01;0;1
PHARMA;2014;010000032;010780062;0;;;;0;0;107;0;40;;185;0;0;0;0;0;0;0;0;0;0;1602654;1;100;340;145;1;1;0;0;1;1;1;0;;;1;1;1;1;2;1;;;1;4;1;;;;;1;;;2;1;;;1.5;4.24;0.93;0;1
PHARMA;2014;010000065;010780096;0;;;;;;59;0;71;30;169;0;0;0;0;0;0;0;0;0;0;323668;1;329;329;199;1;0;0;0;0;1;0;0;;;0;0;0;;2;0;0;0;2;;;;;;;4;1;1;2;;;;5.9;0.5;0.3;0;0
PHARMA;2014;010000081;010780112;0;;;;1;;;;20;30;247;1;1;1;1;1;0;0;0;0;0;;0;;;290;0;0;0;0;0;1;1;0;;;0;0;0;0;;;;;;;;2;;;;3;;;0.76;;;;2.4;;;0;0
PHARMA;2014;010000099;010780120;0;;;;1;;9;;20;;124;1;1;1;1;1;0;0;0;0;0;;1;153;153;153;0;0;0;0;0;1;0;0;;;0;0;0;;;;;;;;;1;;;;2;;;0.6;;;;1.6;;;0;0
PHARMA;2014;010000107;010780138;0;;;;1;;15;;20;;172;0;0;0;0;0;0;0;0;0;0;93637;1;207;147;207;0;0;0;0;0;0;0;0;;;0;0;0;0;;;;;1;;;1;;;;1;;;0.2;;;;1.8;;;0;0
PHARMA;2014;010000115;010009132;0;;;;0;0;12;;18;30;111;1;1;1;1;1;0;0;0;0;0;41634;1;171;171;141;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;2;;;0.4;;;;1.5;;;0;0
PHARMA;2014;010000131;010009132;0;;;;0;0;8;;29;;165;1;1;1;1;1;0;0;0;0;0;168000;1;202;202;165;0;0;0;0;0;1;1;0;;;0;0;0;0;;;;;;;;2;;;;1;;;0.47;;;;0.5;;;0;0
PHARMA;2014;010000214;010007987;0;;;;1;0;11;;279;;69;0;0;0;0;0;0;0;0;0;0;501148;1;359;359;319;1;0;0;0;0;1;1;0;;;0;0;0;2;2;;;;3;;1;;;;;1;;0;2;;;;3.8;;1;0;0
PHARMA;2014;010000495;010783009;0;;;;0;0;;404;;;;1;1;1;1;1;0;0;0;0;0;586425;1;100;404;0;0;0;0;;0;1;1;0;;;0;0;0;0;2;;;;4;;1;;;;;;;1;2;;;;2.47;;1.82;0;1
