BOR;AN;FI;FI_EJ;PERSO;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_AT;ETP_AU;ETP_BUD;ETP_MAD;EFFSAL;ETPSAL;EFFLIB
Q20;2014;010000024;010780054;M1010;20;19;5;10;;;4;;22.94;22.42;;28.78;4.87;;3.28;8.43;;;54;45.36;4
Q20;2014;010000024;010780054;M1020;1;2;;;;;;;1.02;2.01;;3;;;;0.03;;;3;3.03;
Q20;2014;010000024;010780054;M1030;7;3;2;1;;;;;8.66;4.23;;6.75;0.15;;2;3.99;;;13;12.89;
Q20;2014;010000024;010780054;M1031;2;;1;1;;;;;2.06;0.8;;2.76;;;0.1;;;;4;2.86;
Q20;2014;010000024;010780054;M1040;6;;2;;;;;;7.53;;;3;2.21;;;2.32;;;8;7.53;
Q20;2014;010000024;010780054;M1050;;1;2;;;;;;0.2;1;;1;;;0.2;;;;3;1.2;
Q20;2014;010000024;010780054;M1070;1;;;2;;;;;1;1.25;;1.8;;;;0.45;;;3;2.25;
Q20;2014;010000024;010780054;M1090;3;1;1;1;;;;;3.2;1.1;;4;;;0.3;;;;6;4.3;
Q20;2014;010000024;010780054;M1100;3;1;;;;;;;3;1;;3;;;1;;;;4;4;
Q20;2014;010000024;010780054;M1110;2;1;;1;;;;;1.96;1.4;;2.96;;;;0.4;;;4;3.36;
Q20;2014;010000024;010780054;M1120;4;1;1;1;;;;;3.26;1.4;;4.4;;;0.2;0.06;;;7;4.66;
Q20;2014;010000024;010780054;M1130;1;2;;;;;;;1;2.05;;3;;;;0.05;;;3;3.05;
Q20;2014;010000024;010780054;M1140;5;2;;1;;;;;5;3.63;;7.8;0.83;;;;;;8;8.63;
Q20;2014;010000024;010780054;M1150;1;2;1;;;;;;1.4;2;;3;;;0.4;;;;4;3.4;
Q20;2014;010000024;010780054;M1160;2;2;1;;;;1;;2.73;2.47;;3.66;;;0.4;1.14;;;5;5.2;1
Q20;2014;010000024;010780054;M1170;1;1;;;;;;;1.16;1.11;;2;;;;0.27;;;2;2.27;
Q20;2014;010000024;010780054;M1180;;2;;;;;;;;1.25;;1;;;;0.25;;;2;1.25;
Q20;2014;010000024;010780054;M1190;;2;;2;;;;;;2.9;;2.6;;;0.3;;;;4;2.9;
Q20;2014;010000024;010780054;M2020;1;;;;;;;;1;;;1;;;;;;;1;1;
Q20;2014;010000024;010780054;M2030;4;;;;;;;;4;;;4;;;;;;;4;4;
Q20;2014;010000024;010780054;M2040;;;1;;;;;;0.3;;;;;;0.3;;;;1;0.3;
Q20;2014;010000024;010780054;M2050;4;3;1;1;;;;;5.51;2.24;;5.67;1.84;;0.1;0.14;;;9;7.75;
Q20;2014;010000024;010780054;M2070;;;3;1;;;;;0.73;0.4;;;;;0.4;0.73;;;4;1.13;
Q20;2014;010000024;010780054;M2080;;2;;;;;;;0.33;1.65;;1.33;0.65;;;;;;2;1.98;
Q20;2014;010000024;010780054;M2100;3;;;;;;;;3;;;1;;;;2;;;3;3;
Q20;2014;010000024;010780054;M2120;2;;;;;;;;2.03;0.01;;2;;;;0.04;;;2;2.04;
Q20;2014;010000024;010780054;M2130;2;;;;;;;;1.8;;;1.63;;;0.17;;;;2;1.8;
Q20;2014;010000024;010780054;M3012;2;2;;3;;;;;2;4;;6;;;;;;;7;6;
Q20;2014;010000024;010780054;M3030;;;;2;;;;;;1.24;;1.2;;;;0.04;;;2;1.24;
Q20;2014;010000024;010780054;M3040;;1;;;;;;;;1;;1;;;;;;;1;1;
Q20;2014;010000024;010780054;M3050;3;5;;1;;;;;3;5.8;;4.8;4;;;;;;9;8.8;
Q20;2014;010000024;010780054;M9999;80;55;21;28;;;5;;89.82;68.36;;114.14;14.55;;9.15;20.34;202.8;1.7;184;158.18;5
Q20;2014;010000032;010780062;M1010;7;1;3;;;;;;9.18;0.99;0.12;5.69;0.75;0.08;1.69;1.84;;;11;10.17;
Q20;2014;010000032;010780062;M1030;;1;;;;;;;;1.07;0.02;0.75;0.04;0.03;0.07;0.16;;;1;1.07;
Q20;2014;010000032;010780062;M1040;;1;1;;;;;;0.31;1.05;0.06;0.8;0.09;0.04;0.24;0.13;;;2;1.36;
Q20;2014;010000032;010780062;M1050;;;1;;;;;;0.21;;0.02;0.09;0.02;0.01;0.06;0.01;;;1;0.21;
Q20;2014;010000032;010780062;M1090;1;;;;;;;;1.04;;0.06;0.64;0.05;0.05;0.15;0.09;;;1;1.04;
Q20;2014;010000032;010780062;M1120;;1;;;;;;;;0.96;0.08;0.56;0.05;0.05;0.13;0.09;;;1;0.96;
Q20;2014;010000032;010780062;M1140;2;;;;;;;;2.09;;0.06;1.34;0.17;0.07;0.21;0.24;;;2;2.09;
Q20;2014;010000032;010780062;M1150;1;;;;;;;;0.73;;0.04;0.48;0.02;0.02;0.11;0.06;;;1;0.73;
Q20;2014;010000032;010780062;M1160;1;1;;;;;;;1.04;0.36;0.07;0.79;0.06;0.06;0.23;0.19;;;2;1.4;
Q20;2014;010000032;010780062;M1190;;1;;;;;;;;1.04;0.09;0.58;0.06;0.06;0.19;0.06;;;1;1.04;
Q20;2014;010000032;010780062;M1200;1;;;2;;;;;1.04;1.06;0.1;1.16;0.1;0.04;0.35;0.35;;;3;2.1;
Q20;2014;010000032;010780062;M2010;4;;;;;;;;4.18;;0.41;1.91;0.48;0.57;0.39;0.42;;;4;4.18;
Q20;2014;010000032;010780062;M2020;;;1;;;;;;0.31;;0.05;0.11;0.01;0.03;0.09;0.02;;;1;0.31;
Q20;2014;010000032;010780062;M2030;1;;;;;;;;1.04;;0.06;0.64;0.07;0.05;0.12;0.1;;;1;1.04;
Q20;2014;010000032;010780062;M2050;;;3;;;;;;1.22;;0.04;0.73;0.11;0.05;0.14;0.15;;;3;1.22;
Q20;2014;010000032;010780062;M2070;;;1;;;;;;0.31;;0.02;0.13;0.06;0.01;0.07;0.02;;;1;0.31;
Q20;2014;010000032;010780062;M2120;1;;;;;;;;1.04;;0.08;0.66;0.04;0.05;0.1;0.11;;;1;1.04;
Q20;2014;010000032;010780062;M3040;;;1;;;;;;0.14;;0.01;0.11;0;0;0.01;0.01;;;1;0.14;
Q20;2014;010000032;010780062;M3050;1;1;;;;;;;1.05;1.04;0.05;1.29;0.28;0.02;0.31;0.14;;;2;2.09;
Q20;2014;010000032;010780062;M9999;20;7;11;2;;;;;24.93;7.57;1.44;18.46;2.46;1.29;4.66;4.19;;;40;32.5;
Q20;2014;010000065;010780096;M1010;1;2;2;1;;;;;2.13;2.21;;2.35;0.41;;;1.58;;;6;4.34;
Q20;2014;010000065;010780096;M1040;;;1;;;;;;0.2;;;;;;0.2;;;;1;0.2;
Q20;2014;010000065;010780096;M1160;;;1;;;;;;0.6;;;;;;0.6;;;;1;0.6;
Q20;2014;010000065;010780096;M1320;2;2;1;2;;;;;2.6;3.09;;4.69;0.83;;;0.17;;;7;5.69;
Q20;2014;010000065;010780096;M3050;1;1;;;;;;;1;0.7;;0.7;1;;;;;;2;1.7;
Q20;2014;010000065;010780096;M3060;1;;;;;;;;1;;;;;;;1;;;1;1;
Q20;2014;010000065;010780096;M9999;5;5;5;3;;;;;7.53;6;;7.74;2.24;;0.8;2.75;13.5;0;18;13.53;
Q20;2014;010000081;010780112;M1010;;;;2;;;;;0.01;0.89;;;;;;0.9;;;2;0.9;
Q20;2014;010000081;010780112;M1320;;;;1;;;;;;0.66;;;;;;0.66;;;1;0.66;
Q20;2014;010000081;010780112;M3050;;;;1;;;;;0.16;0.6;;0.6;;;;0.16;;;1;0.76;
Q20;2014;010000081;010780112;M9999;;;;4;;;;;0.17;2.15;;0.6;;;;1.72;;;4;2.32;
Q20;2014;010000099;010780120;M1320;;;1;;;;;;0.18;;;;;;;0.18;;;1;0.18;
Q20;2014;010000099;010780120;M3050;;;;1;;;;;0;0.42;;0.42;;;;;;;1;0.42;
Q20;2014;010000099;010780120;M3070;1;;;;;;;;1;;;;;;;1;;;1;1;
Q20;2014;010000099;010780120;M9999;1;;1;1;;;;;1.18;0.42;;0.42;;;;1.18;;1;3;1.6;
Q20;2014;010000107;010780138;M1320;;;1;2;;;;;0.45;1.31;;0.64;;;1.12;;;;3;1.76;
Q20;2014;010000107;010780138;M3050;;;;1;;;;;;0.2;;0.2;;;;;;;1;0.2;
Q20;2014;010000107;010780138;M9999;;;1;3;;;;;0.45;1.51;;0.84;;;1.12;;;;4;1.96;
Q20;2014;010000115;010009132;M1320;;1;2;;;;;;0.51;0.8;;1.31;;;;;;;3;1.31;
Q20;2014;010000115;010009132;M3050;;;1;;;;;;0.4;;;0.4;;;;;;;1;0.4;
Q20;2014;010000115;010009132;M9999;;1;3;;;;;;0.91;0.8;;1.71;;;;;;;4;1.71;
Q20;2014;010000131;010009132;M1010;;1;;;;;;;;1;;1;;;;;;;1;1;
Q20;2014;010000131;010009132;M1200;;1;;;;;;;;0.2;;0.2;;;;;;;1;0.2;
Q20;2014;010000131;010009132;M3050;;;1;1;;;;;;0.8;;0.8;;;;;;;2;0.8;
Q20;2014;010000131;010009132;M9999;;2;1;1;;;;;;2;;2;;;;;;;4;2;
Q20;2014;010000180;010007987;M1200;2;0;1;0;0;0;0;0;2.5;0;0;1.5;0;0;1;0;;;3;2.5;0
Q20;2014;010000180;010007987;M9999;2;0;1;0;0;0;0;0;2.5;0;0;1.5;0;0;1;0;;;3;2.5;0
Q20;2014;010000198;010007987;M1180;2;0;8;4;0;0;0;0;2.5;1.11;0;2.82;0;0;0.79;0;;;14;3.61;0
Q20;2014;010000198;010007987;M9999;2;0;8;4;0;0;0;0;2.5;1.11;0;2.82;0;0;0.79;0;;;14;3.61;0
Q20;2014;010000214;010007987;M1010;2;0;12;1;0;0;0;0;1.81;1.28;0;2;0;0;0;1.09;;;15;3.09;0
Q20;2014;010000214;010007987;M1150;1;1;0;0;0;0;0;0;1.29;0;0;1.29;0;0;0;0;;;2;1.29;0
Q20;2014;010000214;010007987;M1180;7;1;0;0;0;0;0;0;1.24;1;0;2;0;0;0;0.24;;;8;2.24;0
Q20;2014;010000214;010007987;M1320;1;1;4;2;0;0;0;0;1.11;1.57;0;2.56;0;0;0;0.12;;;8;2.68;0
Q20;2014;010000214;010007987;M2030;1;0;0;0;0;0;0;0;0.91;0;0;0.91;0;0;0;0;;;1;0.91;0
Q20;2014;010000214;010007987;M3030;0;0;1;0;0;0;0;0;0.1;0;0;0;0;0;0;0.1;;;1;0.1;0
Q20;2014;010000214;010007987;M3040;0;0;0;1;0;0;0;0;0;0.1;0;0.1;0;0;0;0;;;1;0.1;0
Q20;2014;010000214;010007987;M3050;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;;;2;2;0
Q20;2014;010000214;010007987;M9999;12;5;17;4;0;0;0;0;6.46;5.95;0;10.86;0;0;0;1.55;;;38;12.41;0
Q20;2014;010000495;010783009;M1010;5;11;;;;;;;3.29;7.38;;;;;;;;;16;10.67;
Q20;2014;010000495;010783009;M2070;1;;;;;;;;0.02;;;;;;;;;;1;0.02;
Q20;2014;010000495;010783009;M3020;25;33;2;2;;;;;20.55;27.16;;;;;;;;;62;47.71;
Q20;2014;010000495;010783009;M3030;;2;;;;;;;;0.42;;;;;;;;;2;0.42;
Q20;2014;010000495;010783009;M3040;3;;;;;;;;2.49;;;;;;;;;;3;2.49;
Q20;2014;010000495;010783009;M3050;;2;;;;;;;;2;;;;;;;;;2;2;
Q20;2014;010000495;010783009;M3060;;2;;;;;;;;1.01;;;;;;;;;2;1.01;
Q20;2014;010000495;010783009;M9999;34;50;2;2;;;;;26.35;37.97;;;;;;;;;88;64.32;
Q20;2014;010002129;750056335;M1010;1;2;;;;;;;1;2;;;;;;;;;3;3;
Q20;2014;010002129;750056335;M1120;;;;1;;;;;;0.06;;;;;;;;;1;0.06;
Q20;2014;010002129;750056335;M1180;;1;;;;;;;;1;;;;;;;;;1;1;
Q20;2014;010002129;750056335;M1320;1;;;;;;;;1;;;;;;;;;;1;1;
Q20;2014;010002129;750056335;M3011;;;;;;;;1;;;;;;;;;;;;;1
Q20;2014;010002129;750056335;M3040;;;;1;;;;;;0.2;;;;;;;;;1;0.2;
Q20;2014;010002129;750056335;M3050;;;1;;;;;;0.9;;;;;;;;;;1;0.9;
Q20;2014;010002129;750056335;M3060;;;;;;;;1;;;;;;;;;;;;;1
Q20;2014;010002129;750056335;M9999;2;3;1;2;;;;2;2.9;3.26;;;;;;;7.06;0;8;6.16;2
Q20;2014;010005239;010008407;M1010;11;2;0;1;0;0;0;0;13.06;2.93;0;15.65;0;0;0.34;0;;;14;15.99;0
Q20;2014;010005239;010008407;M1030;4;1;0;0;0;0;0;0;3.74;1.34;0;5.08;0;0;0;0;;;5;5.08;0
Q20;2014;010005239;010008407;M1040;0;0;2;0;0;0;0;0;0.8;0;0;0.6;0;0;0.2;0;;;2;0.8;0
Q20;2014;010005239;010008407;M1090;1;0;1;0;0;0;0;0;1.8;0;0;1.8;0;0;0;0;;;2;1.8;0
Q20;2014;010005239;010008407;M1120;0;0;0;1;0;0;0;0;0;0.6;0;0;0;0;0.6;0;;;1;0.6;0
