BOR;AN;FI;RS;FI_EJ;PERSO;EFFCDI;ETPCDI;EFFCDD;ETPCDD;EFFTIT;ETPTIT;EFFPNM;ETPPNM
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N1000;20;17.27;83;68.26;199;186.69;302;272.22
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N1100;;;;;5;4.81;5;4.81
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N1210;1;1;15;14.99;92;87.92;108;103.91
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N1220;19;16.27;68;53.27;100;92.56;187;162.1
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N1500;;;;;2;1.4;2;1.4
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2000;22;14.84;184;175.19;1038;950.41;1244;1140.44
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2120;1;0.86;;;27;26.94;28;27.8
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2130;;;;;1;0.29;1;0.29
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2210;;;56;62.48;433;395.69;489;458.17
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2310;;;;;29;25.43;29;25.43
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2320;;;;;27;23.77;27;23.77
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2340;;;3;2.28;32;30.05;35;32.33
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2350;1;0.21;;;;;1;0.21
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2410;2;0.62;5;3.5;9;8.36;16;12.48
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2420;;;1;0.23;;;1;0.23
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2430;;;1;0.13;2;0.72;3;0.85
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2440;;;2;0.21;;;2;0.21
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2450;;;6;4.38;7;6.62;13;11
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2460;2;1.45;1;1;4;2.62;7;5.07
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2470;1;0.5;1;0.2;;;2;0.7
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2510;2;1.5;36;30.25;326;308.19;364;339.94
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2520;;;;;3;2.58;3;2.58
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2530;;;18;17.46;34;30.22;52;47.68
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2610;6;5.65;41;45.21;58;51.54;105;102.4
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2710;6;3.8;6;2.68;8;6.12;20;12.6
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N2800;1;0.25;7;5.18;38;31.27;46;36.7
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N3000;6;4.1;5;4.34;9;7.6;20;16.04
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N3120;1;0.5;2;1.05;6;5.2;9;6.75
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N3130;5;3.6;3;3.29;3;2.4;11;9.29
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N4000;5;4.54;17;16.02;87;82.2;109;102.76
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N4110;;;5;4.76;33;30.6;38;35.36
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N4120;2;1.73;6;7.65;26;24.44;34;33.82
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N4130;;;6;3.61;25;24.39;31;28
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N4160;;;;;3;2.77;3;2.77
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N4180;3;2.81;;;;;3;2.81
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N5000;30;28.85;82;82.31;160;155.25;272;266.41
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N5110;8;6.71;;;3;4.16;11;10.87
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N511A;13;12.9;;0.83;19;19.21;32;32.94
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N5130;9;9.24;79;78.24;128;122.13;216;209.61
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N5140;;;3;3.24;10;9.75;13;12.99
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N9999;83;69.6;371;346.12;1493;1382.15;1947;1797.87
Q23;2024;010000024;CH DE FLEYRIAT;010780054;N999H;82;69.35;364;340.94;1455;1350.88;1901;1761.17
Q23;2024;010000032;CH BUGEY SUD;010780062;N1000;10;8.82;11;6.22;52;46.55;73;61.59
Q23;2024;010000032;CH BUGEY SUD;010780062;N1100;;;;;2;1.8;2;1.8
Q23;2024;010000032;CH BUGEY SUD;010780062;N1210;;;;;9;7.74;9;7.74
Q23;2024;010000032;CH BUGEY SUD;010780062;N1220;10;8.82;11;6.22;41;37.01;62;52.05
Q23;2024;010000032;CH BUGEY SUD;010780062;N2000;38;32.61;30;23.69;204;187.84;272;244.14
Q23;2024;010000032;CH BUGEY SUD;010780062;N2120;;;;;9;7.88;9;7.88
Q23;2024;010000032;CH BUGEY SUD;010780062;N2210;8;7.23;6;6.17;80;76.51;94;89.91
Q23;2024;010000032;CH BUGEY SUD;010780062;N2310;;;;;2;2.71;2;2.71
Q23;2024;010000032;CH BUGEY SUD;010780062;N2320;;;;;1;0.86;1;0.86
Q23;2024;010000032;CH BUGEY SUD;010780062;N2340;;;;;1;1;1;1
Q23;2024;010000032;CH BUGEY SUD;010780062;N2410;5;4.23;;;;;5;4.23
Q23;2024;010000032;CH BUGEY SUD;010780062;N2430;0;0.29;;;;;0;0.29
Q23;2024;010000032;CH BUGEY SUD;010780062;N2440;;;1;0.1;;;1;0.1
Q23;2024;010000032;CH BUGEY SUD;010780062;N2450;;;;;1;0.5;1;0.5
Q23;2024;010000032;CH BUGEY SUD;010780062;N2460;2;2.64;;0.11;2;1.5;4;4.25
Q23;2024;010000032;CH BUGEY SUD;010780062;N2510;3;4.05;4;3.37;65;63.17;72;70.59
Q23;2024;010000032;CH BUGEY SUD;010780062;N2520;;;0;0.06;;;0;0.06
Q23;2024;010000032;CH BUGEY SUD;010780062;N2530;1;1;4;3.3;3;2.41;8;6.71
Q23;2024;010000032;CH BUGEY SUD;010780062;N2610;15;11.12;10;7.96;29;21.33;54;40.41
Q23;2024;010000032;CH BUGEY SUD;010780062;N2710;4;2.05;1;0.44;1;0.85;6;3.34
Q23;2024;010000032;CH BUGEY SUD;010780062;N2800;;;4;2.18;10;9.12;14;11.3
Q23;2024;010000032;CH BUGEY SUD;010780062;N3000;0;0.22;1;0.35;0;1.17;1;1.74
Q23;2024;010000032;CH BUGEY SUD;010780062;N3120;0;0.22;1;0.35;0;1.17;1;1.74
Q23;2024;010000032;CH BUGEY SUD;010780062;N4000;2;1.44;2;1.77;25;23.01;29;26.22
Q23;2024;010000032;CH BUGEY SUD;010780062;N4110;;;;;9;9;9;9
Q23;2024;010000032;CH BUGEY SUD;010780062;N4120;2;1.44;2;1.77;6;4.56;10;7.77
Q23;2024;010000032;CH BUGEY SUD;010780062;N4130;;;;;9;8.45;9;8.45
Q23;2024;010000032;CH BUGEY SUD;010780062;N4160;;;;;1;1;1;1
Q23;2024;010000032;CH BUGEY SUD;010780062;N5000;8;5.38;4;4.35;29;21.44;41;31.17
Q23;2024;010000032;CH BUGEY SUD;010780062;N5110;2;1.33;;0.67;4;3.61;6;5.61
Q23;2024;010000032;CH BUGEY SUD;010780062;N511A;1;0.42;;;5;3.42;6;3.84
Q23;2024;010000032;CH BUGEY SUD;010780062;N5130;3;1.8;3;2.55;16;10.11;22;14.46
Q23;2024;010000032;CH BUGEY SUD;010780062;N5140;2;1.83;1;1.13;4;4.3;7;7.26
Q23;2024;010000032;CH BUGEY SUD;010780062;N9999;58;48.47;48;36.38;310;280.01;416;364.86
Q23;2024;010000032;CH BUGEY SUD;010780062;N999H;58;48.47;44;34.2;300;270.89;402;353.56
Q23;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N1000;11;6.56;;;14;12.56;25;19.12
