BOR;AN;FI;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2014;010000024;010780054;GEN;358;1008;1;IAO;33599;4264;9514;8456;2755;1450;;;;58;5;13;8514;8;2920;2835;468;2428;0;1
URGENCES2;2014;010000032;010780062;GEN;168;129;0;;14576;1777;4910;2769;1003;579;3;3;0;157;18;18;2929;2;730;534;132;440;1;0
URGENCES2;2014;010005239;010008407;GEN;504;336;0;;21720;;;4963;;;;;;;;;4963;8;2920;2062;367;6008;;
URGENCES2;2014;010780195;010000156;GEN;189;280;0;;20979;1467;4387;3696;665;152;;;;65;5;3;3761;4;1460;1771;1225;561;1;0
URGENCES2;2014;010780203;010006450;GEN;336;350;0;;21174;1858;5457;1737;685;28;1164;345;82;459;91;92;3360;6;2190;247;173;86;0;1
URGENCES2;2014;020000162;020000063;GEN;323;991;1;IAO;33557;4864;95;8081;2476;2;880;7;0;761;306;0;9722;10;3650;3924;669;4204;1;1
URGENCES2;2014;020000162;020000063;PED;105;237;0;;17537;;;;;;;;;;;;2173;0;0;0;0;0;;
URGENCES2;2014;020000394;020000253;GEN;666;924;1;IAO;29415;1712;4164;7131;440;324;;;;;;;7131;4;1460;1233;329;1032;1;1
URGENCES2;2014;020000394;020000253;PED;168;168;0;;10918;;;;;;;;;;;;1210;0;0;0;0;0;;
URGENCES2;2014;020000519;020000261;GEN;510;728;1;IAO;32618;3519;6351;7040;1599;176;32;9;0;265;16;35;7337;4;1460;891;265;828;1;0
URGENCES2;2014;020000519;020000261;PED;168;105;1;IAO;9473;;;;;;;;;;;;1403;;;0;0;0;;
URGENCES2;2014;020000535;020000287;GEN;399;305;1;IAO;20196;4620;2212;4594;;;;;;;;;4594;2;948;963;347;642;1;0
URGENCES2;2014;020001061;020004404;GEN;266;399;1;IAO;28671;3160;8418;7105;1236;130;;;;185;23;13;7290;5;1825;4239;3012;1245;1;0
URGENCES2;2014;020001087;020004495;GEN;336;406;1;IAO;12891;1612;4094;2629;;;41;;;;;;2670;4;1367;1485;859;685;1;1
URGENCES2;2014;020010047;020001632;GEN;168;168;1;IAO;13177;960;2546;1346;890;;;;;130;;;1476;6;2190;481;466;15;1;0
URGENCES2;2014;030000061;030780092;GEN;336;655;1;IAO;35901;4179;10632;10204;3036;1702;;;;;;;10204;8;2920;2467;81;2498;1;1
URGENCES2;2014;030000079;030780100;GEN;219;361;1;IAO;36988;4403;15218;9561;3113;1867;152;8;3;464;134;34;10177;6;2190;2800;753;2132;1;0
URGENCES2;2014;030000087;030780118;GEN;505;674;1;IAO;33650;;;8842;;;332;;;;;;9174;10;3650;4190;802;4291;0;1
URGENCES2;2014;030781116;030000426;GEN;168;228;0;;9485;;;2789;;;;;;;;;2789;4;1460;165;151;14;1;0
URGENCES2;2014;040000093;040780215;GEN;490;752;1;IAO;29356;3032;7564;6531;1620;721;67;56;;891;168;70;7489;8;2920;3215;1404;1906;1;1
URGENCES2;2014;040000135;050002948;GEN;336;434;1;IAO;15233;1487;3671;2665;907;107;17;15;0;330;;;3012;4;1460;1011;260;779;1;0
URGENCES2;2014;040000911;040788879;GEN;210;280;1;IAO;18798;;;4713;;;255;;;384;;;5352;4;1460;2063;838;1411;;
URGENCES2;2014;050000231;050000116;GEN;207;210;1;IAO;18022;1073;4437;3549;593;462;154;2;;171;;;3874;2;730;673;406;269;1;0
URGENCES2;2014;050000256;050000124;GEN;168;168;1;IAO;9353;735;2507;571;330;2;13;10;;325;37;1;909;2;730;286;100;192;;
URGENCES2;2014;050000348;050002948;GEN;280;577;1;IAO;27481;3373;5604;6459;1842;920;1;1;0;612;112;35;7072;9;3285;3430;1856;1612;1;1
URGENCES2;2014;060000478;060780897;GEN;689;107;1;IAO;47298;3004;23868;5486;1223;2944;;;;;;;3422;10;3137;2388;1288;1147;;
URGENCES2;2014;060000510;060780954;GEN;694;703;1;IAO;40463;6219;7659;10360;3149;627;430;41;0;559;118;44;11349;12;4380;3539;860;3668;1;0
URGENCES2;2014;060000544;060780988;GEN;557;899;1;MAO;57141;6901;13958;13090;;1071;997;;;1562;;;14578;4;1460;1407;876;638;0;1
URGENCES2;2014;060001450;060785011;GEN;675;1512;1;IAO;78780;13948;2288;18191;5636;112;3644;2131;0;639;887;39;22474;10;3650;4009;2702;1323;;
URGENCES2;2014;060002102;060791761;GEN;336;238;0;;18918;2984;3125;2459;1313;56;27;7;;713;189;54;3199;2;730;590;174;432;0;1
URGENCES2;2014;060780491;060790797;GEN;180;245;;;21391;2116;1879;2347;592;20;0;0;0;164;40;9;2511;4;0;0;0;0;1;0
URGENCES2;2014;060780517;060000239;GEN;33;45;1;IAO;32684;2981;2190;1961;;;;;;;;;1961;5;1825;849;833;16;1;1
URGENCES2;2014;060780715;060000361;GEN;280;322;1;IAO;28090;3974;2042;4575;1471;41;;;;947;478;5;5522;4;1098;0;0;0;1;1
URGENCES2;2014;060780723;060004959;GEN;168;168;0;;15787;1214;400;1499;401;;;;;95;7;2;1594;8;2920;1677;113;1873;;
URGENCES2;2014;060780947;060800174;PED;347;924;1;IAO;57573;;;;;;;;;;;;6300;7;2555;3384;1410;2002;;
URGENCES2;2014;070000013;070002878;GEN;336;252;0;;13995;1612;3036;2465;298;4;;;;343;128;2;2808;5;1825;1019;216;1176;1;1
URGENCES2;2014;070000179;070780358;GEN;476;336;1;IAO;28447;2819;8651;6322;;;;;;;;;6322;10;3650;3480;607;3098;1;1
URGENCES2;2014;070000609;070005566;GEN;425;509;1;IAO;25571;3339;5610;;;;;;;;;;;5;1825;1260;287;982;1;1
URGENCES2;2014;070780424;070000245;GEN;168;283;1;IAO;16121;;;2257;;;;;;133;;;2390;3;1095;333;71;269;1;1
URGENCES2;2014;080000110;080000037;GEN;218;455;1;IAO;21241;1907;6225;6469;1481;1088;2;0;0;212;13;22;6683;3;1095;3464;2476;1004;1;0
URGENCES2;2014;080000219;080001969;GEN;168;168;0;;12927;3719;1467;1073;516;60;0;0;0;217;16;54;1290;4;1460;2300;1577;748;1;0
URGENCES2;2014;080000276;080001969;GEN;168;168;0;;6798;745;1718;237;151;3;14;10;0;157;27;35;408;2;730;1225;874;377;1;0
URGENCES2;2014;080000425;080000615;GEN;348;1356;1;IAO;51215;5118;16184;9948;2581;1921;20;16;0;1296;185;0;11264;14;5110;7490;3884;3786;1;0
URGENCES2;2014;090000175;090781774;GEN;403;687;1;IAO;34605;3876;9548;7304;1992;1060;1;1;0;396;64;45;7701;6;2190;2580;1101;1615;1;1
URGENCES2;2014;090000183;090781816;GEN;336;336;0;;10158;;;;;;;;;;;;;3;1095;1081;476;620;0;1
URGENCES2;2014;090001629;090780107;GEN;168;168;1;IAO;5415;641;1480;224;165;;8;8;;;;;232;;;0;0;0;1;1
URGENCES2;2014;100000090;100000017;GEN;504;969;1;IAO;52401;6802;13078;15872;4162;2170;8;13;0;77;89;74;15957;15;5475;4005;720;3757;1;1
URGENCES2;2014;100000199;100006279;GEN;168;288;0;;17528;2570;3860;2350;;;18;;;728;;;3096;4;1460;816;253;661;1;0
URGENCES2;2014;110000023;110780061;GEN;238;735;1;IAO;33796;5128;8004;7723;2645;1245;;;;308;56;35;8031;9;3285;2585;919;1928;1;1
URGENCES2;2014;110000049;110780087;GEN;168;168;1;IAO;12758;;;335;;;;;;373;;;708;2;730;426;109;336;0;1
URGENCES2;2014;110000056;110780137;GEN;217;503;1;IAO;40773;4279;11520;8254;2512;1935;;;;1111;;;9365;9;3285;3347;1323;2545;0;0
URGENCES2;2014;110780228;110000114;GEN;168;221;1;IAO;18573;1511;4116;2019;788;101;;;;;;;2019;4;1460;392;160;242;0;1
URGENCES2;2014;110780483;110000155;GEN;168;292;1;IAO;19986;1100;5425;1532;296;89;;;;;;;1532;4;1460;159;56;103;;
URGENCES2;2014;120000039;120780044;GEN;336;332;1;IAO;29266;4343;7734;7776;2774;981;55;5;46;1755;792;55;9586;8;2920;1621;366;1327;;
URGENCES2;2014;120000054;120780069;GEN;186;186;1;MAO;13949;2084;2701;3696;1276;159;;;;;;;3696;2;730;539;301;241;1;0
URGENCES2;2014;120000070;120780085;GEN;195;328;1;IAO;10752;1798;2478;2467;1159;48;10;7;0;236;82;29;2713;2;730;804;491;315;1;
URGENCES2;2014;120004569;120004528;GEN;168;252;1;IAO;16763;2028;3751;2835;;;64;;;368;;;3267;3;1095;953;360;612;1;1
