BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2014;010000024;010780054;M9999;22;3;13.43;1;1
URGENCES_P;2014;010000024;010780054;N1220;4;;4;;0
URGENCES_P;2014;010000024;010780054;N2120;1;;1;;0
URGENCES_P;2014;010000024;010780054;N2500;16;2;16.3;;
URGENCES_P;2014;010000024;010780054;N9999;44;10;47.9;;
URGENCES_P;2014;010000024;010780054;NINF;20;8;23.35;1;1
URGENCES_P;2014;010000032;010780062;M9999;4;2;2.86;1;1
URGENCES_P;2014;010000032;010780062;N1220;2;;2;1;1
URGENCES_P;2014;010000032;010780062;N2120;1;;0.48;1;1
URGENCES_P;2014;010000032;010780062;N2500;8;;4.07;;
URGENCES_P;2014;010000032;010780062;N9999;31;2;17.06;;
URGENCES_P;2014;010000032;010780062;NINF;20;2;10.51;1;1
URGENCES_P;2014;010005239;010008407;M9999;10;0;11.5;;
URGENCES_P;2014;010005239;010008407;N1220;2;0;1.81;;
URGENCES_P;2014;010005239;010008407;N2120;1;0;0.5;;
URGENCES_P;2014;010005239;010008407;N2500;11;0;11.26;;
URGENCES_P;2014;010005239;010008407;N9999;32;2;32.81;;
URGENCES_P;2014;010005239;010008407;NINF;18;2;18.79;;
URGENCES_P;2014;010780195;010000156;M9999;6;0;6;;
URGENCES_P;2014;010780195;010000156;N1220;3;;3.29;;
URGENCES_P;2014;010780195;010000156;N2120;1;;0.98;;
URGENCES_P;2014;010780195;010000156;N2500;2;1;2.68;;
URGENCES_P;2014;010780195;010000156;NINF;8;2;9.23;;
URGENCES_P;2014;010780203;010006450;M9999;5;2;7;;1
URGENCES_P;2014;010780203;010006450;N1220;2;;2;;1
URGENCES_P;2014;010780203;010006450;N2120;1;;1;;1
URGENCES_P;2014;010780203;010006450;N2500;1;11;5.53;;
URGENCES_P;2014;010780203;010006450;N2620;5;4;6.91;;1
URGENCES_P;2014;010780203;010006450;N3120;;1;0.58;;
URGENCES_P;2014;010780203;010006450;N9999;17;38;26.22;;
URGENCES_P;2014;010780203;010006450;NINF;7;24;11.84;;1
URGENCES_P;2014;020000162;020000063;M1140;0;7;1;;0
URGENCES_P;2014;020000162;020000063;M3020;0;5;1;;
URGENCES_P;2014;020000162;020000063;M9999;9;5;11.65;1;1
URGENCES_P;2014;020000162;020000063;N1220;3;3;4.74;3;1
URGENCES_P;2014;020000162;020000063;N2120;3;0;1.95;3;1
URGENCES_P;2014;020000162;020000063;N2500;42;1;40.3;;
URGENCES_P;2014;020000162;020000063;N9999;99;16;102.1;;
URGENCES_P;2014;020000162;020000063;NINF;37;8;39.84;3;1
URGENCES_P;2014;020000394;020000253;M1140;0;0;0.67;;0
URGENCES_P;2014;020000394;020000253;M9999;13;3;13.89;1;1
URGENCES_P;2014;020000394;020000253;N1220;2;0;1.52;1;1
URGENCES_P;2014;020000394;020000253;N2120;0;0;0.67;1;1
URGENCES_P;2014;020000394;020000253;N2500;10;1;10.16;;
URGENCES_P;2014;020000394;020000253;N2620;0;0;0;1;1
URGENCES_P;2014;020000394;020000253;N3120;1;1;0.9;;
URGENCES_P;2014;020000394;020000253;N9999;75;11;72.49;;
URGENCES_P;2014;020000394;020000253;NINF;43;6;38.07;1;1
URGENCES_P;2014;020000519;020000261;M9999;8;2;10.75;2;1
URGENCES_P;2014;020000519;020000261;N1220;2;3;4.4;;0
URGENCES_P;2014;020000519;020000261;N2120;1;;1;2;1
URGENCES_P;2014;020000519;020000261;N2500;9;5;13.17;;
