BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2014;010000024;010780054;M100H;4;;0.8;0;0
BLOCS_P;2014;010000024;010780054;M1030;7;2;4.6;1;0
BLOCS_P;2014;010000024;010780054;M200H;20;2;7.64;0;1
BLOCS_P;2014;010000024;010780054;N2200;14;4;15.49;0;0
BLOCS_P;2014;010000024;010780054;N2310;17;7;21.82;1;1
BLOCS_P;2014;010000024;010780054;N2320;15;3;17.06;0;1
BLOCS_P;2014;010000024;010780054;N2510;11;3;12.82;0;0
BLOCS_P;2014;010000024;010780054;NAUT;2;0;2;0;0
BLOCS_P;2014;010000032;010780062;M1030;1;;0.47;0;1
BLOCS_P;2014;010000032;010780062;M200H;2;;2.5;0;1
BLOCS_P;2014;010000032;010780062;N2200;4;5;8.34;0;1
BLOCS_P;2014;010000032;010780062;N2310;3;1;3.49;0;1
BLOCS_P;2014;010000032;010780062;NAUT;5;1;5.63;0;0
BLOCS_P;2014;010005239;010008407;M1030;5;0;4.44;;
BLOCS_P;2014;010005239;010008407;M200H;6;0;2.6;;
BLOCS_P;2014;010005239;010008407;N2200;5;4;7.89;;
BLOCS_P;2014;010005239;010008407;N2310;6;1;6.9;;
BLOCS_P;2014;010005239;010008407;N2320;3;0;3;;
BLOCS_P;2014;010005239;010008407;N2510;1;0;1;;
BLOCS_P;2014;010005239;010008407;NAUT;4;0;3.35;;
BLOCS_P;2014;010007300;010007292;N2200;0;3;2.47;;
BLOCS_P;2014;010007300;010007292;N2310;0;1;0.54;;
BLOCS_P;2014;010007300;010007292;NAUT;0;1;0.54;;
BLOCS_P;2014;010780195;010000156;M100H;10;28;13.85;0;1
BLOCS_P;2014;010780195;010000156;M1030;11;1;11.5;0;1
BLOCS_P;2014;010780195;010000156;M200H;15;9;20;0;1
BLOCS_P;2014;010780195;010000156;N2200;23;5;27.55;0;1
BLOCS_P;2014;010780195;010000156;N2310;1;1;1.92;0;1
BLOCS_P;2014;010780195;010000156;N4130;6;0;6;0;1
BLOCS_P;2014;010780195;010000156;N4160;1;;1;0;0
BLOCS_P;2014;010780195;010000156;NAUT;10;1;11.28;0;0
BLOCS_P;2014;010780203;010006450;M100H;10;16;26;0;1
BLOCS_P;2014;010780203;010006450;M1030;2;2;4.26;0;1
BLOCS_P;2014;010780203;010006450;M200H;4;15;19;0;1
BLOCS_P;2014;010780203;010006450;N2200;;;;;1
BLOCS_P;2014;010780203;010006450;N2320;;;;;1
BLOCS_P;2014;010780203;010006450;N4160;1;;1;;
BLOCS_P;2014;020000162;020000063;M100H;0;3;0.5;0;0
BLOCS_P;2014;020000162;020000063;M1030;5;3;7.1;1;1
BLOCS_P;2014;020000162;020000063;M200H;17;6;20.2;0;1
BLOCS_P;2014;020000162;020000063;N2200;18;9;25.1;1;0
BLOCS_P;2014;020000162;020000063;N2310;18;11;25.03;1;0
BLOCS_P;2014;020000162;020000063;N2320;11;4;13.95;1;0
BLOCS_P;2014;020000162;020000063;N2510;13;0;12.54;1;0
