BOR;AN;FI;FI_EJ;LIT_REA;SEJ_REA;SEJENF_REA;JOU_REA;LIT_BRU;SEJ;SEJENF;JOU;SAL;TISS;CONVSSR;ACT;VEN;CONS;FILADU;FILENF
BRULES;2014;130780521;130786049;2;24;24;146;4;171;171;329;0;0;;;0;;0;34
BRULES;2014;130783236;130786049;16;342;16;4583;;0;0;0;0;1;;807;3;2191;180;12
BRULES;2014;310016977;310781406;3;554;547;1970;;0;0;0;0;1;1;59;0;2170;0;58
BRULES;2014;310783055;310781406;6;79;3;1720;6;105;3;1000;;1;1;476;0;;132;5
BRULES;2014;330781360;330781196;16;234;44;4046;12;703;111;2610;1;;;1751;23;4338;195;53
BRULES;2014;340785161;340780477;6;39;3;1249;6;185;11;2010;;;;687;9;2916;151;11
BRULES;2014;370004467;370000481;10;168;2;3133;;0;0;0;1;1;1;2200;0;1314;121;2
BRULES;2014;440000271;440000289;6;96;3;1583;13;370;15;3722;0;0;0;867;6;;281;10
BRULES;2014;570026682;570005165;11;133;1;3591;0;0;0;0;1;0;1;2373;0;1245;123;1
BRULES;2014;590796975;590780193;12;146;21;3468;4;971;181;0;1;1;1;471;106;973;259;55
BRULES;2014;690783154;690781810;21;416;126;5956;0;0;0;0;1;1;0;1966;0;4306;227;88
BRULES;2014;690805361;690805353;8;306;84;4934;7;51;3;161;1;1;1;6628;0;1674;220;76
BRULES;2014;750100075;750712184;15;170;5;4449;5;224;4;1734;1;1;1;2554;0;5304;193;6
BRULES;2014;750100109;750712184;10;245;245;2789;16;843;842;4083;1;0;0;939;13;4996;0;535
BRULES;2014;830100574;750821092;3;57;0;824;5;144;0;1475;1;1;1;1094;32;1999;404;9
BRULES;2014;920120011;750821092;8;64;0;2546;5;131;8;2334;1;0;0;267;0;999;122;8
BRULES;2014;970100442;970100228;4;123;9;550;;0;0;0;0;0;1;516;26;678;58;5
BRULES;2014;970400024;970408589;6;84;27;1371;1;498;254;0;1;1;1;572;45;1062;80;55
BRULES;2014;980500011;980500003;0;0;0;0;1;0;0;0;1;1;;141;0;2529;0;0
