BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
BRULES_P;2014;130780521;130786049;M1030;2;;0.7;;
BRULES_P;2014;130780521;130786049;M2040;;1;0.06;;
BRULES_P;2014;130780521;130786049;MAUT;2;;0.6;;
BRULES_P;2014;130780521;130786049;N2120;;;0.02;;
BRULES_P;2014;130780521;130786049;N2300;6;4;4.32;;
BRULES_P;2014;130780521;130786049;N2200;5;0;1.97;;
BRULES_P;2014;130780521;130786049;N2500;2;2;2.52;;
BRULES_P;2014;130783236;130786049;M1030;4;1;1.94;;
BRULES_P;2014;130783236;130786049;N2120;1;0;1;;
BRULES_P;2014;130783236;130786049;N2300;4;0;4;;
BRULES_P;2014;130783236;130786049;N2200;35;4;38.2;;
BRULES_P;2014;130783236;130786049;N2500;21;2;1.6;;
BRULES_P;2014;310016977;310781406;M2040;1;;0.1;0;1
BRULES_P;2014;310016977;310781406;N2300;8;1;8.68;;
BRULES_P;2014;310016977;310781406;N2200;4;2;5.68;;
BRULES_P;2014;310016977;310781406;N2410;1;1;1;;
BRULES_P;2014;310016977;310781406;N2500;8;1;8.64;;
BRULES_P;2014;310016977;310781406;N2710;1;;0.4;;
BRULES_P;2014;310016977;310781406;NAUT;1;;0.2;;
BRULES_P;2014;310783055;310781406;M1030;5;1;5.4;1;1
BRULES_P;2014;310783055;310781406;M2040;2;1;0.2;;
BRULES_P;2014;310783055;310781406;N2120;;1;0.8;;
BRULES_P;2014;310783055;310781406;N2300;5;1;5.31;;
BRULES_P;2014;310783055;310781406;N2200;16;1;16.5;;
BRULES_P;2014;310783055;310781406;NAUT;1;;0.5;;
BRULES_P;2014;330781360;330781196;M1030;3;1;2.93;1;
BRULES_P;2014;330781360;330781196;M2040;8;5;8.5;1;
BRULES_P;2014;330781360;330781196;MAUT;1;;0.7;;
BRULES_P;2014;330781360;330781196;N2120;1;;1;;
BRULES_P;2014;330781360;330781196;N2300;28;14;39.95;;
BRULES_P;2014;330781360;330781196;N2200;;1;0.9;;
BRULES_P;2014;330781360;330781196;N2500;24;5;28.34;;
BRULES_P;2014;330781360;330781196;N2710;1;;0.96;;
BRULES_P;2014;340785161;340780477;M1030;3;2;2.8;1;1
BRULES_P;2014;340785161;340780477;M1180;1;1;0.2;;
BRULES_P;2014;340785161;340780477;M2040;;1;0.5;0;1
BRULES_P;2014;340785161;340780477;MAUT;1;1;0.6;;
BRULES_P;2014;340785161;340780477;N2120;1;;1;;
BRULES_P;2014;340785161;340780477;N2300;20;;20.44;;
BRULES_P;2014;340785161;340780477;N2500;19;;18.19;;
BRULES_P;2014;340785161;340780477;N2710;1;;0.1;;
BRULES_P;2014;340785161;340780477;NAUT;2;;1;;
BRULES_P;2014;370004467;370000481;M1030;2;;2;1;0
BRULES_P;2014;370004467;370000481;M2040;1;;0.8;0;1
BRULES_P;2014;370004467;370000481;N2120;1;0;1;;
BRULES_P;2014;370004467;370000481;N2300;26;8;32.12;;
BRULES_P;2014;370004467;370000481;N2500;1;0;1;;
BRULES_P;2014;370004467;370000481;NAUT;11;0;11.17;;
BRULES_P;2014;440000271;440000289;M1030;4;;1.41;0;0
BRULES_P;2014;440000271;440000289;M2040;7;2;3.44;0;0
BRULES_P;2014;440000271;440000289;N2120;0;0;0.16;;
BRULES_P;2014;440000271;440000289;N2300;9;3;12.49;;
BRULES_P;2014;440000271;440000289;N2200;3;2;5.09;;
BRULES_P;2014;440000271;440000289;N2410;2;0;1.58;;
BRULES_P;2014;440000271;440000289;N2500;10;2;14.61;;
BRULES_P;2014;440000271;440000289;N2710;0;1;0.25;;
BRULES_P;2014;440000271;440000289;NAUT;4;0;3.53;;
BRULES_P;2014;570026682;570005165;M1030;4;;4;0;1
BRULES_P;2014;570026682;570005165;M2040;2;;2;1;0
BRULES_P;2014;570026682;570005165;N2120;1;;1;;
BRULES_P;2014;570026682;570005165;N2300;1;;1;;
BRULES_P;2014;570026682;570005165;N2200;22;3;22.62;;
BRULES_P;2014;570026682;570005165;N2500;14;2;15;;
BRULES_P;2014;570026682;570005165;NAUT;2;1;1.45;;
BRULES_P;2014;590796975;590780193;M1030;;;1.89;1;1
BRULES_P;2014;590796975;590780193;M2040;;;0.06;0;1
BRULES_P;2014;590796975;590780193;MAUT;;;0.05;;
BRULES_P;2014;590796975;590780193;N2120;0;1;0.19;;
BRULES_P;2014;590796975;590780193;N2300;1;0;0.5;;
BRULES_P;2014;590796975;590780193;N2200;28;4;29.21;;
BRULES_P;2014;590796975;590780193;N2410;1;1;1.42;;
BRULES_P;2014;590796975;590780193;N2500;21;3;22.57;;
BRULES_P;2014;590796975;590780193;N2710;0;2;0.6;;
BRULES_P;2014;590796975;590780193;NAUT;3;0;3;;
BRULES_P;2014;690783154;690781810;M1030;3;1;2.59;1;0
BRULES_P;2014;690783154;690781810;M1180;;1;0.23;;
BRULES_P;2014;690783154;690781810;M2040;;;;0;1
BRULES_P;2014;690783154;690781810;MAUT;3;2;2.45;;
BRULES_P;2014;690783154;690781810;N2120;1;;1;;
BRULES_P;2014;690783154;690781810;N2300;32;4;35.06;;
BRULES_P;2014;690783154;690781810;N2200;3;;2.5;;
BRULES_P;2014;690783154;690781810;N2410;;;2.1;;
BRULES_P;2014;690783154;690781810;N2500;28;1;28.15;;
BRULES_P;2014;690783154;690781810;NAUT;2;1;3.03;;
BRULES_P;2014;690805361;690805353;M1030;3;1;3.69;1;1
