BOR;AN;FI;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2014;010000024;010780054;112AX;;;;3;6;357;;;;;
DIALYSE;2014;010000024;010780054;112BA;;;;16;78;9320;;;;;
DIALYSE;2014;010000024;010780054;1130X;;;;14;24;4910;;;;;
DIALYSE;2014;010000024;010780054;1140X;;;;12;0;1143;;;;;
DIALYSE;2014;010000024;010780054;1150A;;;;1;4;312;;;;;
DIALYSE;2014;010000024;010780054;122BA;;;;5;3;;;;51;;
DIALYSE;2014;010000024;010780054;TOT;0;;;;;;756;;;24;4
DIALYSE;2014;010006526;690796552;1130X;;;;10;9;1108;;;;;
DIALYSE;2014;010006526;690796552;1140X;;;;;3;366;;;;;
DIALYSE;2014;010006526;690796552;TOT;1;1;10;;;;;;;;
DIALYSE;2014;010780294;690000278;112AX;;;;1;1;90;;;;;
DIALYSE;2014;010780294;690000278;112BA;;;;12;43;6878;;;;;
DIALYSE;2014;010780294;690000278;1130X;;;;5;9;1492;;;;;
DIALYSE;2014;010780294;690000278;1140X;;;;6;6;905;;;;;
DIALYSE;2014;010780294;690000278;TOT;0;;;;;;;;;;
DIALYSE;2014;010789006;670005834;112AX;;;;2;4;364;;;;;
DIALYSE;2014;010789006;670005834;1130X;;;;12;31;4899;;;;;
DIALYSE;2014;010789006;670005834;1140X;;;;6;7;1144;;;;;
DIALYSE;2014;010789006;670005834;1150A;;;;;1;634;;;;;
DIALYSE;2014;010789006;670005834;121AA;;;;;7;;;;322;;
DIALYSE;2014;010789006;670005834;121CA;;;;5;5;;;;257;;
DIALYSE;2014;010789006;670005834;TOT;0;;;;;;;;;;
DIALYSE;2014;020000162;020000063;112BA;;;;30;121;18300;;;;;
DIALYSE;2014;020000162;020000063;TOT;0;;;;;;1633;2;;61;1
DIALYSE;2014;020000394;020000253;112AX;;;;2;1;30;;;;;
DIALYSE;2014;020000394;020000253;112BA;;;;12;111;5927;;;;;
DIALYSE;2014;020000394;020000253;TOT;0;;;;;;287;1;;18;2
DIALYSE;2014;020000519;020000261;112AX;;;;1;1;1;;;;;
DIALYSE;2014;020000519;020000261;112BA;;;;12;70;9506;;;;;
DIALYSE;2014;020000519;020000261;1140X;;;;17;13;;;;;;
DIALYSE;2014;020000519;020000261;122AX;;;;2;1;;;;1;;
DIALYSE;2014;020000519;020000261;122BA;;;;1;1;;;;50;;
DIALYSE;2014;020000519;020000261;TOT;0;;;;;;610;1;;33;1
DIALYSE;2014;020001772;590799995;1130X;;;;6;24;3628;;;;;
