BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2014;010000024;010780054;M1110;3;1;1;0;1
DIALYSE_P;2014;010000024;010780054;N2500;2;5;6.11;;
DIALYSE_P;2014;010000024;010780054;NAUT;2;;2;;
DIALYSE_P;2014;010000024;010780054;NCINF;18;4;19.73;;
DIALYSE_P;2014;010006526;690796552;M1110;0;1;0.25;0;1
DIALYSE_P;2014;010006526;690796552;NCINF;0;4;2.3;;
DIALYSE_P;2014;010780294;690000278;M1110;2;;2.06;0;1
DIALYSE_P;2014;010780294;690000278;N2500;4;;4;;
DIALYSE_P;2014;010780294;690000278;N4100;;1;0.87;;
DIALYSE_P;2014;010780294;690000278;NAUT;1;;1;;
DIALYSE_P;2014;010780294;690000278;NCINF;10;1;9.9;;
DIALYSE_P;2014;010789006;670005834;M1110;1;3;1.3;0;1
DIALYSE_P;2014;010789006;670005834;NCINF;11;10;9.89;;
DIALYSE_P;2014;020000162;020000063;M1110;0;4;2.3;0;1
DIALYSE_P;2014;020000162;020000063;NAUT;12;2;13.04;;
DIALYSE_P;2014;020000162;020000063;NCINF;30;5;33.33;;
DIALYSE_P;2014;020000394;020000253;M1110;3;0;2.17;0;1
DIALYSE_P;2014;020000394;020000253;N2500;2;1;2.8;;
DIALYSE_P;2014;020000394;020000253;NAUT;4;3;5.82;;
DIALYSE_P;2014;020000394;020000253;NCINF;11;0;11.8;;
DIALYSE_P;2014;020000519;020000261;M1110;4;2;5;0;1
DIALYSE_P;2014;020000519;020000261;N2500;1;1;1.8;;
DIALYSE_P;2014;020000519;020000261;NAUT;5;7;7;;
DIALYSE_P;2014;020000519;020000261;NCINF;17;8;24.07;;
DIALYSE_P;2014;020001772;590799995;M1110;;4;0.12;0;0
DIALYSE_P;2014;020001772;590799995;NCINF;;3;2;;
DIALYSE_P;2014;020001913;590799995;M1110;;5;0.15;0;0
DIALYSE_P;2014;020001913;590799995;NCINF;;2;1.5;;
DIALYSE_P;2014;020006441;590799995;M1110;;4;0.12;0;0
DIALYSE_P;2014;020006441;590799995;NCINF;;6;2;;
DIALYSE_P;2014;020012613;590799995;M1110;;4;0.12;0;0
DIALYSE_P;2014;020012613;590799995;NCINF;;1;0.5;;
DIALYSE_P;2014;020012860;590799995;M1110;;4;0.12;0;0
DIALYSE_P;2014;020012860;590799995;NCINF;;19;4;;
DIALYSE_P;2014;030000061;030780092;M1110;3;;3;1;1
DIALYSE_P;2014;030000061;030780092;N2500;3;1;4.41;;
DIALYSE_P;2014;030000061;030780092;NAUT;0;1;0.5;;
DIALYSE_P;2014;030000061;030780092;NCINF;10;8;14.86;;
DIALYSE_P;2014;030000079;030780100;M1110;1;;0.5;0;1
DIALYSE_P;2014;030000087;030780118;M1110;2;0;2.16;0;1
DIALYSE_P;2014;030000087;030780118;N2500;0;10;3.15;;
DIALYSE_P;2014;030000087;030780118;NAUT;1;2;1.03;;
DIALYSE_P;2014;030000087;030780118;NCINF;8;9;14.26;;
DIALYSE_P;2014;030003669;630000990;M1110;;3;0.57;0;0
DIALYSE_P;2014;030003669;630000990;NCINF;7;5;9.6;;
DIALYSE_P;2014;030003719;630000990;M1110;;2;0.15;;
DIALYSE_P;2014;030003719;630000990;NCINF;;3;2.4;;
DIALYSE_P;2014;030003768;630000990;M1110;;2;0.54;;
DIALYSE_P;2014;030003768;630000990;NCINF;;9;6.8;;
DIALYSE_P;2014;040784860;330029208;M1110;3;;3;0;0
DIALYSE_P;2014;040784860;330029208;N2500;7;;5.49;;
DIALYSE_P;2014;040784860;330029208;N4100;2;;2;;
DIALYSE_P;2014;040784860;330029208;NAUT;8;7;8.23;;
DIALYSE_P;2014;040784860;330029208;NCINF;20;4;17.76;;
DIALYSE_P;2014;050000231;050000116;M1110;2;0;1.27;;
DIALYSE_P;2014;050000231;050000116;N2500;3;0;2.66;;
DIALYSE_P;2014;050000231;050000116;NAUT;1;0;0.73;;
DIALYSE_P;2014;050000231;050000116;NCINF;5;1;4.75;;
DIALYSE_P;2014;050000348;050002948;M1110;2;1;1.33;0;1
DIALYSE_P;2014;050000348;050002948;N2500;4;4;5.95;;
DIALYSE_P;2014;050000348;050002948;NAUT;1;0;1;;
DIALYSE_P;2014;050000348;050002948;NCINF;8;2;7.77;;
DIALYSE_P;2014;050003359;380793802;M1110;;1;0.15;;
DIALYSE_P;2014;050006022;380793802;M1110;;2;0.36;;
DIALYSE_P;2014;050006022;380793802;NCINF;2;0;2.25;;
DIALYSE_P;2014;060000544;060780988;M1110;3;1;2.57;0;0
DIALYSE_P;2014;060000544;060780988;N2500;5;;3.95;;
DIALYSE_P;2014;060000544;060780988;NAUT;4;;4.2;;
DIALYSE_P;2014;060000544;060780988;NCINF;10;2;10.93;;
DIALYSE_P;2014;060010949;060790540;M1110;2;;2;0;1
DIALYSE_P;2014;060010949;060790540;N4100;1;;0.34;;
DIALYSE_P;2014;060010949;060790540;NAUT;4;1;1.67;;
DIALYSE_P;2014;060010949;060790540;NCINF;18;3;7.35;;
DIALYSE_P;2014;060019676;060790540;M1110;;4;0.45;0;0
DIALYSE_P;2014;060019676;060790540;N4100;3;;0.32;;
DIALYSE_P;2014;060019676;060790540;NAUT;5;;0.17;;
DIALYSE_P;2014;060019676;060790540;NCINF;2;2;2.7;;
DIALYSE_P;2014;060019684;060790540;M1110;;1;0.02;0;0
DIALYSE_P;2014;060019684;060790540;N4100;3;;0.17;;
DIALYSE_P;2014;060019684;060790540;NAUT;5;;0.17;;
DIALYSE_P;2014;060019684;060790540;NCINF;2;1;1.6;;
DIALYSE_P;2014;060021276;060790540;M1110;2;1;2.13;0;0
DIALYSE_P;2014;060021276;060790540;N2500;3;;3;;
DIALYSE_P;2014;060021276;060790540;N4100;4;;1.95;;
DIALYSE_P;2014;060021276;060790540;NAUT;5;;2.42;;
DIALYSE_P;2014;060021276;060790540;NCINF;12;3;13.14;;
DIALYSE_P;2014;060022845;060790797;M1110;5;;5;1;1
DIALYSE_P;2014;060785003;060785011;M1110;0;5;2.59;0;1
DIALYSE_P;2014;060785003;060785011;N2500;11;0;10.43;;
DIALYSE_P;2014;060785003;060785011;N4100;1;0;1;;
DIALYSE_P;2014;060785003;060785011;NAUT;5;1;5;;
DIALYSE_P;2014;060785003;060785011;NCINF;24;1;22.55;;
