BOR;AN;FI;FI_EJ;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT;FILACT_INT;dt_NOUV_INT;SEJ;RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_PNM;EFFPL_PNMDOU;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT;FILACT_EXT;dt_NOUV_EXT;EFFPA_PM;EFFPA_PMDOU;EFFPA_PNM;EFFPA_PNMDOU;CONS_PSY18;ACT_INF18;CONS_MED18;FILACT18;dt_NOUV18;ETP_PM;ETP_PMDOU;ETP_PNM;ETP_PNMDOU
DOULEUR;2014;010000024;010780054;Consultation;53;41;62;62;62;0;5;3;;2;;452;205;723;391;50;;;3;;;;;;;0.7;;2.81;
DOULEUR;2014;020000162;020000063;Consultation;0;22;22;22;22;39;0;0;0;1;1;767;541;1631;664;337;3;1;3;0;2;3;3;3;3;0.9;0.4;1.8;1
DOULEUR;2014;020000394;020000253;Consultation;;;310;;;199;52;1;1;1;0;320;324;915;298;197;0;0;3;1;;;0;;;0.5;0.5;2.03;0.5
DOULEUR;2014;020000519;020000261;Consultation;715;1037;2772;;;0;8;;;2;2;;;3806;1221;672;7;7;1;1;;;25;13;8;1.28;1.28;2.5;2.5
DOULEUR;2014;020001061;020004404;Consultation;;;105;;;0;42;;;;;196;;525;;;;;;;;;;;;0.7;;;0.35
DOULEUR;2014;030000061;030780092;Centre;0;135;13;98;90;0;;1;1;1;1;0;1017;1010;458;243;1;1;1;1;0;0;0;0;0;0.9;0.9;1.2;1.2
DOULEUR;2014;030000087;030780118;Consultation;;28;10;625;;0;;;;;;101;314;1237;;;1;1;;;;;;;;0.95;0.95;;
DOULEUR;2014;040000911;040788879;Consultation;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2014;050000348;050002948;Consultation;;;;;;0;;;;;;274;880;756;346;166;;;;;;;;;;;;;
DOULEUR;2014;060000510;060780954;Consultation;574;0;751;262;;172;112;4;3;2;;;;;;;2;;;;;;;;;4.7;3;1.5;
DOULEUR;2014;060788957;060785011;;30;250;605;455;455;1960;10;6;;;;1095;2043;7855;3100;1576;3;;;;;;;;;6.76;;;
DOULEUR;2014;090000175;090781774;Consultation;0;29;8;30;;0;9;;;1;1;195;458;397;259;126;2;2;3;;1;0;0;1;1;0.51;0.51;1.78;0.64
DOULEUR;2014;100000090;100000017;Centre;;;;;;0;14;2;1;2;;653;2022;1589;816;388;1;;3;;0;0;0;0;0;1.05;0.4;2.22;
DOULEUR;2014;110000023;110780061;Consultation;;;71;63;61;0;;;;;;;;829;349;280;2;1;3;;;;;;;0.57;0.07;0.5;
DOULEUR;2014;110000056;110780137;Consultation;0;22;18;;18;0;12;;;;;200;540;865;400;198;1;;4;;40;12;0;0;0;0.6;;2.2;
DOULEUR;2014;120000039;120780044;;25;48;51;63;;0;4;;;;;490;474;654;289;332;;;;;;;4;;;;;;
DOULEUR;2014;120004569;120004528;Consultation;;;;;;0;12;;;;;237;305;345;123;61;2;1;3;1;;;;;;0.25;0.15;1.3;0.6
DOULEUR;2014;120004668;120004619;Consultation;;;;2;;0;12;1;;3;2;238;351;380;100;32;1;1;;;;;;;;0.63;0.33;1;0.8
DOULEUR;2014;130000409;130041916;Consultation;728;1669;1881;406;;467;96;2;1;5;1;548;509;2891;868;413;6;;2;;;;;;;2.36;1;6.04;1
DOULEUR;2014;130001225;130782634;Consultation;588;1343;1220;579;480;0;64;;;;;489;242;1344;491;169;3;3;2;2;;;;;;0.5;0.5;1;1
DOULEUR;2014;130001647;130784127;Consultation;92;;;;;0;;;;;;158;;616;;;1;;;;;;;;;0.5;;;
DOULEUR;2014;130043664;130002157;Consultation;51;135;131;66;50;0;;;;1;;7;;466;233;30;2;2;8;1;;;;;;1.6;1.6;4.4;0.8
DOULEUR;2014;130783293;130786049;Centre;402;2735;7012;2093;1526;552;3;3;2;4;;;;;;;4;2;2;;;;;;;3.7;3;4.37;
DOULEUR;2014;130784051;130037823;Consultation;;;;;;0;;;2;1;1;;;156;61;54;;;1;1;;;;;;;2;2;2
DOULEUR;2014;130784903;130002041;Centre;98;73;;;;0;;;;6;2;;;1464;997;;8;2;2;;;;;;;6;1;7;2
DOULEUR;2014;130785652;130014228;Consultation;74;40;184;119;76;257;;;;;;299;354;1602;1041;671;4;;;;;;;;;1.7;;;
DOULEUR;2014;140000027;140000035;Consultation;38;555;504;200;124;0;22;2;2;1;1;397;542;1265;496;221;0;0;3;2;1;4;5;3;2;1.56;2;2.4;1.5
DOULEUR;2014;140000555;140000639;Consultation;;210;310;198;38;0;10;3;2;3;1;199;322;1170;487;257;3;1;3;;;;;;;1.08;1;1.75;1
DOULEUR;2014;140004383;140000100;Centre;3;37;62;56;54;0;;1;1;3;1;513;717;3727;1023;646;7;7;4;2;2;22;816;254;185;2.56;2.56;3.57;1.94
DOULEUR;2014;140016759;140003146;Consultation;;;5;;;0;;;;;;;;;;;2;;;;;;;;;0.5;;;
DOULEUR;2014;140024886;140000092;Centre;6;374;615;210;96;191;30;3;1;3;;446;862;2405;650;231;5;;1;;;7;7;;;1.7;1;3.31;
DOULEUR;2014;150000040;150780096;Consultation;34;;;;;0;;;;;;260;0;819;459;410;2;1;3;1;;;;;;0.5;0.2;1.05;0.1
DOULEUR;2014;160000253;160000451;Consultation;;;;;;0;0;3;3;0;0;34;186;727;370;196;0;0;5;0;;;2;2;2;0.5;0.5;1.42;0
DOULEUR;2014;160013207;160001632;Consultation;;;;;;0;;;;1;;;;;;;2;1;;;;;;;;0.83;0.57;1;
DOULEUR;2014;170000087;170023279;Consultation;49;692;277;153;144;0;;3;3;6;1;614;96;1306;498;264;2;2;1;;;2;;;;2.28;2.28;6.35;1
DOULEUR;2014;170000152;170780225;Consultation;;;;;;0;;1;;1;;;;208;;;;;;;;;;;;0.2;;0.1;
DOULEUR;2014;180000010;180000028;Consultation;94;53;79;;;0;;2;;1;1;1095;737;2066;1592;357;1;;3;;;;;;;1.3;;2.6;1
DOULEUR;2014;190000018;190000042;Consultation;;;;;;0;;1;1;4;;256;177;218;139;70;;;1;;;;;;;0.2;0.2;2.05;
DOULEUR;2014;210987558;210780581;Consultation;;;100;;;0;24;4;2;7;3;;1733;3219;;;6;;;;;;;;;1.5;0.7;2.2;1.2
DOULEUR;2014;210987731;210780417;;;;;;;342;;7;5;;;;;;;;;;;;;;;;;5.8;5;;
DOULEUR;2014;220000012;220000020;Consultation;199;522;1026;532;357;0;41;1;1;0;0;0;98;241;182;115;2;0;5;2;1;0;8;6;5;0.81;0.64;2.3;1.6
DOULEUR;2014;220000095;220000046;Consultation;;250;10;;;0;;;;1;;;53;372;;115;1;1;;;;;;;;0.1;0.1;1;
DOULEUR;2014;220012884;220000103;Consultation;;;;;;;22;1;1;;;206;207;1226;773;377;1;1;;;;;;;;0.5;0.5;;
DOULEUR;2014;230000820;230780041;Consultation;;;;;;0;10;1;1;;;188;507;719;;192;;;1;;4;;;;;0.4;0.4;0.5;
DOULEUR;2014;240000372;240000059;Consultation;;;9;9;1;0;0;1;1;2;1;;;47;34;23;;;;;;;0;0;0;0.25;0.25;1;1
DOULEUR;2014;240000489;240000117;Centre;15;88;132;116;106;0;16;;;5;;802;1019;1011;378;287;4;4;0;;10;2;6;4;3;1.09;1.09;2.84;
DOULEUR;2014;250000114;900000365;Centre;;;1002;;;79;11;0;;;;300;2612;2932;811;295;;;;;3;;9;;;;;;
DOULEUR;2014;250000700;250000452;Consultation;;64;135;97;90;0;;1;;1;;602;671;;630;;1;;2;;;;;;;1.05;;1.6;
DOULEUR;2014;250006954;250000015;Centre;8;4;244;;;1222;64;1;1;;;671;505;3076;1430;824;3;1;5;;;;174;;;2.21;1.41;2.78;
DOULEUR;2014;260000013;260000021;Centre;136;154;76;;;0;;0;0;1;;1107;1397;1651;684;384;4;2;5;3;7;5;12;4;3;1.3;0.9;3.7;1.5
