BOR;AN;FI;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;PLAMED;AUTOBS;PLAOBS;AUTSSR;PLASSR;AUTCAN;PLACAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2014;010000024;010780054;0;;;;;241000;1;0;0;0;1;1;;;1;;0;;1;;1;;40;480;0;137;190;12184;0;4585;2044;240;0;110;54;69;33;7;20;0;9;0
HAD;2014;010005379;690006598;0;;;;;;0;0;0;0;1;1;0;0;1;60;1;60;1;60;1;60;60;242;0;67;39;11793;0;2779;1315;154;0;56;19;46;22;3;8;0;3;0
HAD;2014;020000089;020000022;0;;;;;37785;0;0;0;0;1;0;0;0;1;15;0;;0;;0;;15;125;0;52;1;5444;0;2206;14;72;0;35;1;35;20;0;4;0;3;0
HAD;2014;020000105;020000055;1;1;020000055;;;44000;0;0;0;0;1;0;0;0;1;15;0;;0;;0;;15;103;0;50;0;4078;0;2062;0;71;0;38;0;31;19;0;2;0;2;0
HAD;2014;020004297;020005179;0;;;;;;0;0;0;0;1;1;;;1;44;0;;0;;0;;44;301;0;106;4;9601;0;3574;43;149;0;72;2;42;17;0;6;0;1;0
HAD;2014;020010898;750721334;0;;;;;54000;0;0;0;0;1;0;0;0;1;25;0;;0;;0;;25;140;3;25;16;3879;57;562;614;80;3;13;8;22;5;2;0;0;0;0
HAD;2014;020011698;020006318;0;;;;;83086;1;1;0;0;1;0;0;0;1;20;0;0;0;0;0;0;20;180;2;59;8;4281;53;1171;130;97;1;28;4;33;8;0;4;0;1;0
HAD;2014;020014767;590805065;0;;;;;300000;0;0;0;0;1;0;0;0;1;40;0;;0;;0;;40;296;0;46;0;10882;0;903;0;163;0;32;0;55;14;0;7;0;3;0
HAD;2014;030000061;030780092;1;1;030000061;;;;1;1;0;0;1;1;0;0;1;16;0;;0;;0;;16;305;0;11;5;4791;0;89;43;230;0;11;5;55;2;1;8;0;1;0
HAD;2014;030000079;030780100;0;;;;;127571;1;1;0;0;1;1;;;;;;;;;;;30;249;0;61;9;3949;0;889;37;157;0;49;2;43;23;0;16;0;15;0
HAD;2014;030000087;030780118;1;2;;;;230000;1;1;0;0;1;0;0;0;1;50;0;;0;;0;;50;557;0;151;72;16752;0;4299;2073;351;0;102;41;81;25;5;37;0;8;1
HAD;2014;050007368;050007343;0;;;;;172454;0;0;0;0;1;1;;;1;38;;;;;;;38;283;1;95;14;10452;12;2925;245;201;1;69;8;64;35;0;13;0;6;0
HAD;2014;060000478;060780897;0;;;;;;1;1;0;0;1;0;0;0;1;15;0;;0;;0;;15;95;0;21;1;3995;0;374;3;69;0;14;1;19;5;0;6;0;0;0
HAD;2014;060000544;060780988;0;;;;;184000;0;0;0;0;1;0;0;0;1;20;0;;0;;1;20;20;293;0;77;33;5376;0;1186;793;93;0;31;7;38;14;0;0;0;0;0
HAD;2014;060006558;060798865;0;;;;;;0;0;;;1;0;0;0;1;30;0;;0;;0;;30;277;0;56;30;8974;0;854;387;206;0;49;8;74;28;0;20;0;10;0
HAD;2014;060785243;060001484;0;;;;;;1;1;0;0;1;0;1;1;1;150;;;;5;;5;160;1208;0;395;43;52206;0;8631;1273;838;0;313;36;431;171;7;140;0;53;0
HAD;2014;070000609;070005566;0;;;;;80000;1;1;0;0;1;1;0;0;1;24;0;;0;;0;;24;277;0;130;12;7334;0;2958;199;178;0;99;8;52;32;2;11;0;8;0
