BOR;AN;FI;FI_EJ;PERSO;EFFPLS;EFFPAS;ETPS;NBLIB
HAD_P;2014;010000024;010780054;M9999;4;;1.68;
HAD_P;2014;010000024;010780054;MAUT;3;;1.28;
HAD_P;2014;010000024;010780054;Mcoor;1;;0.4;
HAD_P;2014;010000024;010780054;N2120;1;;0.8;
HAD_P;2014;010000024;010780054;N2210;4;5;7.37;
HAD_P;2014;010000024;010780054;N2710;1;;0.3;
HAD_P;2014;010000024;010780054;N3120;;1;0.45;
HAD_P;2014;010000024;010780054;N9999;9;6;11.13;
HAD_P;2014;010000024;010780054;NAUT;3;;2.21;
HAD_P;2014;010005379;690006598;M3050;;1;0.5;
HAD_P;2014;010005379;690006598;M9999;;3;1.75;
HAD_P;2014;010005379;690006598;Mcoor;;2;1.25;
HAD_P;2014;010005379;690006598;N2120;1;;1;
HAD_P;2014;010005379;690006598;N2710;;2;0.79;
HAD_P;2014;010005379;690006598;N3120;1;;1;
HAD_P;2014;010005379;690006598;N9999;6;2;6.79;
HAD_P;2014;010005379;690006598;Ncoor;4;;4;
HAD_P;2014;020000089;020000022;M9999;;1;0.35;
HAD_P;2014;020000089;020000022;Mcoor;;1;0.35;
HAD_P;2014;020000089;020000022;N2120;1;;0.25;
HAD_P;2014;020000089;020000022;N2210;2;;1.75;
HAD_P;2014;020000089;020000022;N2510;11;;11.52;
HAD_P;2014;020000089;020000022;N9999;14;;13.52;
HAD_P;2014;020000105;020000055;M9999;;1;0.25;
HAD_P;2014;020000105;020000055;Mcoor;;1;0.25;
HAD_P;2014;020000105;020000055;N2510;7;4;9.42;
HAD_P;2014;020000105;020000055;N3120;1;0;0.3;
HAD_P;2014;020000105;020000055;N9999;9;7;12.02;
HAD_P;2014;020000105;020000055;NAUT;0;2;0.87;
HAD_P;2014;020000105;020000055;Ncoor;1;1;1.43;
HAD_P;2014;020004297;020005179;M9999;;2;0.4;
HAD_P;2014;020004297;020005179;Mcoor;;2;0.4;
HAD_P;2014;020004297;020005179;N2210;6;1;6.8;
HAD_P;2014;020004297;020005179;N2510;9;1;9.5;
HAD_P;2014;020004297;020005179;N2710;;1;0.5;
HAD_P;2014;020004297;020005179;N3120;;1;0.5;
HAD_P;2014;020004297;020005179;N9999;18;7;21.96;
HAD_P;2014;020004297;020005179;NAUT;1;3;2.66;
HAD_P;2014;020004297;020005179;Ncoor;2;0;2;
HAD_P;2014;020010898;750721334;M3050;0;0;0;23
HAD_P;2014;020010898;750721334;M9999;0;1;0.3;23
HAD_P;2014;020010898;750721334;Mcoor;0;1;0.3;
HAD_P;2014;020010898;750721334;N2120;0;1;0.7;
HAD_P;2014;020010898;750721334;N2510;1;2;2;
HAD_P;2014;020010898;750721334;N2710;0;1;0.75;0
HAD_P;2014;020010898;750721334;N9999;1;10;5.81;0
HAD_P;2014;020010898;750721334;NAUT;0;5;1.46;0
HAD_P;2014;020010898;750721334;Ncoor;0;1;0.9;
HAD_P;2014;020011698;020006318;M9999;;2;0.4;
HAD_P;2014;020011698;020006318;Mcoor;;2;0.4;
HAD_P;2014;020011698;020006318;N2120;1;;0.54;
HAD_P;2014;020011698;020006318;N2210;5;;4.83;
HAD_P;2014;020011698;020006318;N2510;3;2;4.68;
HAD_P;2014;020011698;020006318;N9999;11;10;12.81;
HAD_P;2014;020011698;020006318;NAUT;1;8;2.18;
HAD_P;2014;020011698;020006318;Ncoor;1;;0.58;
HAD_P;2014;020014767;590805065;M3050;;;;41
HAD_P;2014;020014767;590805065;M9999;;;;41
HAD_P;2014;020014767;590805065;N2120;1;;1;
HAD_P;2014;020014767;590805065;N2210;;;;133
HAD_P;2014;020014767;590805065;N2410;;;;52
HAD_P;2014;020014767;590805065;N2510;11;3;12.5;
HAD_P;2014;020014767;590805065;N2710;;1;0.5;
HAD_P;2014;020014767;590805065;N9999;16;5;18.9;196
HAD_P;2014;020014767;590805065;NAUT;2;1;2.9;11
HAD_P;2014;020014767;590805065;Ncoor;2;;2;
HAD_P;2014;030000061;030780092;M9999;1;;0.1;
HAD_P;2014;030000061;030780092;Mcoor;1;;0.1;
HAD_P;2014;030000061;030780092;N2120;1;;1;
HAD_P;2014;030000061;030780092;N2210;6;2;7.56;
HAD_P;2014;030000061;030780092;N2510;2;;2;
HAD_P;2014;030000061;030780092;N9999;9;3;11.1;
HAD_P;2014;030000061;030780092;NAUT;;1;0.54;
HAD_P;2014;030000079;030780100;M3050;1;;0.2;
HAD_P;2014;030000079;030780100;M9999;2;;1.2;
HAD_P;2014;030000079;030780100;Mcoor;1;;1;
HAD_P;2014;030000079;030780100;N2120;1;;0.5;
HAD_P;2014;030000079;030780100;N2210;8;1;8.8;
HAD_P;2014;030000079;030780100;N9999;11;1;11.3;
HAD_P;2014;030000079;030780100;NAUT;2;;2;
HAD_P;2014;030000087;030780118;M9999;1;1;1.3;
HAD_P;2014;030000087;030780118;Mcoor;1;1;1.3;
HAD_P;2014;030000087;030780118;N2120;1;0;1;
HAD_P;2014;030000087;030780118;N2210;4;1;4.8;
HAD_P;2014;030000087;030780118;N2510;3;0;3;
HAD_P;2014;030000087;030780118;N9999;8;4;11.21;0
HAD_P;2014;030000087;030780118;NAUT;0;3;2.41;0
HAD_P;2014;050007368;050007343;M3050;;;;3
HAD_P;2014;050007368;050007343;M9999;1;1;1.6;101
HAD_P;2014;050007368;050007343;MAUT;;;;98
