BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2014;010000024;010780054;IRM;2;2;1868;24;;6538;34;0
IMAGES;2014;010000024;010780054;MAMM;1;;;;;;;
IMAGES;2014;010000024;010780054;RADIO;3;3;24147;443;;23981;538;1
IMAGES;2014;010000024;010780054;SCAN;1;1;6324;125;;4639;84;1
IMAGES;2014;010000024;010780054;VASC;2;2;430;;;13;;1
IMAGES;2014;010000032;010780062;MAMM;1;1;;;;307;;
IMAGES;2014;010000032;010780062;RADIO;3;3;3130;;;10479;117;
IMAGES;2014;010000032;010780062;SCAN;1;1;1465;;;3344;17;1
IMAGES;2014;010000065;010780096;RADIO;1;1;1398;;;;;0
IMAGES;2014;010000198;010007987;RADIO;1;1;596;0;524;56;0;0
IMAGES;2014;010000214;010007987;RADIO;1;1;1180;298;134;348;0;1
IMAGES;2014;010005239;010008407;IRM;1;1;5;;;153;0;0
IMAGES;2014;010005239;010008407;RADIO;3;3;3150;;;21177;380;0
IMAGES;2014;010005239;010008407;SCAN;1;1;1325;;;4222;25;0
IMAGES;2014;010780195;010000156;IRM;1;0;242;;;15687;;0
IMAGES;2014;010780195;010000156;RADIO;2;0;6580;;;27773;;1
IMAGES;2014;010780195;010000156;SCAN;1;0;4626;;;12971;5;1
IMAGES;2014;010780195;010000156;VASC;1;1;1799;;;;;1
IMAGES;2014;010780278;010783009;RADIO;2;2;687;259;0;0;0;0
IMAGES;2014;020000089;020000022;RADIO;1;1;1022;253;;3042;;0
IMAGES;2014;020000105;020000055;RADIO;1;1;382;0;0;672;0;0
IMAGES;2014;020000162;020000063;IRM;1;1;3230;0;0;5937;10;0
IMAGES;2014;020000162;020000063;LITHO;1;1;111;0;0;0;0;1
IMAGES;2014;020000162;020000063;MAMM;1;1;;;;265;;
IMAGES;2014;020000162;020000063;RADIO;5;5;21612;0;0;23614;562;0
IMAGES;2014;020000162;020000063;SCAN;1;1;14001;0;0;14486;472;0
IMAGES;2014;020000162;020000063;VASC;1;1;1510;0;0;0;7;1
IMAGES;2014;020000303;750814030;RADIO;2;2;2761;;;;;0
IMAGES;2014;020000360;020014742;LITHO;;;;;;;;1
IMAGES;2014;020000360;020014742;RADIO;3;;;;;;;
IMAGES;2014;020000394;020000253;MAMM;1;1;;;;312;;
IMAGES;2014;020000394;020000253;RADIO;4;4;7510;0;0;18232;372;0
IMAGES;2014;020000394;020000253;SCAN;1;1;4665;;;5839;41;0
IMAGES;2014;020000519;020000261;IRM;1;1;332;;;3016;;0
