BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2014;010000024;010780054;M1160;4;2;4.26;0;1;;1
IMAGES_P;2014;010000024;010780054;N4130;19;9;23.76;0;1;;
IMAGES_P;2014;010000024;010780054;NAUT;8;5;11.18;;;;
IMAGES_P;2014;010000032;010780062;M1160;1;;1.34;0;1;0;0
IMAGES_P;2014;010000032;010780062;N4130;7;1;8.33;0;1;;
IMAGES_P;2014;010000032;010780062;N4160;1;;1;;;;
IMAGES_P;2014;010000032;010780062;NAUT;6;1;4.65;;;;
IMAGES_P;2014;010000065;010780096;M1160;;1;0.6;0;0;0;0
IMAGES_P;2014;010000065;010780096;N4130;;2;0.9;0;0;;
IMAGES_P;2014;010000198;010007987;N4130;;1;0.8;;;;
IMAGES_P;2014;010000214;010007987;N4130;1;2;2.7;0;0;;
IMAGES_P;2014;010005239;010008407;M1160;2;2;3.01;;;;
IMAGES_P;2014;010005239;010008407;N4130;5;4;7.9;;;;
IMAGES_P;2014;010005239;010008407;N4160;1;0;1;;;;
IMAGES_P;2014;010005239;010008407;NAUT;3;0;2.96;;;;
IMAGES_P;2014;010780195;010000156;M1160;13;;13;;;1;0
IMAGES_P;2014;010780195;010000156;N4130;19;;19;0;1;;
IMAGES_P;2014;010780195;010000156;N4160;1;;1;;;;
IMAGES_P;2014;010780195;010000156;NAUT;20;;20;;;;
IMAGES_P;2014;010780278;010783009;N4130;;5;0.5;0;0;;
IMAGES_P;2014;020000089;020000022;M1160;;2;2;0;0;0;0
IMAGES_P;2014;020000089;020000022;N4130;;1;0.8;0;0;;
IMAGES_P;2014;020000089;020000022;N4160;1;;1;;;;
IMAGES_P;2014;020000089;020000022;NAUT;2;;1.5;;;;
IMAGES_P;2014;020000105;020000055;M1160;;1;0.42;0;0;;
IMAGES_P;2014;020000105;020000055;N4130;1;;1;0;0;;
IMAGES_P;2014;020000162;020000063;M1160;2;10;4.4;1;1;1;1
IMAGES_P;2014;020000162;020000063;N4130;21;2;21.73;0;1;;
IMAGES_P;2014;020000162;020000063;N4160;2;0;1.45;;;;
IMAGES_P;2014;020000162;020000063;NAUT;22;8;23.47;;;;
IMAGES_P;2014;020000303;750814030;M1160;;1;0.11;0;0;0;1
IMAGES_P;2014;020000303;750814030;N4130;1;2;2.6;0;0;;
IMAGES_P;2014;020000303;750814030;NAUT;1;;1.01;;;;
IMAGES_P;2014;020000360;020014742;M1160;;7;;0;0;;
IMAGES_P;2014;020000394;020000253;M1160;4;2;4.6;0;1;0;0
IMAGES_P;2014;020000394;020000253;N4130;10;6;13.52;1;0;;
IMAGES_P;2014;020000394;020000253;N4160;1;0;1;;;;
IMAGES_P;2014;020000394;020000253;NAUT;4;7;8.8;;;;
IMAGES_P;2014;020000519;020000261;M1160;6;2;6.5;1;1;0;0
IMAGES_P;2014;020000519;020000261;N4130;13;4;16.2;1;1;;
IMAGES_P;2014;020000519;020000261;N4160;1;;1;;;;
IMAGES_P;2014;020000519;020000261;NAUT;10;3;11.84;;;;
IMAGES_P;2014;020000535;020000287;M1160;;5;3;0;1;1;0
IMAGES_P;2014;020000535;020000287;N4130;6;5;9.15;1;0;;
IMAGES_P;2014;020000535;020000287;N4160;1;1;1.1;;;;
IMAGES_P;2014;020000535;020000287;NAUT;4;7;9.5;;;;
IMAGES_P;2014;020000543;020000295;M1160;;;0.2;0;0;0;0
IMAGES_P;2014;020000915;020003620;N4130;;1;0.8;0;0;;
IMAGES_P;2014;020001061;020004404;M1160;2;2;3.07;0;1;0;0
IMAGES_P;2014;020001061;020004404;N4130;12;3;13.27;0;1;;
IMAGES_P;2014;020001061;020004404;N4160;1;;1;;;;
IMAGES_P;2014;020001061;020004404;NAUT;8;2;9.65;;;;
IMAGES_P;2014;020001087;020004495;M1160;;4;2;0;1;0;0
IMAGES_P;2014;020001087;020004495;N4130;5;;5;0;1;;
IMAGES_P;2014;020001087;020004495;N4160;1;;1;;;;
IMAGES_P;2014;020001087;020004495;NAUT;2;1;2.5;;;;
IMAGES_P;2014;030000061;030780092;M1160;3;1;4.17;1;0;0;0
IMAGES_P;2014;030000061;030780092;N4130;15;7;18.49;1;0;;
IMAGES_P;2014;030000061;030780092;N4160;;1;0.59;;;;
IMAGES_P;2014;030000061;030780092;NAUT;8;;5.63;;;;
IMAGES_P;2014;030000079;030780100;M1160;3;;2.93;0;1;1;1
IMAGES_P;2014;030000079;030780100;M1210;;1;1;0;0;;
IMAGES_P;2014;030000079;030780100;N4130;17;7;22.37;0;1;;
IMAGES_P;2014;030000079;030780100;N4160;1;;1;;;;
IMAGES_P;2014;030000079;030780100;NAUT;11;3;13.31;;;;
IMAGES_P;2014;030000087;030780118;M1160;6;0;5.25;0;1;0;0
IMAGES_P;2014;030000087;030780118;N4130;12;14;23.3;0;1;;
IMAGES_P;2014;030000087;030780118;N4160;1;0;1;;;;
IMAGES_P;2014;030000087;030780118;NAUT;3;5;7.79;;;;
IMAGES_P;2014;040000093;040780215;M1160;1;7;4.7;1;0;;
IMAGES_P;2014;040000093;040780215;N4130;8;1;7.9;1;0;;
IMAGES_P;2014;040000093;040780215;N4160;1;0;1;;;;
IMAGES_P;2014;040000093;040780215;NAUT;18;3;17.1;;;;
IMAGES_P;2014;040000135;050002948;M1160;6;0;2.08;;;;
IMAGES_P;2014;040000135;050002948;N4130;9;1;10.35;;;;
IMAGES_P;2014;040000135;050002948;N4160;0;0;0.47;;;;
IMAGES_P;2014;040000135;050002948;NAUT;8;1;5.63;;;;
IMAGES_P;2014;040000911;040788879;M1160;;1;0.6;;;1;1
IMAGES_P;2014;040000911;040788879;N4130;11;;10.95;1;0;;
IMAGES_P;2014;040000911;040788879;N4160;1;;1;;;;
IMAGES_P;2014;040000911;040788879;NAUT;1;;1;;;;
IMAGES_P;2014;050000231;050000116;M1160;2;2;3.84;0;0;0;0
IMAGES_P;2014;050000231;050000116;N4130;9;2;10.78;;;;
IMAGES_P;2014;050000231;050000116;NAUT;7;0;4.94;;;;
IMAGES_P;2014;050000256;050000124;M1160;;1;0.5;0;0;0;0
IMAGES_P;2014;050000256;050000124;N4130;;4;3.3;;1;;
IMAGES_P;2014;050000256;050000124;N4160;;1;0.05;;;;
IMAGES_P;2014;050000256;050000124;NAUT;2;4;3.75;;;;
IMAGES_P;2014;050000348;050002948;M1160;6;0;5.38;;;;
IMAGES_P;2014;050000348;050002948;N4130;18;14;23.74;;;;
IMAGES_P;2014;050000348;050002948;N4160;1;0;1.07;;;;
IMAGES_P;2014;050000348;050002948;NAUT;18;0;15.91;;;;
IMAGES_P;2014;060000296;060780640;M1160;3;1;0.03;0;1;0;0
IMAGES_P;2014;060000478;060780897;M1160;5;7;5.74;;;;
IMAGES_P;2014;060000478;060780897;N4130;14;;14;;;;
IMAGES_P;2014;060000478;060780897;N4160;1;;1;;;;
IMAGES_P;2014;060000478;060780897;NAUT;5;1;5.8;;;;
IMAGES_P;2014;060000486;060780905;N4130;1;1;1.13;0;0;;
IMAGES_P;2014;060000510;060780954;M1160;5;;5;0;1;;
IMAGES_P;2014;060000510;060780954;N4130;30;4;31.24;1;0;;
IMAGES_P;2014;060000510;060780954;N4160;1;0;1;;;;
IMAGES_P;2014;060000510;060780954;NAUT;26;1;25.87;;;;
IMAGES_P;2014;060000528;060780962;M1160;6;3;6.41;0;0;;
IMAGES_P;2014;060000528;060780962;M1210;6;1;7.95;0;0;;
IMAGES_P;2014;060000528;060780962;N4130;24;1;24.43;0;1;;
IMAGES_P;2014;060000528;060780962;N4160;2;;1.97;;;;
IMAGES_P;2014;060000528;060780962;NAUT;15;;15.68;;;;
IMAGES_P;2014;060000544;060780988;M1160;5;2;5.3;0;1;;
IMAGES_P;2014;060000544;060780988;N4130;29;6;27.26;;0;;
IMAGES_P;2014;060000544;060780988;N4160;;2;1.15;;;;
IMAGES_P;2014;060000544;060780988;NAUT;14;2;12.93;;;;
IMAGES_P;2014;060001450;060785011;M1160;7;2;6.96;0;1;;
IMAGES_P;2014;060001450;060785011;N4130;43;15;51.13;0;1;;
IMAGES_P;2014;060001450;060785011;NAUT;26;3;27.81;;;;
IMAGES_P;2014;060002102;060791761;M1160;2;3;3;0;1;0;0
IMAGES_P;2014;060002102;060791761;N4130;9;1;9.8;1;0;;
IMAGES_P;2014;060002102;060791761;N4160;1;;1;;;;
IMAGES_P;2014;060002102;060791761;NAUT;2;;2;;;;
IMAGES_P;2014;060780392;060000205;M1160;;8;0.8;0;0;0;0
IMAGES_P;2014;060780392;060000205;N4130;2;;2;0;0;;
IMAGES_P;2014;060780392;060000205;N4160;1;;1;;;;
IMAGES_P;2014;060780392;060000205;NAUT;1;;1;;;;
IMAGES_P;2014;060780442;060000213;M1160;;1;0.1;0;0;0;0
IMAGES_P;2014;060780442;060000213;N4130;1;;1;0;0;;
IMAGES_P;2014;060780459;010783009;N4130;;1;0.1;0;0;;
IMAGES_P;2014;060780517;060000239;M1160;0;13;7;;1;;
IMAGES_P;2014;060780517;060000239;N4130;7;;7;;1;;
IMAGES_P;2014;060780517;060000239;N4160;1;;1;;;;
IMAGES_P;2014;060780517;060000239;NAUT;4;;4;;;;
IMAGES_P;2014;060780715;060000361;M1160;;13;2.6;;1;0;0
IMAGES_P;2014;060780715;060000361;N4130;19;;19;0;1;;
IMAGES_P;2014;060780715;060000361;NAUT;7;;7;;;;
IMAGES_P;2014;060780723;060004959;M1160;2;4;4;0;1;0;0
IMAGES_P;2014;060780723;060004959;N4130;8;2;9;0;1;;
IMAGES_P;2014;060780723;060004959;N4160;1;;1;;;;
IMAGES_P;2014;060780723;060004959;NAUT;5;1;5.5;;;;
IMAGES_P;2014;060780947;060800174;M1160;3;6;4.5;0;1;0;0
IMAGES_P;2014;060780947;060800174;N4130;6;5;9.7;0;1;;
IMAGES_P;2014;060780947;060800174;N4160;1;;0.5;;;;
IMAGES_P;2014;060780947;060800174;NAUT;4;2;3.7;;;;
IMAGES_P;2014;060780996;630786754;N4130;1;;1;0;0;;
IMAGES_P;2014;060781200;060000635;M1160;;12;1;0;1;;
IMAGES_P;2014;060781200;060000635;N4130;2;;2;0;1;;
IMAGES_P;2014;060785003;060785011;M1160;6;6;5.84;0;1;;
IMAGES_P;2014;060785003;060785011;N4130;20;2;20.2;1;0;;
IMAGES_P;2014;060785003;060785011;NAUT;21;2;21.03;;;;
IMAGES_P;2014;060788957;060785011;N4130;2;1;1.49;0;0;;
IMAGES_P;2014;060788957;060785011;NAUT;1;0;1;;;;
IMAGES_P;2014;060789195;060785011;M1160;7;6;7.25;0;1;;
IMAGES_P;2014;060789195;060785011;M1210;3;0;2.14;;;;
IMAGES_P;2014;060789195;060785011;N4130;35;9;38.41;0;0;;
IMAGES_P;2014;060789195;060785011;NAUT;51;2;48.95;;;;
IMAGES_P;2014;060789674;130037815;N4130;;3;1.68;0;0;;
IMAGES_P;2014;060791811;750826638;M1160;1;;0.55;;;;
IMAGES_P;2014;060791811;750826638;N4130;1;3;2.33;0;1;;
IMAGES_P;2014;060794013;060790797;N4130;2;3;4.87;;;;
IMAGES_P;2014;060794013;060790797;N4160;;1;0.99;;;;
IMAGES_P;2014;060794013;060790797;NAUT;5;6;11.03;;;;
IMAGES_P;2014;060798881;060798873;M1160;;6;0.6;0;0;;
IMAGES_P;2014;060798881;060798873;N4130;;1;0.1;0;0;;
IMAGES_P;2014;060800174;060800174;M1160;;37;1.37;0;0;0;0
IMAGES_P;2014;060800174;060800174;N4130;10;5;11.2;0;0;;
IMAGES_P;2014;060800174;060800174;N4160;1;;0.5;;;;
IMAGES_P;2014;060800174;060800174;NAUT;10;0;9.7;;;;
IMAGES_P;2014;070000013;070002878;M1160;2;;1.7;;1;;
IMAGES_P;2014;070000013;070002878;N4130;6;2;6.8;;;;
IMAGES_P;2014;070000013;070002878;N4160;;;0.67;;;;
IMAGES_P;2014;070000013;070002878;NAUT;5;1;5.42;;;;
IMAGES_P;2014;070000070;070780150;N4130;;1;0.1;0;0;;
IMAGES_P;2014;070000179;070780358;M1160;5;0;5;0;1;0;0
IMAGES_P;2014;070000179;070780358;N4130;10;9;15.15;0;1;;
IMAGES_P;2014;070000179;070780358;NAUT;5;6;8.27;;;;
IMAGES_P;2014;070000195;070780374;N4130;;1;0.8;;;;
IMAGES_P;2014;070000609;070005566;M1160;8;0;7.57;;;;
IMAGES_P;2014;070000609;070005566;N4130;11;6;15.52;;;;
IMAGES_P;2014;070000609;070005566;N4160;1;0;1;;;;
IMAGES_P;2014;070000609;070005566;NAUT;6;6;7.17;;;;
IMAGES_P;2014;070780424;070000245;M1160;;10;4;0;1;0;0
IMAGES_P;2014;070780424;070000245;N4130;;19;10;0;1;;
IMAGES_P;2014;070780424;070000245;N4160;1;;1;;;;
IMAGES_P;2014;080000110;080000037;M1160;2;0;2;0;1;0;0
IMAGES_P;2014;080000110;080000037;N4130;8;3;10.1;1;0;;
IMAGES_P;2014;080000110;080000037;NAUT;6;;6;;;;
IMAGES_P;2014;080000219;080001969;M1160;;2;1.25;1;0;;
IMAGES_P;2014;080000219;080001969;N4130;7;1;7.5;;;;
IMAGES_P;2014;080000219;080001969;NAUT;2;;2;;;;
IMAGES_P;2014;080000276;080001969;M1160;;2;0.25;1;0;0;0
IMAGES_P;2014;080000276;080001969;N4130;1;1;1.5;;;;
IMAGES_P;2014;080000276;080001969;NAUT;;1;0.26;;;;
IMAGES_P;2014;080000284;080000060;M1160;;;1;0;0;;
IMAGES_P;2014;080000284;080000060;N4130;1;;1;0;0;;
IMAGES_P;2014;080000284;080000060;N4160;;;0.2;;;;
IMAGES_P;2014;080000425;080000615;M1160;9;1;8.26;0;1;0;1
IMAGES_P;2014;080000425;080000615;M1210;2;;1.93;0;0;;
IMAGES_P;2014;080000425;080000615;N4130;27;13;38.14;0;0;;
IMAGES_P;2014;080000425;080000615;N4160;2;;2;;;;
IMAGES_P;2014;080000425;080000615;NAUT;16;2;16.7;;;;
IMAGES_P;2014;090000019;090180019;M1160;;2;0.3;0;0;0;0
IMAGES_P;2014;090000019;090180019;N4130;;1;0.3;0;0;;
IMAGES_P;2014;090000175;090781774;M1160;4;1;5.13;0;1;0;1
IMAGES_P;2014;090000175;090781774;N4130;20;11;26.57;1;0;;
IMAGES_P;2014;090000175;090781774;N4160;1;;1;;;;
IMAGES_P;2014;090000175;090781774;NAUT;7;1;7.47;;;;
