BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2014;010000024;010780054;1;;;1;;;1;;;;;;0;0;0;0;0;1;1;0;1;1;;4.73;1
INFOMED;2014;010000032;010780062;;;1;;;;;;1;;;;0;0;0;0;0;1;1;0;1;0;;3.53;0.13
INFOMED;2014;010000081;010780112;;;;;;;;1;;;;;0;0;1;1;1;1;1;0;0;1;740000302;0.16;0
INFOMED;2014;010000099;010780120;;;1;;;;;;1;;;;0;0;0;1;1;1;1;0;0;1;010780120;0.5;1
INFOMED;2014;010000107;010780138;;;1;;;;;;1;;;;0;0;0;0;0;0;;;0;1;;0.3;0.1
INFOMED;2014;010000115;010009132;;;1;;;;;;1;;;;0;0;0;1;1;0;;;0;1;690038476;;
INFOMED;2014;010000131;010009132;;;1;;;;;;1;;;;0;0;0;1;1;0;;;0;1;690038476;;
INFOMED;2014;010000180;010007987;1;;;;;;1;;;;;;0;0;0;0;0;1;1;1;1;1;010000024;0.25;0.02
INFOMED;2014;010000198;010007987;;;;;;;;1;;;;;0;0;0;0;0;1;1;1;1;1;010000024;0.25;0.01
INFOMED;2014;010000214;010007987;;;1;;;;;1;;;;;0;0;0;0;0;1;1;1;1;1;010000024;0.8;0.07
INFOMED;2014;010000495;010783009;;;;;;;;;;1;;;0;0;0;0;0;1;1;0;0;0;;3;1.17
INFOMED;2014;010005239;010008407;;1;;;;;;1;;;;;0;0;0;;;1;0;0;1;0;;1.3;2
INFOMED;2014;010006526;690796552;;;1;;;;;;;;;;0;0;0;0;0;1;1;1;0;0;;0.01;0.01
INFOMED;2014;010780195;010000156;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;1;0;;2.8;0.2
INFOMED;2014;010780203;010006450;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;;1.5;0.1
INFOMED;2014;010780278;010783009;;;;;;;1;;;;;;1;1;1;1;1;0;0;0;0;0;;0.3;0.2
INFOMED;2014;010780294;690000278;1;;;;;;;;;;;;1;1;1;1;1;1;0;0;0;1;690780499;;1
INFOMED;2014;010780310;010000222;;;;;;;;1;;;;;0;0;0;0;0;0;0;0;1;0;;0.5;
INFOMED;2014;010780328;010000222;;;;;;;;1;;;;;0;0;0;0;0;0;;;0;0;;0.5;
INFOMED;2014;010780476;750005068;;;;;;;;;1;;;;0;0;0;0;0;1;0;0;0;0;;0.5;0.1
INFOMED;2014;010780492;360000707;;;;;;;1;;;;;;0;0;1;0;0;0;0;0;0;0;;0.8;0.16
INFOMED;2014;010780708;310021381;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.5;0.05
INFOMED;2014;010780799;750721334;;;;;;;1;;;;;;0;0;0;0;0;;0;1;0;0;;0.2;0.2
INFOMED;2014;020000089;020000022;;;1;;1;;;;1;;;;0;0;0;0;0;0;;;0;0;;0.86;0.1
INFOMED;2014;020000097;020000048;1;;;;;;1;;;;;;0;0;0;0;0;0;;;1;1;800006215;0.1;0.3
INFOMED;2014;020000105;020000055;;;1;;;1;;;1;;;;0;0;0;0;0;0;;;0;1;590000469;0;0.2
INFOMED;2014;020000162;020000063;1;;;;;;1;;;1;;;0;0;0;0;0;0;;;0;0;;6.25;1.8
INFOMED;2014;020000246;020000071;;;1;;;;;;1;;;;0;1;1;0;0;0;;;0;0;;1;1
INFOMED;2014;020000303;750814030;;;;;;;1;;;;;;0;0;0;0;0;1;1;0;0;0;;2.58;0.4
INFOMED;2014;020000360;020014742;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;0;1;;1;
INFOMED;2014;020000394;020000253;;1;;;;;1;;;;;;0;0;0;0;0;1;1;1;0;0;;2.25;1.3
INFOMED;2014;020000519;020000261;1;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;;2;0.5
INFOMED;2014;020000535;020000287;1;;;;;;1;;;;;;0;0;0;0;0;1;1;0;0;0;;2.7;0.5
INFOMED;2014;020000543;020000295;;;;;;;;;;1;;;0;0;0;0;0;1;1;0;0;0;020000543;2.8;0.83
INFOMED;2014;020000915;020003620;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;;1.5;0.2
INFOMED;2014;020001061;020004404;;1;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;2;1
INFOMED;2014;020001087;020004495;;;1;;;;;;1;;;;0;0;0;0;0;0;;;1;0;;2;0.2
INFOMED;2014;020004156;590805065;;;;;;;;;;;1;;0;0;0;0;0;0;0;0;0;0;;0.2;0.1
INFOMED;2014;020004297;020005179;;;;1;;;;;;;;;0;0;0;0;0;0;;;;0;;0;0.01
INFOMED;2014;020010047;020001632;;;1;;;;;;;;;;0;0;0;0;0;0;;;1;0;;2;0.1
INFOMED;2014;020014767;590805065;;;;;1;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.01;0.05
INFOMED;2014;030000012;030180020;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;1;1;030002208;0.5;0.2
INFOMED;2014;030000061;030780092;;1;;1;;;1;;;1;;;0;0;0;0;0;1;0;0;1;0;;5.6;2
INFOMED;2014;030000079;030780100;;;1;1;;;1;;;1;;;0;0;0;0;0;0;0;0;0;0;;;
INFOMED;2014;030000087;030780118;1;;;1;;;1;;;1;;;0;0;0;0;0;1;1;0;1;0;;3;1.3
INFOMED;2014;030000095;030780126;;;1;;;;;;1;;;1;0;0;0;1;1;0;0;0;0;;;2;
INFOMED;2014;030000160;030780282;;;1;;;1;;;1;;;1;0;0;0;0;0;0;0;0;0;1;030780100;;
INFOMED;2014;030002208;030002158;;1;;;;;;1;;;;;0;0;0;1;1;0;;;0;0;;0.6;0.4
INFOMED;2014;030780548;030000194;;1;;;;;;1;;;;;0;0;1;1;0;1;1;0;1;1;630781839;1;0.09
INFOMED;2014;030781116;030000426;;;1;;;;;;1;;;;0;0;0;0;0;1;0;0;1;0;;3;0.77
INFOMED;2014;030785430;030785422;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;1;0;;2;0.2
INFOMED;2014;040000051;040780173;;;;;;;1;;;;;;1;1;1;1;1;0;0;0;0;1;040780173;0.5;0.1
INFOMED;2014;040000093;040780215;;1;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;;2.35;0.8
