BOR;AN;FI;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFPL_PM;EFFPA_PM;ETP_PM;GAR_PM;AST_PM;EFFPL_NEU;EFFPA_NEU;ETP_NEU;GAR_NEU;AST_NEU;EFFPL_PNM;EFFPA_PNM;ETP_PNM
MCOAVC;2014;010000024;010780054;1;18;588;4567;4;1;2.1;0;1;4;1;2.1;0;1;28;16;39.03
MCOAVC;2014;020000162;020000063;1;6;534;1140;4;1;4.25;0;1;4;1;4.25;0;1;18;2;18.1
MCOAVC;2014;020000519;020000261;1;14;430;1063;4;;4;0;1;4;;4;0;1;11;1;12.8
MCOAVC;2014;030000087;030780118;1;10;391;3468;3;0;0.9;0;0;3;0;0.9;0;0;10;7;14.15
MCOAVC;2014;060001450;060785011;1;18;785;3947;0;7;3.97;0;1;0;4;2.87;;;34;8;39.11
MCOAVC;2014;100000090;100000017;1;16;229;1803;;3;1;0;1;;2;0.75;0;1;;19;4.79
MCOAVC;2014;110000023;110780061;1;14;542;2756;;6;1;0;1;;6;1;0;1;;62;18.04
MCOAVC;2014;110000056;110780137;1;4;39;126;4;2;0.96;0;1;4;2;0.96;0;1;21;6;6.29
MCOAVC;2014;120000039;120780044;1;4;249;1551;5;;5;;;5;;5;;;8;46;39.17
MCOAVC;2014;130000409;130041916;1;2;346;485;0;2;0.44;;1;;;;;1;;16;6.17
MCOAVC;2014;130783293;130786049;1;26;1116;7180;32;10;18.17;;;30;6;14.94;;;;;
MCOAVC;2014;140000027;140000035;1;2;243;559;3;1;0.6;0;1;2;1;0.3;0;1;38;16;35.58
MCOAVC;2014;140000209;140000100;1;16;867;5189;4;1;1.72;0;1;4;1;1.72;0;1;20;13;25.25
MCOAVC;2014;160000253;160000451;1;10;632;3384;4;1;3.14;0;1;4;0;2.99;0;1;37;15;42.86
MCOAVC;2014;170000087;170023279;1;8;753;2377;6;1;3.02;0;0;6;1;3.02;0;0;21;1;22.72
MCOAVC;2014;170000103;170780175;1;12;583;5106;3;0;3.19;0;1;3;0;3.19;0;1;18;4;21.84
MCOAVC;2014;180000010;180000028;1;12;525;3585;3;0;2.7;0;1;;;;;;8;7;11.9
MCOAVC;2014;210987558;210780581;1;8;838;2447;7;;1.11;0;0;7;;1.11;0;0;16;;15.08
MCOAVC;2014;220000012;220000020;1;27;1377;8977;3;1;4;0;1;3;1;4;0;1;33;20;49.88
MCOAVC;2014;240000489;240000117;1;15;665;4836;3;0;1.5;;;;;;;;9;2;10.13
MCOAVC;2014;250000114;900000365;1;28;333;3649;4;;0.12;;;3;;4;;;;;
MCOAVC;2014;250006954;250000015;1;24;859;8191;;9;4.2;0;1;;8;2.9;0;1;29;14;34.26
MCOAVC;2014;260000013;260000021;1;16;766;6376;7;;2.35;;;7;;2.35;;;15;5;17.66
MCOAVC;2014;280000084;280000183;1;5;386;1393;5;2;1.39;0;1;3;1;0.88;0;1;29;2;11.08
MCOAVC;2014;280504267;280000134;1;16;528;4852;5;;2.5;0;1;5;;2.5;0;1;47;6;26.16
MCOAVC;2014;290000025;290020700;1;6;713;4573;2;0;1.96;0;1;2;0;1.96;0;1;29;12;10.31
MCOAVC;2014;290004324;290000017;1;22;1020;6559;5;1;3.2;1;0;;;;1;0;28;9;33.62
MCOAVC;2014;2A0000022;2A0000014;1;9;477;3431;5;;6.04;0;1;;;;0;1;28;2;30.34
MCOAVC;2014;300782117;300780038;1;8;637;2754;5;5;8.15;1;0;5;5;8.15;1;0;23;1;24.12
MCOAVC;2014;310781000;310788880;1;15;243;1709;3;;3;0;1;3;;3;0;1;31;;31
MCOAVC;2014;310783048;310781406;1;69;3062;16997;10;;8.9;1;1;10;;8.9;1;1;96;17;87.66
MCOAVC;2014;320000086;320780117;1;14;866;3901;3;;0.75;1;;3;;0.75;1;;9;;4.2
MCOAVC;2014;330781360;330781196;1;36;1765;9515;4;;2.55;;;3;;1.6;;;75;10;69.16
MCOAVC;2014;340000033;340780055;1;25;1090;8275;6;1;5.15;0;1;5;1;4.15;0;1;35;9;35.18
MCOAVC;2014;340015502;340000512;1;16;367;1578;4;;4;;;4;;4;;;;;
MCOAVC;2014;340782085;340780477;1;4;688;1024;1;4;1.4;;;1;2;1.1;;;13;;12.58
MCOAVC;2014;350000147;350000022;1;14;803;4485;3;;1.43;0;1;3;;1.43;0;1;10;7;14.6
MCOAVC;2014;350000741;350005179;1;14;759;4431;2;;1.83;0;1;2;;1.83;0;1;70;30;83.95
MCOAVC;2014;370000861;370000481;1;27;1299;7543;;2;1.5;1;0;;2;1.5;1;0;35;17;42.46
