BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2014;010000024;010780054;1;434;111;746;1.3;1;22;0;994;0;7889;3;;;;1.4;;0;;0;;10;14;;;2;5;;;;;13.75;13.55;;;3.04
MCOGER;2014;010000065;010780096;0;;;;;1;46;;1716;0;15121;5;;2;2;5.11;1.23;0;0;1;1;15;22;;;1;8;10;;;6;21.38;26.91;;;3.27
MCOGER;2014;010000099;010780120;0;;;;;1;9;;110;0;1154;;;1;1;0.08;0.08;0;0;0;0;2;3;;;3;7;10;;;5;3.17;4.83;;;2.43
MCOGER;2014;010000115;010009132;0;;;;;1;12;0;160;0;3205;;;;;;;;;;;;3;;;1;3;4;1;;1;1.67;4.9;0.08;;1.34
MCOGER;2014;010000131;010009132;0;;;;;1;8;;156;0;2810;;;2;;0.22;;0;;;;1;2;;;1;6;2;1;;7;2.97;2.4;0.01;;1.35
MCOGER;2014;010005239;010008407;0;;;;;1;15;0;672;0;5372;1;0;2;0;2.1;0;0;0;0;0;5;9;0;0;2;1;1;0;0;2;5.5;8.75;0;0;2
MCOGER;2014;010780203;010006450;0;;;;;1;10;0;357;0;3318;1;;;;1;;0;;1;;4;;;;;2;2;;;;4.8;1.4;;;
MCOGER;2014;020000097;020000048;0;;;;;1;31;8;518;1923;8476;2;2;;;2;2;0;0;1;1;14;15;;;10;;3;;;1;14;17.57;;;10.86
MCOGER;2014;020000162;020000063;1;309;0;270;2;1;40;0;1207;0;14518;3;3;2;2;4;4;0;0;0;0;13;15;0;0;7;2;1;0;0;5;12.92;13.71;0;0;7.46
MCOGER;2014;020000394;020000253;1;111;;57;3.1;1;25;0;719;0;9067;3;0;1;0;3.06;0;0;0;0;0;11;9;0;0;6;1;1;0;0;0;11.34;9.62;0;0;5.81
MCOGER;2014;020000519;020000261;1;234;0;214;1.5;1;14;;;;;2;2;;;1;1;0;0;1;1;6;6;;;3;1;1;;;1;6.25;6.25;;;3.39
MCOGER;2014;020001061;020004404;1;35;;35;0.3;1;24;;1065;13;7966;3;2;1;;2.68;1.47;0;0;0;0;11;11;;;2;1;1;;;;11.29;12.08;;;2
MCOGER;2014;030000061;030780092;1;766;0;671;3.62;1;25;1;705;67;8797;;;;;;;0;0;1;0;9;12;;;2;3;3;;1;1;11.53;14.43;;0.5;2.43
MCOGER;2014;030000079;030780100;1;;;;0.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;030000087;030780118;1;681;72;666;;1;25;2;484;37;6442;2;2;0;0;0.85;0.85;0;0;1;0;10;13;0;0;3;3;2;0;0;6;8.92;8.24;0;0;4.84
MCOGER;2014;040000135;050002948;1;23;;23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;050000231;050000116;0;;;;;1;7;;184;0;2117;3;2;1;0;2.01;0.8;;;;;4;3;0;0;6;0;1;0;0;0;3.69;3.22;0;0;2.11
MCOGER;2014;050000256;050000124;1;266;232;130;2.1;1;12;;364;0;3853;1;;;;0.9;;0;;0;;4;10;;;1;2;4;;;1;6.91;11.75;;;1.35
MCOGER;2014;050000348;050002948;1;572;0;572;;1;30;5;781;816;7957;4;2;1;0;3.07;1.07;;;;;11;11;1;0;13;6;6;0;0;6;12.19;12.98;0.33;0;11.1
