BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2014;010000024;010780054;1;1;22;0;134;2038;5201;4;4;;;2.2;2.2;1;1;1;1;5;7;3;;;4;6;6;7;;3;9;;10.43;7.27;;0.77;3.79
MCOPED;2014;010000032;010780062;1;1;14;1;130;733;1469;2;2;;;1.9;1.9;0;0;1;1;5;1;3;;;1;;;1;;1;5.75;4;1;3.54;;0.77;5.2
MCOPED;2014;010005239;010008407;1;0;14;1;44;1062;3215;0;0;4;3;2.62;2.52;0;0;0;0;4;4;10;0;0;1;0;0;1;0;1;2.47;1;4.67;9.8;0;0.05;2.57
MCOPED;2014;020000162;020000063;1;1;30;4;205;2177;4781;5;5;2;2;6.4;6.4;1;1;1;1;12;9;23;0;2;16;4;2;5;0;1;13.49;6;10.59;27.88;0;2.5;18.55
MCOPED;2014;020000394;020000253;1;1;16;1;118;1327;2606;1;1;2;2;2.52;2.52;1;1;0;0;14;0;6;0;1;9;2;0;1;0;0;11.1;1;0;6.64;0;1.33;8.4
MCOPED;2014;020000519;020000261;1;1;22;;0;1401;4217;8;8;1;1;8.23;8.23;0;0;1;1;9;1;5;;;5;10;2;8;;;18.19;7;1.72;11.06;;;10.42
MCOPED;2014;020000535;020000287;1;0;4;0;0;314;1565;0;0;0;0;0;0;;;;;4;2;2;;;;;1;1;;;3.83;;2.46;2.56;;;
MCOPED;2014;020001061;020004404;1;1;12;;111;806;1938;5;5;1;1;1.92;1.92;0;0;1;1;2;3;3;;;4;4;;1;;;5.21;;2.85;3.13;0.1;;2.85
MCOPED;2014;020001087;020004495;1;1;2;0;0;76;0;1;;;;0.2;;0;;0;;;;;;;;;;;;;;;;;;;
MCOPED;2014;030000061;030780092;1;0;17;2;528;1397;3355;4;4;1;;2.26;1.96;0;0;1;1;13;3;3;0;1;12;5;4;2;0;1;12.79;6;7.03;4.4;0;1.8;17.25
MCOPED;2014;030000079;030780100;1;1;34;0;0;2353;4261;4;4;5;3;6.1;5.9;0;0;1;1;13;7;17;1;1;13;3;;5;1;;15.4;3;7;21;0.76;1;15.05
MCOPED;2014;030000087;030780118;1;0;22;;0;2134;5197;3;3;2;2;1;1;0;0;1;1;12;4;15;0;0;9;3;3;4;0;1;11.03;3;6.08;10.62;0;0.5;7.16
MCOPED;2014;040000093;040780215;1;0;8;;0;946;1394;2;2;4;4;4.07;4.07;0;0;1;1;3;2;;;;2;1;2;;;;2.56;4;2.69;;;;5.35
MCOPED;2014;040000911;040788879;1;0;2;0;0;70;222;;;1;1;0.6;0.6;0;0;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2014;050000231;050000116;1;0;13;;0;433;923;1;1;2;2;2.43;2.43;;;;;5;0;3;0;0;5;1;1;1;0;0;5.51;0;0.8;3.06;0;0;3.99
MCOPED;2014;050000348;050002948;1;0;9;1;29;1195;2695;5;5;0;0;2.85;2.85;;;;;2;5;4;0;0;6;2;6;12;0;0;3.74;4;8.66;10.76;0;0;5.87
MCOPED;2014;060000478;060780897;1;1;25;2;131;1423;3054;7;7;1;1;5.74;5.74;1;1;0;0;3;12;8;;1;7;3;5;5;;;6.25;;15.95;11.8;;0.37;6.35
MCOPED;2014;060000510;060780954;1;;23;1;159;1552;3042;3;;1;;2.7;;0;;1;;5;5;5;;;5;2;6;5;;;6.59;4;9.45;7.18;;;9.14
MCOPED;2014;060000544;060780988;1;1;18;5;190;1695;3809;6;6;3;2;5.27;5.17;1;1;0;0;6;7;11;;;6;1;2;3;1;1;6.6;2;8.59;13.17;0.4;0.1;7.6
MCOPED;2014;060780517;060000239;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;060780947;060800174;1;1;110;12;4078;9212;25763;53;18;40;8;41.37;16.07;1;1;1;1;38;28;51;0;2;61;15;11;16;7;7;42.55;67;31.71;56.93;2.83;4.84;100.08
MCOPED;2014;060789195;060785011;1;0;13;8;1374;479;2383;;;5;;1.72;;;;;;51;8;10;0;3;7;10;4;0;0;2;51.68;2;12.27;10.92;0;3.53;7.71
MCOPED;2014;070000179;070780358;1;;15;0;0;1948;3419;20;2;3;1;24.88;3.9;0;0;1;1;6;1;2;0;0;67;20;6;11;0;0;21.3;51;6.28;11.91;0;0;87.19
MCOPED;2014;070000195;070780374;1;0;;;0;471;1920;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;070000609;070005566;1;0;10;;0;966;1894;4;4;0;0;3.66;3.66;;;;;2;6;0;0;0;1;2;5;0;0;0;2.7;1;9.44;0;0;0;1.47
MCOPED;2014;080000110;080000037;1;1;18;2;857;948;2149;3;3;0;0;3;3;0;0;;1;3;3;9;;;1;4;7;2;;1;6.7;1;8.3;10;;0.5;1.8
MCOPED;2014;080000425;080000615;1;;22;1;290;1638;5070;5;5;1;1;0.56;0.56;0;0;0;0;4;3;6;;;3;4;5;9;;;6.91;6;5.34;13.29;;;5.96
MCOPED;2014;090000175;090781774;1;0;7;2;188;1105;2017;6;6;1;1;2.64;2.64;0;0;1;1;4;8;;;;12;1;5;;;;4.36;4;5.66;;0.24;;8.94
MCOPED;2014;100000090;100000017;1;0;31;4;966;2426;8368;;;7;6;2.32;2.26;0;0;1;1;14;4;11;;2;3;2;1;4;;1;13.97;4;4.3;14.92;;2.02;5.84
MCOPED;2014;110000023;110780061;1;0;13;4;519;1564;2895;;;3;3;1.62;1.5;0;0;1;1;4;5;10;;;;1;5;;2;1;6.05;2;4.98;10.42;0.1;0.3;1
MCOPED;2014;110000056;110780137;1;0;16;0;0;1724;3659;4;4;1;1;4.5;4.5;0;0;1;1;10;3;5;;;2;;1;1;;;9.55;;4.02;5.8;;;2.07
MCOPED;2014;120000039;120780044;1;0;11;2;146;860;1729;6;6;1;1;6.8;6.8;;;;;;1;4;1;;2;2;8;7;1;;1;4;7.8;9.65;0.97;;3.58
MCOPED;2014;120004668;120004619;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;130000409;130041916;1;1;19;4;806;2868;6193;5;3;13;11;5.72;4.55;1;1;0;0;2;3;4;;;5;11;8;9;1;;7.82;11;7.71;8.08;0.19;;9.63
MCOPED;2014;130000565;130781446;1;1;16;2;251;1469;2481;3;3;8;8;6.78;6.78;1;1;0;0;4;2;5;;;7;5;6;7;;0;7.16;2;6.9;10.29;;0;7.14
MCOPED;2014;130001225;130782634;1;0;6;1;24;1658;3197;6;6;5;4;6.23;6.21;;;;;1;3;6;;1;6;4;8;7;;;4.84;;9.06;11.63;;0.25;5.33
MCOPED;2014;130002827;130789274;1;0;2;;0;130;522;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;130002835;130789316;1;1;22;2;191;1466;2945;6;6;5;2;7.9;7.7;1;1;0;0;10;6;9;0;0;8;9;3;3;0;0;17.98;6;7.17;11.57;0;0;11.14
MCOPED;2014;130780521;130786049;1;1;52;5;1726;3840;13757;5;4;2;2;2.79;2.29;;;;;8;7;9;;1;8;5;5;3;;0;10.24;1;8.12;9.88;;1;7.02
