BOR;AN;FI;FI_EJ;EX_NEUCHI;LIT_NEUCHI;EX_REA;LIT_REA;EX_POST;LIT_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;CRAN;CERE;STEREOT;NPED;ENDO;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2014;060785003;060785011;1;33;1;8;1;8;0;0;1;1;600;1;300;1;1;0;1;1;1910;95;9368;14;2;40;328;1537;351;1428;121;1;540
NEUROCHIR;2014;130780521;130786049;1;40;1;8;1;8;0;;1;0;;0;;1;0;;0;0;1244;21;11355;11;0;59;141;908;203;471;0;0;0
NEUROCHIR;2014;130783293;130786049;1;67;0;0;1;8;0;0;;0;;0;;1;1;1;0;1;3753;42;22232;38;1;147;210;2629;873;2179;295;6;2503
NEUROCHIR;2014;130784051;130037823;1;101;1;10;1;20;1;3;1;0;;0;;1;1;1;0;1;4504;0;27128;0;0;0;331;5676;295;4346;147;0;1044
NEUROCHIR;2014;130804297;130786049;0;;0;;0;;0;;1;0;;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2014;140000209;140000100;1;52;0;0;1;5;0;;1;1;2086;0;;1;0;0;0;1;2370;50;15750;15;0;63;232;2385;315;1344;154;11;1642
NEUROCHIR;2014;140017237;140003278;0;0;0;;0;;0;;1;0;;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2014;210987558;210780581;1;26;0;;1;4;1;;;1;;1;;1;;;0;1;1616;45;7222;6;0;16;179;966;76;466;242;12;1339
NEUROCHIR;2014;250006954;250000015;1;39;0;;0;;0;;1;1;1590;0;;1;0;1;0;1;2000;29;11369;15;0;95;94;829;124;214;127;2;746
NEUROCHIR;2014;290004324;290000017;1;42;0;;0;;0;;1;1;4745;0;;1;0;1;0;1;1966;31;13278;25;0;137;72;785;22;46;39;0;273
NEUROCHIR;2014;2B0000012;2B0000020;1;20;0;;0;;0;;0;0;;0;;1;0;0;0;0;885;40;5309;13;2;39;37;381;37;132;0;0;0
NEUROCHIR;2014;300780152;300000114;1;21;0;1;0;2;0;0;1;0;;0;;1;1;1;0;0;1654;1;7379;4;0;13;37;257;231;282;0;0;0
NEUROCHIR;2014;300782117;300780038;1;10;0;;0;;0;;1;1;;1;;1;0;0;0;0;424;6;2842;1;0;7;39;438;38;23;0;0;0
NEUROCHIR;2014;310780283;310000112;1;34;0;;1;;;;1;;;;;1;1;1;0;1;1637;1;8804;4;0;13;27;217;156;856;0;0;0
NEUROCHIR;2014;310781000;310788880;1;35;0;6;0;12;1;36;1;0;;0;;1;1;1;0;1;3450;12;15147;13;0;41;85;542;247;766;37;1;129
NEUROCHIR;2014;310783048;310781406;1;60;1;16;1;8;1;19;1;1;1094;0;;1;1;1;1;1;2503;34;18948;89;4;390;333;2997;742;2114;304;20;1893
NEUROCHIR;2014;310783055;310781406;;;;;;;;;;;;;;;;;;;636;13;4454;5;0;23;79;694;134;424;71;2;503
NEUROCHIR;2014;330781360;330781196;1;74;1;14;1;10;1;0;;;;;;1;1;0;1;1;2339;52;18828;196;3;959;552;6524;1307;2860;341;35;1288
NEUROCHIR;2014;340015502;340000512;1;30;0;4;0;8;;;;;;;;;;;;;1715;1;8623;3;0;9;92;209;588;922;0;0;0
NEUROCHIR;2014;340782085;340780477;1;54;0;16;1;12;1;6;1;1;;1;;1;1;1;1;1;2378;41;13643;319;16;1385;132;2225;812;1934;503;100;2302
NEUROCHIR;2014;350000741;350005179;1;48;0;;1;6;0;;;1;2500;1;1500;1;1;1;;1;2453;48;14763;37;0;207;94;862;448;1707;292;18;1071
NEUROCHIR;2014;370000499;370000481;1;3;0;;0;;0;;0;1;;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2014;370000861;370000481;1;36;1;10;1;12;1;;0;1;;0;;1;0;1;1;1;2325;518;9456;13;5;26;179;2425;620;3185;287;57;2367
NEUROCHIR;2014;380000067;380780080;1;39;1;9;1;4;0;0;1;1;2555;0;;1;1;0;1;1;2046;53;12189;41;0;212;317;1011;397;1123;177;15;1168
NEUROCHIR;2014;420785354;420784878;1;57;1;5;1;1;1;1;1;1;;0;;1;1;0;1;1;2398;294;17663;41;14;111;205;1244;164;452;164;2;1259
NEUROCHIR;2014;440017598;440000289;1;45;0;0;0;0;0;0;1;0;;0;;;;;;;1830;162;8951;19;1;79;338;1578;241;336;253;7;1380
NEUROCHIR;2014;450002613;450000088;1;14;1;4;0;0;1;0;1;;;;;1;0;1;0;0;903;24;4886;7;0;61;78;951;13;55;0;0;0
NEUROCHIR;2014;490000049;490000031;1;32;0;0;1;12;1;1;1;1;;0;0;1;0;0;1;1;1784;22;9436;20;2;71;128;743;8;32;152;10;1017
NEUROCHIR;2014;510004302;510000029;1;38;0;;1;6;1;5;1;0;0;0;0;1;1;0;0;1;2172;298;8078;3;0;15;21;341;606;1537;122;3;810
NEUROCHIR;2014;540001138;540023264;1;84;1;12;1;6;1;8;1;1;;1;;1;1;1;0;1;2781;22;25024;13;0;91;234;3167;215;1225;288;25;1584
NEUROCHIR;2014;540002698;540023264;1;8;0;;0;;0;;1;0;;0;;0;0;0;1;1;4;0;20;369;16;2030;0;0;0;0;0;0;0
NEUROCHIR;2014;590000618;590782215;1;28;1;7;0;0;0;;1;1;;1;;1;0;0;0;0;1189;12;7876;14;0;74;181;1112;56;218;0;0;0
NEUROCHIR;2014;590780268;590053955;1;10;1;2;0;;0;;0;0;;0;;1;0;0;0;0;986;0;4247;0;0;0;31;44;4;24;0;0;0
NEUROCHIR;2014;590796975;590780193;1;129;1;18;1;6;1;1;1;1;3639;1;;1;1;1;1;1;7198;2105;32226;922;144;3500;313;4496;26;385;365;35;1999
NEUROCHIR;2014;630000404;630780989;1;60;1;13;1;3;1;0;;;;;;;;;;;2921;45;18650;71;3;249;190;2942;20;467;170;5;1488
NEUROCHIR;2014;640000162;640780417;1;21;0;0;0;0;0;;0;0;;0;;1;;1;0;0;939;31;6979;11;1;36;46;610;131;237;0;0;0
NEUROCHIR;2014;640780946;640000469;1;32;0;;1;6;0;;1;0;;0;;1;1;1;0;0;238;11;1253;0;0;0;0;0;2;2;0;0;0
NEUROCHIR;2014;660000084;660780180;1;23;1;4;1;4;0;;1;0;;0;;1;0;0;0;0;972;49;7027;10;1;40;100;493;89;236;0;0;0
NEUROCHIR;2014;670783273;670780055;1;62;0;;1;6;0;;1;1;;0;;1;1;0;1;1;2158;159;16615;14;6;69;173;1937;22;782;170;10;809
NEUROCHIR;2014;680000684;680000973;1;45;0;;0;;1;1;1;1;1000;1;;1;0;0;0;1;2168;36;14775;15;1;116;194;2504;0;0;91;8;881
NEUROCHIR;2014;690782834;690000724;1;;0;;0;;0;;1;0;;0;;;;;0;;175;0;1711;0;0;0;0;0;108;304;0;0;0
NEUROCHIR;2014;690784178;690781810;1;138;1;20;1;10;1;6;;;;;;1;1;1;1;1;5039;540;33888;839;102;4972;367;2811;863;2095;383;17;2380
NEUROCHIR;2014;740000237;740781133;1;14;0;;0;;0;;1;1;;1;407;1;0;0;0;0;694;7;4834;7;0;25;81;359;115;328;0;0;0
NEUROCHIR;2014;750000499;750140014;1;41;1;10;1;4;1;;1;1;;0;;1;1;1;0;1;1595;32;11257;26;0;158;129;2212;389;1130;212;14;1534
NEUROCHIR;2014;750000549;750150229;0;;0;;0;;1;6;1;1;779;0;;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;690;68;3642
NEUROCHIR;2014;750100042;750712184;1;42;0;1;0;5;0;1;1;1;755;0;;1;1;0;0;1;1775;109;10552;8;1;21;137;1935;484;2649;378;11;1919
NEUROCHIR;2014;750100125;750712184;1;84;1;18;1;7;1;4;1;0;;0;;1;1;1;0;1;4334;171;30137;21;3;151;316;6423;1360;1692;232;9;2231
NEUROCHIR;2014;750100208;750712184;1;16;1;8;1;8;1;8;1;1;1010;1;150;0;1;1;1;1;18;0;73;1414;76;4607;815;2939;930;2713;0;0;0
NEUROCHIR;2014;750120016;750821092;1;25;0;;0;;0;;1;0;;0;;1;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2014;760000158;760780239;1;60;1;10;1;5;1;0;1;1;;0;;1;1;1;1;1;2263;67;20122;18;1;145;245;2821;648;1168;68;4;475
NEUROCHIR;2014;800000192;800000044;1;0;1;;1;;1;;0;;;;;;;;;;1432;43;9968;140;16;596;291;1562;56;224;81;0;494
NEUROCHIR;2014;800006124;800000044;1;40;1;8;1;2;1;1;1;1;500;0;;1;1;0;1;1;371;7;2322;17;2;58;70;377;3;7;18;1;140
NEUROCHIR;2014;830100574;750821092;1;20;0;;0;;1;1;1;0;;1;700;1;0;0;0;1;717;9;6263;1;0;2;0;0;0;0;128;18;426
NEUROCHIR;2014;860000223;860013077;1;33;1;19;0;;0;;1;0;;0;;1;1;0;1;1;1766;44;9649;43;3;208;467;3600;171;191;174;3;1534
NEUROCHIR;2014;870000064;870000015;1;46;0;0;1;8;1;4;1;1;;0;;1;1;1;1;1;1943;46;13525;5;0;14;83;809;16;43;222;3;1180
NEUROCHIR;2014;920000650;920150059;1;44;0;;0;2;1;;1;0;;0;;1;1;0;0;1;1198;6;8228;22;0;74;53;675;758;766;231;16;882
NEUROCHIR;2014;920100039;750712184;1;32;1;17;1;6;1;8;0;1;;1;;1;1;1;0;1;1952;380;10382;32;8;135;241;2616;292;427;203;9;1285
NEUROCHIR;2014;930300025;930000393;1;20;;;1;7;0;;1;0;;0;;1;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2014;940100027;750712184;1;32;1;15;1;6;1;0;1;1;;1;;1;1;0;0;1;1986;686;9104;10;0;50;282;1180;234;1305;162;6;1018
NEUROCHIR;2014;940100043;750712184;1;35;0;0;0;0;0;0;1;1;250;0;;1;1;0;1;1;1280;32;10609;19;0;122;202;1902;477;1083;237;14;1519
NEUROCHIR;2014;970100442;970100228;1;11;0;0;0;0;0;;1;1;;0;;1;1;1;1;0;768;242;3349;12;1;62;71;403;15;59;0;0;0
NEUROCHIR;2014;970211215;970211207;1;12;0;0;0;6;0;2;0;0;;0;;1;0;0;1;0;394;21;3253;1;0;11;17;137;100;941;6;0;29
NEUROCHIR;2014;970400057;970408589;1;18;1;8;1;4;1;1;1;1;58;1;;1;;0;;;889;17;5036;19;1;94;217;1052;9;8;75;0;675
