BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
NEUROCHIR_P;2014;060785003;060785011;M103X;0;5;4.6;;
NEUROCHIR_P;2014;060785003;060785011;M2060;6;1;4.65;0;1
NEUROCHIR_P;2014;060785003;060785011;MAUT;0;1;0.75;;
NEUROCHIR_P;2014;060785003;060785011;N2200;21;5;22.4;;
NEUROCHIR_P;2014;060785003;060785011;N2500;20;2;18.67;;
NEUROCHIR_P;2014;060785003;060785011;N4000;1;0;1;;
NEUROCHIR_P;2014;060785003;060785011;NAUT;14;4;12.63;;
NEUROCHIR_P;2014;060785003;060785011;NCINS;2;0;0.45;;
NEUROCHIR_P;2014;130780521;130786049;M1120;1;0;1;;
NEUROCHIR_P;2014;130780521;130786049;M2060;5;1;3.83;;
NEUROCHIR_P;2014;130780521;130786049;MAUT;1;2;0.38;;
NEUROCHIR_P;2014;130780521;130786049;N2200;15;8;23.02;;
NEUROCHIR_P;2014;130780521;130786049;N2400;0;1;0.3;;
NEUROCHIR_P;2014;130780521;130786049;N2500;16;1;17.54;;
NEUROCHIR_P;2014;130780521;130786049;NAUT;4;3;6.53;;
NEUROCHIR_P;2014;130780521;130786049;NCINS;2;0;1.6;;
NEUROCHIR_P;2014;130783293;130786049;M1120;1;0;0.1;;
NEUROCHIR_P;2014;130783293;130786049;M1160;3;3;2.02;;
NEUROCHIR_P;2014;130783293;130786049;M2060;7;1;4.17;;
NEUROCHIR_P;2014;130783293;130786049;MAUT;0;3;0.69;;
NEUROCHIR_P;2014;130783293;130786049;N2200;28;8;37.42;;
NEUROCHIR_P;2014;130783293;130786049;N2400;0;1;0.13;;
NEUROCHIR_P;2014;130783293;130786049;N2500;23;1;24.44;;
NEUROCHIR_P;2014;130783293;130786049;N4000;4;0;4;;
NEUROCHIR_P;2014;130783293;130786049;NAUT;10;1;10.21;;
NEUROCHIR_P;2014;130783293;130786049;NCINS;4;0;4;;
NEUROCHIR_P;2014;130784051;130037823;M103X;7;2;7.4;;
NEUROCHIR_P;2014;130784051;130037823;M1120;;6;1.2;0;0
NEUROCHIR_P;2014;130784051;130037823;M1160;;3;0.6;0;1
NEUROCHIR_P;2014;130784051;130037823;M2060;4;2;4.4;0;1
NEUROCHIR_P;2014;130784051;130037823;N2200;29;4;28.82;;
NEUROCHIR_P;2014;130784051;130037823;N2500;20;;18.65;;
NEUROCHIR_P;2014;130784051;130037823;NCINS;3;;3;;
NEUROCHIR_P;2014;130804297;130786049;M2060;3;0;1.55;;
NEUROCHIR_P;2014;130804297;130786049;NAUT;1;1;1.8;;
NEUROCHIR_P;2014;140000209;140000100;M1160;5;1;2.75;0;1
NEUROCHIR_P;2014;140000209;140000100;M2060;7;;4.48;1;0
NEUROCHIR_P;2014;140000209;140000100;N2200;20;10;27.9;;
NEUROCHIR_P;2014;140000209;140000100;N2500;27;7;32.85;;
NEUROCHIR_P;2014;140000209;140000100;N4000;13;5;10.22;;
NEUROCHIR_P;2014;140000209;140000100;NAUT;25;3;21.87;;
NEUROCHIR_P;2014;140000209;140000100;NCINS;3;;1.82;;
NEUROCHIR_P;2014;140017237;140003278;M103X;18;;18;;
NEUROCHIR_P;2014;140017237;140003278;M2060;4;;4;0;1
NEUROCHIR_P;2014;140017237;140003278;N2200;10;2;11.28;;
NEUROCHIR_P;2014;140017237;140003278;N2500;5;3;7.27;;
NEUROCHIR_P;2014;140017237;140003278;NCINS;1;;1;;
NEUROCHIR_P;2014;210987558;210780581;M103X;;;0.24;;
NEUROCHIR_P;2014;210987558;210780581;M1160;3;3;3.08;;
NEUROCHIR_P;2014;210987558;210780581;M2060;6;1;3.66;1;0
NEUROCHIR_P;2014;210987558;210780581;MAUT;3;;1.95;;
NEUROCHIR_P;2014;210987558;210780581;N2200;25;4;27.26;;
NEUROCHIR_P;2014;210987558;210780581;N2500;11;1;11.66;;
NEUROCHIR_P;2014;210987558;210780581;NAUT;7;1;8.4;;
NEUROCHIR_P;2014;210987558;210780581;NCINS;2;;2;;
NEUROCHIR_P;2014;250006954;250000015;M103X;;7;4;;
NEUROCHIR_P;2014;250006954;250000015;M1160;;8;2;1;1
