BOR;AN;FI;ORG_E5;ORG_A1;ORG_A2;ORG_A3;FI_EJ;ORG_A4;ORG_A5;ORG_A6;ORG_A7;ORG_A8;ORG_A9;ORG_A10;ORG_A11;ORG_B1;ORG_C1;ORG_D1;ORG_B2;ORG_C2;ORG_D2;ORG_B3;ORG_C3;ORG_D3;ORG_B4;ORG_C4;ORG_D4;ORG_B5;ORG_C5;ORG_D5;ORG_B6;ORG_C6;ORG_D6;ORG_B7;ORG_C7;ORG_D7;ORG_B8;ORG_C8;ORG_D8;ORG_B9;ORG_C9;ORG_D9;ORG_B10;ORG_C10;ORG_D10;ORG_B11;ORG_C11;ORG_D11;ORG_A12;ORG_A13;ORG_A14;ORG_A15
ORG;2014;010000024;;;3;;010780054;1;;;;;;;;;;;D;C;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.7;;
ORG;2014;010000032;;;;;010780062;;;;2;;;11;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;C;A;B;;;;0;2.93;0;0.54
ORG;2014;010000081;;;;;010780112;1;;;;;;2;;;;;;;;;;;C;G;;;;;;;;;;;;;;;;;A;B;;;;;;;;
ORG;2014;010000107;;;;;010780138;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.4;1.1
ORG;2014;010000115;;;2;;010009132;;;;;;;23;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;D;C;A;;;;;;;
ORG;2014;010000131;;;2;;010009132;;;;;;;23;;;;;D;C;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;010000214;;;1;;010007987;1;;;1;;;3;1;;;;A;;;;;;H;;;;;;;;;A;;;;;;;;;A;;;A;;;;;;
ORG;2014;010005239;;;;;010008407;;;;1;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;0;;;
ORG;2014;010006526;;;;;690796552;;;;1;;;3;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;C;A;;;;;0.5;;0.01;
ORG;2014;010780195;;1;;;010000156;;;;1;;;;;C;;;;;;;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;
ORG;2014;010780294;;;;;690000278;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
ORG;2014;010780310;;1;;;010000222;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;010780328;;;1;;010000222;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;010780476;;;;;750005068;;;;;;;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;C;D;E;;;0;0;0;0
ORG;2014;010780799;;;1;;750721334;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ORG;2014;010789006;;;;;670005834;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;1.3;2.75;1.1
ORG;2014;020000089;;;;;020000022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;020000097;;;;;020000048;1;;;;;;;;;;;;;;;;;G;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;020000105;;;;;020000055;;;;;;;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;C;B;;;;0.01;0;0.4;0
ORG;2014;020000162;;;1;;020000063;1;;;;1;;;;;;;D;;;;;;C;H;A;;;;;;;;;;C;;;;;;;;;;;;1;0.2;0;1
ORG;2014;020000303;;;1;;750814030;;;;;;;55;11;;;;A;D;;;;;;;;;;;;;;;;;;;;;;;C;A;D;C;B;;0.5;0.53;7.07;38.03
ORG;2014;020000394;;;1;;020000253;1;;;1;;;;;;;;D;;;;;;C;A;B;;;;;;;D;;;;;;;;;;;;;;;1;;;0.2
ORG;2014;020000535;;2;;1;020000287;;1;;2;1;;0;;B;D;;;;;A;;;;;;B;;;;;;D;;;C;;;;;;;;;;;;0;0;0;0
ORG;2014;020000543;;;1;1;020000295;;;2;;;;;;;;;B;;;E;;;;;;;;;B;B;;;;;;;;;;;;;;;;;;;;
ORG;2014;020001061;;;2;;020004404;1;;1;;;;;;;;;A;D;D;;;;C;A;;;;;B;;;;;;;;;;;;;;;;;;;2.44;;39.79
ORG;2014;020009684;;;1;;020002085;;;1;;1;;21;;;;;B;;;;;;;;;;;;B;;;;;;G;;;;;;;;;;;;0;0;0;0
ORG;2014;020010047;;;1;;020001632;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
ORG;2014;030000012;;;;;030180020;;1;;;;;9;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;A;C;D;;;;;0.7;0.3;0.2
ORG;2014;030000061;;;3;;030780092;1;;;1;;;61;;;;;A;C;C;;;;A;;;;;;;;;D;;;;;;;;;A;C;D;;;;;;;
ORG;2014;030000087;;;3;;030780118;;;1;;1;;202;;;;;D;G;B;;;;;;;;;;A;;;;;;C;;;;;;;C;F;;;;1;;;
ORG;2014;030000095;;;1;;030780126;;;;3;;;20;;;;;A;;;;;;;;;;;;;;;A;B;;;;;;;;;;;;;;0.1;0.2;0.1;
ORG;2014;030000160;;;;;030780282;;;2;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;030002208;;;;;030002158;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;030780548;;;;;030000194;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;C;;;;0;0;0;0
ORG;2014;030785430;;;1;;030785422;;;;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;040000051;;;;;040780173;;1;;;;;;;;;;;;;;;;;;;A;C;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;040000069;;;2;;040780181;;;;;;;;;;;;C;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;040000093;;;1;;040780215;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;040000135;;1;1;;050002948;;;;;2;;132;;C;;;C;;;;;;;;;;;;;;;;;;C;;;;;;C;A;D;;;;;;;
ORG;2014;040780389;;;;;040000150;;;;1;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;;;;;;;;;;0;0;0;0
ORG;2014;040780488;;;;;040000200;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;A;D;;;;0.01;0.11;;
ORG;2014;050000041;;;1;;130037815;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;A;;;;;;;;
ORG;2014;050000090;;1;;;050006931;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;050000132;;0;0;0;050007145;0;0;0;0;0;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;050000231;;;2;;050000116;;;;1;1;;147;1;;;;D;C;;;;;;;;;;;;;;D;;;C;;;;;;A;C;;;;;;;;
ORG;2014;050000256;;1;1;;050000124;;;3;;2;;75;;C;;;A;;;;;;;;;;;;A;B;;;;;;;;;;;A;B;C;;;;0;1.4;0.06;1.32
ORG;2014;050000330;;0;0;0;050007145;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;050000348;;1;1;;050002948;;;;;2;;132;;C;;;C;;;;;;;;;;;;;;;;;;C;;;;;;C;A;D;;;;;;;
ORG;2014;050000454;;0;0;0;050000645;0;0;0;0;0;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;D;;;;;0.02;0.03;;0.1
ORG;2014;050000991;;1;;;050000546;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
