BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2014;010000024;010780054;M1030;8;2;2.2;1;;1;
PERINAT_P;2014;010000024;010780054;M1140;3;1;2.04;1;;;
PERINAT_P;2014;010000024;010780054;M2050;7;3;5.1;1;;;
PERINAT_P;2014;010000024;010780054;MIVG;3;5;0.15;;;;
PERINAT_P;2014;010000024;010780054;N2340;14;5;15.29;;;;
PERINAT_P;2014;010000024;010780054;N2700;;1;1.05;;;;
PERINAT_P;2014;010000024;010780054;N2800;20;24;35.68;;;;
PERINAT_P;2014;010000024;010780054;N280H;20;24;35.68;;;;
PERINAT_P;2014;010000032;010780062;M2050;;3;1.17;0;1;;
PERINAT_P;2014;010000032;010780062;N2800;8;4;9.38;;;;
PERINAT_P;2014;010000032;010780062;N280H;8;4;9.38;;;;
PERINAT_P;2014;010005239;010008407;M2050;0;6;3.98;;;;
PERINAT_P;2014;010005239;010008407;N2700;0;1;0.05;;;;
PERINAT_P;2014;010005239;010008407;N2800;13;6;15.98;;;;
PERINAT_P;2014;010005239;010008407;N280H;13;6;15.98;;;;
PERINAT_P;2014;010780203;010006450;M1030;2;2;4.26;0;1;;0
PERINAT_P;2014;010780203;010006450;M1140;2;;2;0;1;;
PERINAT_P;2014;010780203;010006450;M2050;3;;3;0;1;;
PERINAT_P;2014;010780203;010006450;N2800;13;1;12.9;;;;
PERINAT_P;2014;010780203;010006450;N280H;13;1;12.9;;;;
PERINAT_P;2014;020000089;020000022;N2800;2;;1;;;;
PERINAT_P;2014;020000162;020000063;M1140;5;2;5.5;1;0;;
PERINAT_P;2014;020000162;020000063;M2050;7;3;8.5;1;0;;
PERINAT_P;2014;020000162;020000063;MIVG;0;1;0.2;;;;
PERINAT_P;2014;020000162;020000063;N2340;11;9;18.78;;;;
PERINAT_P;2014;020000162;020000063;N2700;1;1;1.8;;;;
PERINAT_P;2014;020000394;020000253;M1030;0;0;0;1;0;0;0
PERINAT_P;2014;020000394;020000253;M1140;2;0;2;1;0;;
PERINAT_P;2014;020000394;020000253;M2050;5;2;6.84;1;0;;
PERINAT_P;2014;020000394;020000253;MIVG;0;1;0.4;;;;
PERINAT_P;2014;020000394;020000253;N2340;1;1;1.63;;;;
PERINAT_P;2014;020000394;020000253;N2700;0;1;0.12;;;;
PERINAT_P;2014;020000394;020000253;N2800;16;3;15.77;;;;
PERINAT_P;2014;020000394;020000253;N280H;16;3;15.77;;;;
PERINAT_P;2014;020000519;020000261;M1030;1;;1;1;0;0;0
PERINAT_P;2014;020000519;020000261;M1140;;1;0.7;1;1;;
PERINAT_P;2014;020000519;020000261;M2050;9;;9;0;1;;
PERINAT_P;2014;020000519;020000261;MIVG;3;;3;;;;
PERINAT_P;2014;020000519;020000261;N2340;8;4;11.2;;;;
PERINAT_P;2014;020000519;020000261;N2700;;1;0.8;;;;
PERINAT_P;2014;020000519;020000261;N2800;9;6;13.15;;;;
PERINAT_P;2014;020000519;020000261;N280H;1;;1;;;;
PERINAT_P;2014;020000535;020000287;M1030;0;0;0.5;1;0;0;0
PERINAT_P;2014;020000535;020000287;M1140;0;0;0.5;1;0;;
PERINAT_P;2014;020000535;020000287;M2050;0;0;1.6;1;0;;
PERINAT_P;2014;020000535;020000287;N2800;13;2;13.69;;;;
PERINAT_P;2014;020000535;020000287;N280H;9;1;9.19;;;;
PERINAT_P;2014;020001061;020004404;M1030;7;0;0.75;1;0;0;
PERINAT_P;2014;020001061;020004404;M1140;5;1;1.91;0;1;;
PERINAT_P;2014;020001061;020004404;M2050;4;3;4.95;0;1;;
