BOR;AN;FI;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A37;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42
PSY2;2014;010000495;010783009;16363;86;7;2;33;676;176;92;3;2;29;542;154;79245;6316;776;68;349;43908;6145;17304;438;0;0;0;887;102;165914;1291;41;3;27;8409;903;;1;2.3;1;7.09;0;;1;26.97;0;
PSY2;2014;020000386;020000600;1116;;;;;;;;;;;;;28409;;;;;;;;;;;;;;;;;;;;;5;0;;0;;0;;0;;0;
PSY2;2014;020000543;020000295;2216;83;3;0;45;198;165;79;3;0;59;179;151;179185;8561;730;0;562;9398;5783;18561;408;0;0;0;104;45;150598;1001;0;0;0;1259;690;58.56;0;;0;;0;;0;;0;
PSY2;2014;020004156;590805065;426;;;;;;;;;;;;;19173;;;;;;;3370;;;;;;;;;;;;;;;0;;1;21;0;;0;;0;
PSY2;2014;020006664;020000063;3501;36;0;0;0;126;30;79;0;0;0;223;96;13034;2575;0;0;0;3539;915;12458;1229;0;0;0;631;503;32841;34;0;0;0;33;0;7.5;1;1;0;;0;;0;;0;
PSY2;2014;030000061;030780092;4516;33;1;2;;130;18;86;1;1;;240;30;57512;2330;21;14;;5467;513;13710;233;;;;314;13;52758;50;22;4;;300;59;;1;;1;;1;;1;;0;
PSY2;2014;030000087;030780118;;;;;;;;;;;;;;33562;1556;;;;6368;;44216;;;;;332;;60623;47;;;;1007;;15.35;1;9.41;1;39.22;1;5.08;0;;0;
PSY2;2014;030000160;030780282;725;;;;;;;;;;;;;123379;;;;;;;;;;;;;;23789;;;;;;;;0;;0;;0;;0;;0;
PSY2;2014;030781637;030780100;1115;17;;;;131;0;23;;;;;;11151;1888;;;;3254;;8607;177;;;;25;;28873;342;;;;2350;;;1;;1;;1;;0;;0;
PSY2;2014;040000911;040788879;2190;53;2;0;0;123;67;;;;;;;37478;2082;66;;;2636;891;;;;;;;;17967;397;0;;;719;310;;0;;1;31.62;1;17.68;0;;0;
PSY2;2014;050000132;050007145;2850;12;4;1;;52;49;12;4;;;54;51;33680;577;491;1;;1756;1394;3241;;;;;22;;40430;;;;;;;12;0;;0;;0;;0;;0;
PSY2;2014;050000231;050000116;812;;;;;;;;;;;;;6466;;;;;;;3106;;;;;;;11759;;;;;;;;;;;;;;;;;
PSY2;2014;050000454;050000645;109;;;;;;;;;;;;;9808;;;;;;;;;;;;;;;;;;;;;0.95;0;;0;;1;;0;;0;
PSY2;2014;050000991;050000546;320;;;;;;;;;;;;;12920;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2014;060000478;060780897;1638;30;15;1;13;78;0;15;3;0;0;113;0;5940;630;273;0;0;3032;0;1810;0;0;0;0;0;0;16624;195;40;1;22;134;0;;1;;0;;0;;0;;;
PSY2;2014;060000510;060780954;6119;41;0;0;0;242;16;22;0;0;0;145;8;22044;1320;0;0;0;5017;212;5648;0;0;0;0;136;0;36833;146;0;0;0;521;19;18.8;1;5.5;0;;0;;0;;0;
PSY2;2014;060000544;060780988;546;39;;;3;253;13;42;;;4;290;13;;;;;;;;;;;;;;;;;;;;;;19.1;1;2;;;;;;;;
PSY2;2014;060780442;060000213;590;;;;;;;;;;;;;17668;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2014;060780525;060000247;757;;;;;;;;;;;;;22032;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2014;060780541;060000262;711;;;;;;;;;;;;;23649;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2014;060780749;060000395;348;;;;;;;;;;;;;13661;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2014;060780996;630786754;2000;170;9;30;54;718;59;193;10;32;70;843;62;83462;15342;820;693;2216;28701;2143;31245;702;1;;1418;252;8;154521;2917;48;20;1314;2624;59;;;;1;44.24;1;21.61;1;25.92;1;23.35
PSY2;2014;060781929;060000858;825;;;;;;;;;;;;;27339;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2014;060785003;060785011;323;34;;;;113;9;34;;;;128;10;11673;769;;;;6382;639;4354;0;;;;31;0;17325;169;;;;655;8;;0;;0;;0;;0;;0;
PSY2;2014;060800174;060800174;3987;;;1;;;;;;1;;;;5427;;;14;;;;10311;;;;;;;44250;;;;;;;;1;;0;;1;36.5;;;;
PSY2;2014;070780317;630786754;12484;77;3;1;11;260;205;82;3;1;13;261;219;56563;4130;117;25;62;12196;4771;23305;323;;;;1364;403;117439;574;21;;16;2593;653;32.37;1;0.96;1;28.3;0;;0;;0;
PSY2;2014;080000318;080000086;1396;47;;2;;256;284;30;;2;;214;147;61427;1450;;18;;6668;3272;19714;128;;;;599;168;63501;404;0;0;;1105;829;19;1;0.38;0;;1;3.35;0;;0;
PSY2;2014;090000183;090781816;6928;94;0;2;1;214;121;;;;;;;19638;2705;0;11;0;4991;4445;4862;97;0;0;0;198;5;5476;1066;0;0;1;2418;36;;1;;1;;0;;0;;0;
PSY2;2014;100000108;100000033;5313;53;;1;20;190;43;26;;1;23;210;47;61879;5870;;21;284;9226;1678;16042;1221;;;;1106;13;62694;;;;;;;28.6;1;3.2;1;71.35;1;7.48;0;;0;
PSY2;2014;110002953;110780137;2809;20;;;;79;;22;;;;86;;10618;1205;;;;3396;;7076;;;;;;;19365;;;;;;;9.2;1;1.5;0;;1;;0;;0;
PSY2;2014;110780152;110000064;543;;;;;;;;;;;;;21666;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2014;110786324;110786324;8450;53;3;;8;253;10;61;3;;8;287;10;59139;2934;855;;87;12204;520;14890;;;;;26;;61736;258;;;;315;;;1;1.5;1;3;1;;0;;0;
