BOR;AN;FI;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_PA;NB_CMP_PL;NB_CATTP;ACT_CMP;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;ACT_UCSA;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2014;010000495;010783009;GEN;;4;;;360;;;25;;;100;10;;6193;125694;;;4928;;;;12097;33;;0;16;12;76178;33665;6479;4582;4450;0;;12311;9382;2254;47;11;12;21.7;13;;11.76;0;0;271;76;298.53;211.93;22.13;23.01;;5.2;15.24;15;6;13.45;4;;3.84;323;73;386.94;246.01;72.63;4.4;;;8
PSY;2014;010000495;010783009;INF;;1;;;19;;;;;;14;0;;483;4301;;;;;;;2262;0;;1;11;6;28742;9603;36;526;593;1182;;4091;3730;115;0;6;4;9.93;;;;0;0;59;64;93.2;45.72;5;15.07;;14.47;9.88;2;;1.7;;;;23;9;29.04;18.24;5.6;1.3;;0.4;0.5
PSY;2014;010000495;010783009;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2230;394;380;;;2;;0.93;1;;1;;;4;2;4.58;1.97;;2.61;;;;;;;;;;;;;;;;;;
PSY;2014;010000495;010783009;TOT;1;;7;1;379;;;25;;;114;10;;6676;129995;;;4928;;;;14359;33;;1;27;18;104920;43268;6515;5108;5043;1182;2230;16533;13335;2348;47;19;16;32.56;14;;12.76;;;334;142;396.31;259.62;27.13;40.69;;19.67;25.12;17;6;15.15;4;;3.84;346;82;415.98;264.25;78.23;5.7;;0.4;8.5
PSY;2014;020000386;020000600;GEN;;;;;71;;;;;;10;;;;28409;;;;;;;1725;;;;;;;;;;;;;1116;;;;5;;5;;2;0.17;0;0;34;8;38.29;28.74;7.51;1.5;;0.04;0.5;5;;5;;2;0.17;34;8;38.29;28.74;7.51;1.5;;0.04;0.5
PSY;2014;020000386;020000600;TOT;0;;;0;71;;;;;;10;;;;28409;;;;;;;1725;;;;;;;;;;;;;1116;;;;5;;5;;2;0.17;;;34;8;38.29;28.74;7.51;1.5;;0.04;0.5;5;;5;;2;0.17;34;8;38.29;28.74;7.51;1.5;;0.04;0.5
PSY;2014;020000543;020000295;GEN;;5;;;388;85;;;;146;42;4;;2295;122958;30037;;;;46595;286;8341;106;;;7;2;57606;12978;10253;2454;2708;2;;7591;5541;318;209;29;6;33.6;10;9;11.5;0;0;589;51;626.7;427.3;82.5;20.2;;3.2;23.1;13;3;15.4;6;1;6.5;552;42;583.9;391.4;79.7;7.5;;3.2;11.9
PSY;2014;020000543;020000295;INF;;3;;;24;3;;;;;123;;;84;4430;820;;;;;0;13533;0;;;9;0;53820;1;1599;16;37;415;;4306;4024;17;8;12;;12;4;;4;0;0;150;36;175.65;87.5;6;23.5;;8.8;33.6;2;;2;1;;1;39;8;36.6;30.7;5;1;;;4
PSY;2014;020000543;020000295;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;1780;;;;;15153;898;846;;;2;4;3.6;1;;1;;;7;5;10.6;9.4;;1.2;;;;2;;2;1;;1;;;;;;;;;
PSY;2014;020000543;020000295;TOT;1;;5;1;412;88;;;;146;165;4;;2379;127388;30857;;;;46595;286;21874;106;;;18;3;111426;14759;11852;2470;2745;417;15153;12571;10270;335;217;43;10;49.2;15;9;16.5;;;746;92;812.95;524.2;88.5;44.9;;12;56.7;17;3;19.4;8;1;8.5;591;50;620.5;422.1;84.7;8.5;;3.2;15.9
