BOR;AN;FI;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;EFF_LIB
Q21;2014;010000024;010780054;2000;158.18;;1.7;56.64;5
Q21;2014;010000024;010780054;2100;154.65;;1.7;56.64;5
Q21;2014;010000024;010780054;2300;1.68;;;;
Q21;2014;010000024;010780054;2400;1.85;;;;
Q21;2014;010000024;010780054;9999;158.18;;1.7;56.64;5
Q21;2014;010000032;010780062;2000;32.5;;0.8;2.05;
Q21;2014;010000032;010780062;2100;31.55;;0.8;2.01;
Q21;2014;010000032;010780062;2400;0.95;;;0.04;
Q21;2014;010000032;010780062;9999;32.5;;0.8;2.05;
Q21;2014;010000065;010780096;1000;1;;;;
Q21;2014;010000065;010780096;2000;12.53;;;3.98;
Q21;2014;010000065;010780096;2100;7.21;;;2.99;
Q21;2014;010000065;010780096;2400;4.62;;;0.99;
Q21;2014;010000065;010780096;2500;0.7;;;0;
Q21;2014;010000065;010780096;9999;13.53;;;3.98;
Q21;2014;010000081;010780112;1000;0.79;;;;
Q21;2014;010000081;010780112;2000;1.53;;;;
Q21;2014;010000081;010780112;2400;0.67;;;;
Q21;2014;010000081;010780112;2500;0.86;;;;
Q21;2014;010000081;010780112;9999;2.32;;;;
Q21;2014;010000099;010780120;1000;1;;1;;
Q21;2014;010000099;010780120;2000;0.6;;;;
Q21;2014;010000099;010780120;2100;0.27;;;;
Q21;2014;010000099;010780120;2400;0.33;;;;
Q21;2014;010000099;010780120;9999;1.6;;1;;
Q21;2014;010000107;010780138;2000;1.96;;;;
Q21;2014;010000107;010780138;2100;0.84;;;;
Q21;2014;010000107;010780138;2400;1.12;;;;
Q21;2014;010000107;010780138;9999;1.96;;;;
Q21;2014;010000115;010009132;2000;1.71;;;;
Q21;2014;010000115;010009132;2100;0.62;;;;
Q21;2014;010000115;010009132;2400;0.74;;;;
Q21;2014;010000115;010009132;2500;0.35;;;;
Q21;2014;010000115;010009132;9999;1.71;;;;
Q21;2014;010000131;010009132;2000;2;;;;
Q21;2014;010000131;010009132;2100;0.6;;;;
Q21;2014;010000131;010009132;2400;1.4;;;;
Q21;2014;010000131;010009132;9999;2;;;;
Q21;2014;010000180;010007987;2000;2.5;0;;0;0
Q21;2014;010000180;010007987;2400;2.5;0;;0;0
Q21;2014;010000180;010007987;9999;2.5;0;;0;0
Q21;2014;010000198;010007987;2000;3.61;0;;0;0
Q21;2014;010000198;010007987;2400;3.61;0;;0;0
Q21;2014;010000198;010007987;9999;3.61;0;;0;0
Q21;2014;010000214;010007987;1000;2;0;;0;0
Q21;2014;010000214;010007987;2000;10.41;0;;0;0
Q21;2014;010000214;010007987;2100;0.13;0;;0;0
Q21;2014;010000214;010007987;2400;10.28;0;;0;0
Q21;2014;010000214;010007987;9999;12.41;0;;0;0
Q21;2014;010000495;010783009;1000;6.05;;;0.59;
Q21;2014;010000495;010783009;2000;58.27;22.92;;8.86;
Q21;2014;010000495;010783009;2200;58.27;22.92;;8.86;
Q21;2014;010000495;010783009;9999;64.32;22.92;;9.45;
Q21;2014;010002129;750056335;2000;6.16;0;0;0;2
Q21;2014;010002129;750056335;2300;;;;;1
Q21;2014;010002129;750056335;2400;6.16;0;0;0;1
Q21;2014;010002129;750056335;9999;6.16;0;0;0;2
Q21;2014;010005239;010008407;1000;3.83;0;;0;0
Q21;2014;010005239;010008407;2000;45.37;0;;4.5;0
Q21;2014;010005239;010008407;2100;44.13;0;;4.16;0
Q21;2014;010005239;010008407;2400;1.24;0;;0.34;0
Q21;2014;010005239;010008407;9999;49.2;0;;4.5;0
Q21;2014;010005379;690006598;2000;1.25;;;;
Q21;2014;010005379;690006598;2300;1.25;;;;
Q21;2014;010005379;690006598;9999;1.25;;;;
Q21;2014;010006526;690796552;2000;0.25;;;;
Q21;2014;010006526;690796552;2100;0.25;;;;
Q21;2014;010006526;690796552;9999;0.25;;;;
Q21;2014;010007300;010007292;2000;;;;;10
Q21;2014;010007300;010007292;2100;;;;;10
Q21;2014;010007300;010007292;9999;;;;;10
Q21;2014;010009314;010780054;2000;5.7;;;;
Q21;2014;010009314;010780054;2400;3.3;;;;
Q21;2014;010009314;010780054;2500;2.4;;;;
Q21;2014;010009314;010780054;9999;5.7;;;;
Q21;2014;010009702;010780054;2000;0.2;;;;
Q21;2014;010009702;010780054;2500;0.2;;;;
Q21;2014;010009702;010780054;9999;0.2;;;;
Q21;2014;010780195;010000156;1000;2;;;;1
Q21;2014;010780195;010000156;2000;;;;;75
Q21;2014;010780195;010000156;2100;;;;;75
Q21;2014;010780195;010000156;9999;2;;;;76
Q21;2014;010780203;010006450;2000;4.33;;;;49
Q21;2014;010780203;010006450;2100;4.33;;;;49
Q21;2014;010780203;010006450;9999;4.33;;;;49
Q21;2014;010780252;010783009;2000;3;;;;
Q21;2014;010780252;010783009;2400;3;;;;
Q21;2014;010780252;010783009;9999;3;;;;
Q21;2014;010780278;010783009;2000;6.43;;;;
Q21;2014;010780278;010783009;2400;6.43;;;;
Q21;2014;010780278;010783009;9999;6.43;;;;
Q21;2014;010780294;690000278;2000;2.93;;;;
Q21;2014;010780294;690000278;2100;2.93;;;;
Q21;2014;010780294;690000278;9999;2.93;;;;
Q21;2014;010780310;010000222;2000;1.7;;;;
Q21;2014;010780310;010000222;2400;1.7;;;;
Q21;2014;010780310;010000222;9999;1.7;;;;
Q21;2014;010780328;010000222;2000;2.3;;;;
Q21;2014;010780328;010000222;2400;2.3;;;;
Q21;2014;010780328;010000222;9999;2.3;;;;
Q21;2014;010780476;750005068;2000;5.32;;;;
Q21;2014;010780476;750005068;2400;5.32;;;;
Q21;2014;010780476;750005068;9999;5.32;;;;
Q21;2014;010780492;360000707;2000;6.16;;;;
