BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2014;010000024;010780054;30;2;;26;5;63
Q22;2014;010000032;010780062;;;;2;;2
Q22;2014;010000065;010780096;;;;6;;6
Q22;2014;010000495;010783009;10;;;2;1;13
Q22;2014;010005239;010008407;0;1;0;4;0;5
Q22;2014;020000162;020000063;43;4;0;29;5;81
Q22;2014;020000394;020000253;0;1;0;3;10;14
Q22;2014;020000519;020000261;18;;;;11;29
Q22;2014;020000535;020000287;;;;;11;11
Q22;2014;020000543;020000295;;;;;2;2
Q22;2014;020000915;020003620;1;;;;;1
Q22;2014;020001061;020004404;;;;;7;7
Q22;2014;020006664;020000063;3;;;;1;4
Q22;2014;030000061;030780092;18;;;14;3;35
Q22;2014;030000079;030780100;22;1;;10;7;40
Q22;2014;030000087;030780118;29;1;0;17;6;53
Q22;2014;030002208;030002158;;;;1;1;2
Q22;2014;030781637;030780100;1;;;;1;2
Q22;2014;040000093;040780215;;;;7;;7
Q22;2014;040000135;050002948;0;0;0;2;1;3
Q22;2014;040000911;040788879;8;;;;;8
Q22;2014;040780488;040000200;;;;1;;1
Q22;2014;050000231;050000116;0;0;0;7;0;7
Q22;2014;050000256;050000124;;;;3;;3
Q22;2014;050000348;050002948;2;2;0;10;1;15
Q22;2014;060000478;060780897;6;;;19;;25
Q22;2014;060000510;060780954;15;1;;13;;29
Q22;2014;060000528;060780962;22;1;0;7;1;31
Q22;2014;060000544;060780988;16;1;;22;1;40
Q22;2014;060001450;060785011;39;0;9;15;1;64
Q22;2014;060002102;060791761;;;;6;;6
Q22;2014;060019627;060019551;1;;;;;1
Q22;2014;060780145;060000049;;;;1;;1
Q22;2014;060780517;060000239;1;;;;;1
Q22;2014;060780715;060000361;1;;;;;1
Q22;2014;060780947;060800174;30;;;10;;40
Q22;2014;060780996;630786754;12;;;;;12
Q22;2014;060781374;060000718;;;;3;;3
Q22;2014;060785003;060785011;51;2;1;7;3;64
Q22;2014;060785219;060001468;;1;;1;;2
Q22;2014;060785227;060001476;;1;;1;;2
Q22;2014;060788957;060785011;3;;;16;;19
