BOR;AN;FI;FI_EJ;PERSO;EFFCDI;ETPCDI;EFFCDD;ETPCDD;ETPTIT;EFFTIT;EFFPNM;ETPPNM
Q23;2014;010000024;010780054;N1000;11;11.53;48;42.75;174.71;190;249;228.99
Q23;2014;010000024;010780054;N1100;;;;;4.74;5;5;4.74
Q23;2014;010000024;010780054;N1210;;;1;1;93.12;103;104;94.12
Q23;2014;010000024;010780054;N1220;11;11.53;47;41.75;76.19;81;139;129.47
Q23;2014;010000024;010780054;N1400;;;;;0.66;1;1;0.66
Q23;2014;010000024;010780054;N2000;21;14.22;77;65.19;899.5;975;1073;978.91
Q23;2014;010000024;010780054;N2120;;;1;0.3;30.09;32;33;30.39
Q23;2014;010000024;010780054;N2210;1;1;21;17.48;377.03;413;435;395.51
Q23;2014;010000024;010780054;N2310;;;1;0.35;22.73;24;25;23.08
Q23;2014;010000024;010780054;N2320;;;;0.14;17.93;19;19;18.07
Q23;2014;010000024;010780054;N2340;;;;;28.64;29;29;28.64
Q23;2014;010000024;010780054;N2410;4;2.54;2;0.45;7.63;9;15;10.62
Q23;2014;010000024;010780054;N2420;;;1;0.23;;;1;0.23
Q23;2014;010000024;010780054;N2430;1;0.17;;0.33;;;1;0.5
Q23;2014;010000024;010780054;N2440;;;;0.2;;;;0.2
Q23;2014;010000024;010780054;N2450;1;0.65;1;0.29;4.9;6;8;5.84
Q23;2014;010000024;010780054;N2460;;;1;0.74;3.12;5;6;3.86
Q23;2014;010000024;010780054;N2510;;;16;14.69;277.05;298;314;291.74
Q23;2014;010000024;010780054;N2530;;;;0.23;44.46;48;48;44.69
Q23;2014;010000024;010780054;N2610;5;3.6;22;23.8;48.54;51;78;75.94
Q23;2014;010000024;010780054;N2710;7;5.01;5;2.29;;;12;7.3
Q23;2014;010000024;010780054;N2800;2;1.25;6;3.67;37.38;41;49;42.3
Q23;2014;010000024;010780054;N3000;1;0.91;1;1.43;6.04;8;10;8.38
Q23;2014;010000024;010780054;N3120;1;0.91;1;1.43;4.64;6;8;6.98
Q23;2014;010000024;010780054;N3130;;;;;1.4;2;2;1.4
Q23;2014;010000024;010780054;N4000;2;2;9;7.59;97.75;106;117;107.34
Q23;2014;010000024;010780054;N4110;;;3;1.82;33.46;34;37;35.28
Q23;2014;010000024;010780054;N4120;;;4;3.99;20.19;24;28;24.18
Q23;2014;010000024;010780054;N4130;;;1;0.83;40.59;45;46;41.42
Q23;2014;010000024;010780054;N4160;;;1;0.95;3.51;3;4;4.46
Q23;2014;010000024;010780054;N4180;2;2;;;;;2;2
Q23;2014;010000024;010780054;N5000;23;19.89;39;37.96;154.28;159;221;212.13
Q23;2014;010000024;010780054;N5110;5;4.58;2;1.16;3.53;4;11;9.27
Q23;2014;010000024;010780054;N511A;6;5.19;;0.92;20.58;20;26;26.69
Q23;2014;010000024;010780054;N5120;5;4.86;;;;;5;4.86
Q23;2014;010000024;010780054;N5130;7;5.26;37;35.88;118.32;123;167;159.46
Q23;2014;010000024;010780054;N5140;;;;;11.85;12;12;11.85
Q23;2014;010000024;010780054;N9999;58;48.55;174;154.92;1332.28;1438;1670;1535.75
Q23;2014;010000032;010780062;N1000;2;3.71;9;6.88;41.88;45;56;52.47
Q23;2014;010000032;010780062;N1100;;;;;3.5;4;4;3.5
Q23;2014;010000032;010780062;N1210;;0.12;;;7.6;9;9;7.72
Q23;2014;010000032;010780062;N1220;2;3.59;8;6.25;30.11;31;41;39.95
Q23;2014;010000032;010780062;N1300;;;1;0.63;;;1;0.63
Q23;2014;010000032;010780062;N1400;;;;;0.67;1;1;0.67
Q23;2014;010000032;010780062;N2000;29;27.23;64;56.25;244.79;254;347;328.27
Q23;2014;010000032;010780062;N2120;;;1;0.4;7.5;8;9;7.9
Q23;2014;010000032;010780062;N2130;;;;;1;1;1;1
Q23;2014;010000032;010780062;N2210;1;1.83;17;14.37;95.37;102;120;111.57
Q23;2014;010000032;010780062;N2310;1;1;;0.03;2.52;3;4;3.55
Q23;2014;010000032;010780062;N2340;;;;;3;3;3;3
Q23;2014;010000032;010780062;N2410;;;1;1.33;2;2;3;3.33
Q23;2014;010000032;010780062;N2450;;;;;2;2;2;2
Q23;2014;010000032;010780062;N2460;;;2;1.77;1;1;3;2.77
Q23;2014;010000032;010780062;N2510;9;9.93;14;11.19;91.35;93;116;112.47
Q23;2014;010000032;010780062;N2530;1;1;2;1.74;0.86;1;4;3.6
Q23;2014;010000032;010780062;N2610;14;12.14;24;23.14;28.89;27;65;64.17
