BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2014;010000024;010780054;1000;4.74;0.66;163.81;;169.21;11.1;62.56;4.69;62.94;25.93;2.1;4.35;0.4;174.07;0.54;5.33;5.87;5.3;185.36;539.81
Q24;2014;010000024;010780054;2000;;;59.78;;59.78;19.29;332.95;65.1;273.49;50.01;5.2;37.95;20.85;804.84;0.86;1.65;2.51;102.04;26.77;995.94
Q24;2014;010000024;010780054;2100;;;56.69;;56.69;18.49;324.4;65.1;273.49;50.01;4.85;37.95;18.79;793.08;0.86;0.96;1.82;102.04;26.77;980.4
Q24;2014;010000024;010780054;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000024;010780054;2300;;;2.23;;2.23;0.8;7.55;;;;0.3;;;8.65;;0.46;0.46;;;11.34
Q24;2014;010000024;010780054;2400;;;0.86;;0.86;;1;;;;0.05;;2.06;3.11;;0.23;0.23;;;4.2
Q24;2014;010000024;010780054;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000024;010780054;9999;4.74;0.66;223.59;;228.99;30.39;395.51;69.79;336.43;75.94;7.3;42.3;21.25;978.91;1.4;6.98;8.38;107.34;212.13;1535.75
Q24;2014;010000032;010780062;1000;2.5;0.33;18.77;0.31;21.91;0.18;9.91;2.06;9.29;9.98;0.99;5.44;0.92;38.77;0.25;0.89;1.14;0.32;34.12;96.26
Q24;2014;010000032;010780062;2000;1;0.34;28.9;0.32;30.56;8.72;101.66;4.49;106.78;54.19;2.54;3.94;7.18;289.5;1.65;;1.65;26.22;19.2;367.13
Q24;2014;010000032;010780062;2100;1;0.34;28.4;0.32;30.06;7.74;90.59;4.49;90.53;47.93;1.52;3.94;2.79;249.53;1.25;;1.25;26.22;19.2;326.26
Q24;2014;010000032;010780062;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000032;010780062;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000032;010780062;2400;;;0.5;;0.5;0.98;11.07;;16.25;6.26;1.02;;4.39;39.97;0.4;;0.4;;;40.87
Q24;2014;010000032;010780062;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000032;010780062;9999;3.5;0.67;47.67;0.63;52.47;8.9;111.57;6.55;116.07;64.17;3.53;9.38;8.1;328.27;1.9;0.89;2.79;26.54;53.32;463.39
Q24;2014;010000065;010780096;1000;0.55;;11.12;;11.67;0.44;3.22;;5.98;1.27;;;0.19;11.1;0.2;0.46;0.66;0.24;9.74;33.41
Q24;2014;010000065;010780096;2000;;;7.64;;7.64;5;53.14;;75.46;27.09;3.76;;8.38;172.83;0.59;2.56;3.15;4.98;;188.6
Q24;2014;010000065;010780096;2100;;;4.12;;4.12;2.62;27.91;;32.39;7.25;1.79;;3.66;75.62;0.06;1.34;1.4;2.69;;83.83
Q24;2014;010000065;010780096;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000065;010780096;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000065;010780096;2400;;;3.14;;3.14;1.85;18.7;;33.26;10.47;1.65;;4.12;70.05;0.27;1.1;1.37;1.79;;76.35
Q24;2014;010000065;010780096;2500;;;0.38;;0.38;0.53;6.53;;9.81;9.37;0.32;;0.6;27.16;0.26;0.12;0.38;0.5;;28.42
Q24;2014;010000065;010780096;9999;0.55;;18.76;;19.31;5.44;56.36;;81.44;28.36;3.76;;8.57;183.93;0.79;3.02;3.81;5.22;9.74;222.01
Q24;2014;010000081;010780112;1000;1;;6.92;;7.92;;0.5;;5.2;7.69;;;0.04;13.43;0.83;0.01;0.84;2.58;15.82;40.59
Q24;2014;010000081;010780112;2000;;;0.15;;0.15;0.5;10.87;;9.2;22.52;0.13;;0.97;44.19;0.13;0.16;0.29;;0.85;45.48
Q24;2014;010000081;010780112;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000081;010780112;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000081;010780112;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000081;010780112;2400;;;;;;0.5;5.18;;5.31;9.4;0.04;;0.55;20.98;;0.04;0.04;;0.05;21.07
Q24;2014;010000081;010780112;2500;;;0.15;;0.15;;5.69;;3.89;13.12;0.09;;0.42;23.21;0.13;0.12;0.25;;0.8;24.41
Q24;2014;010000081;010780112;9999;1;;7.07;;8.07;0.5;11.37;;14.4;30.21;0.13;;1.01;57.62;0.96;0.17;1.13;2.58;16.67;86.07
Q24;2014;010000099;010780120;1000;2.3;;3.33;;5.63;;0.9;;;0.3;0.75;;;1.95;;;;0.53;5.86;13.97
Q24;2014;010000099;010780120;2000;;;1;;1;1.6;7.05;;10.72;3.82;;;1.58;24.77;;;;;;25.77
Q24;2014;010000099;010780120;2100;;;0.45;;0.45;0.7;3.17;;4.83;1.72;;;0.71;11.13;;;;;;11.58
Q24;2014;010000099;010780120;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000099;010780120;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000099;010780120;2400;;;0.55;;0.55;0.9;3.88;;5.89;2.1;;;0.87;13.64;;;;;;14.19
Q24;2014;010000099;010780120;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000099;010780120;9999;2.3;;4.33;;6.63;1.6;7.95;;10.72;4.12;0.75;;1.58;26.72;;;;0.53;5.86;39.74
Q24;2014;010000107;010780138;1000;0.17;;1.42;;1.59;;0.06;;0.06;;;;;0.12;;;;;3.87;5.58
Q24;2014;010000107;010780138;2000;;;;;;0.92;9.82;;12.1;5.26;0.37;;1.3;29.77;;0.42;0.42;0.49;;30.68
Q24;2014;010000107;010780138;2100;;;;;;0.46;4.2;;5.18;2.26;0.16;;0.55;12.81;;0.18;0.18;0.28;;13.27
Q24;2014;010000107;010780138;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000107;010780138;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000107;010780138;2400;;;;;;0.46;5.62;;6.92;3;0.21;;0.75;16.96;;0.24;0.24;0.21;;17.41
Q24;2014;010000107;010780138;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000107;010780138;9999;0.17;;1.42;;1.59;0.92;9.88;;12.16;5.26;0.37;;1.3;29.89;;0.42;0.42;0.49;3.87;36.26
Q24;2014;010000115;010009132;1000;0.38;;2.07;;2.45;;;;;4.7;;;0.07;4.77;;;;;7.52;14.74
Q24;2014;010000115;010009132;2000;;;0.73;;0.73;1.32;8.33;;22.78;9.82;0.78;;1.98;45.01;0.41;0.64;1.05;1.39;0.93;49.11
Q24;2014;010000115;010009132;2100;;;0.49;;0.49;0.2;1.67;;4.9;1.34;0.35;;0.3;8.76;;0.26;0.26;0.21;0.35;10.07
Q24;2014;010000115;010009132;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000115;010009132;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000115;010009132;2400;;;;;;0.22;2.71;;5.67;1.34;0.35;;0.53;10.82;0.25;0.26;0.51;0.32;0.4;12.05
Q24;2014;010000115;010009132;2500;;;0.24;;0.24;0.9;3.95;;12.21;7.14;0.08;;1.15;25.43;0.16;0.12;0.28;0.86;0.18;26.99
Q24;2014;010000115;010009132;9999;0.38;;2.8;;3.18;1.32;8.33;;22.78;14.52;0.78;;2.05;49.78;0.41;0.64;1.05;1.39;8.45;63.85
Q24;2014;010000131;010009132;1000;0.42;;1.4;;1.82;;;;;2.48;;;0.15;2.63;;;;0.5;8.6;13.55
Q24;2014;010000131;010009132;2000;;;1.25;;1.25;1.25;13.4;;11.46;3.37;0.51;;1.75;31.74;;0.44;0.44;;0.64;34.07
Q24;2014;010000131;010009132;2100;;;0.33;;0.33;0.27;2.81;;2.4;1;0.17;;0.43;7.08;;0.4;0.4;;0.1;7.91
Q24;2014;010000131;010009132;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000131;010009132;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000131;010009132;2400;;;0.92;;0.92;0.98;10.59;;9.06;2.37;0.34;;1.32;24.66;;0.04;0.04;;0.54;26.16
Q24;2014;010000131;010009132;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000131;010009132;9999;0.42;;2.65;;3.07;1.25;13.4;;11.46;5.85;0.51;;1.9;34.37;;0.44;0.44;0.5;9.24;47.62
Q24;2014;010000180;010007987;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000180;010007987;2000;;;1.9;;1.9;1;10.29;;7.07;6.91;3.56;;1;29.83;;;;;2;33.73
Q24;2014;010000180;010007987;2100;;;0;;0;0;0;;0;0;3.56;;0;3.56;;;;;0;3.56
Q24;2014;010000180;010007987;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000180;010007987;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000180;010007987;2400;;;1.9;;1.9;1;10.29;;7.07;6.91;0;;1;26.27;;;;;2;30.17
Q24;2014;010000180;010007987;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000180;010007987;9999;;;1.9;;1.9;1;10.29;;7.07;6.91;3.56;;1;29.83;;;;;2;33.73
Q24;2014;010000198;010007987;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000198;010007987;2000;;;;;;2;9.63;;11.3;10.16;0.15;;9.63;42.87;;;;;2;44.87
Q24;2014;010000198;010007987;2100;;;;;;0;0;;0;0;0.15;;0;0.15;;;;;0;0.15
Q24;2014;010000198;010007987;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000198;010007987;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000198;010007987;2400;;;;;;2;9.63;;11.3;10.16;0;;9.63;42.72;;;;;2;44.72
Q24;2014;010000198;010007987;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000198;010007987;9999;;;;;;2;9.63;;11.3;10.16;0.15;;9.63;42.87;;;;;2;44.87
Q24;2014;010000214;010007987;1000;1.64;;36.52;;38.16;0;0;;0;0;0;;0;0;0;0;0;8.93;62.53;109.62
Q24;2014;010000214;010007987;2000;0;;0;;0;7.38;52.68;;79.34;51.38;1.45;;16.47;208.7;0.86;2.42;3.28;0;0;211.98
Q24;2014;010000214;010007987;2100;0;;0;;0;0.3;3.96;;3.09;0.27;0.15;;0.24;8.01;0;0.16;0.16;0;0;8.17
Q24;2014;010000214;010007987;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000214;010007987;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000214;010007987;2400;0;;0;;0;7.08;48.72;;76.25;51.11;1.3;;16.23;200.69;0.86;2.26;3.12;0;0;203.81
Q24;2014;010000214;010007987;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000214;010007987;9999;1.64;;36.52;;38.16;7.38;52.68;;79.34;51.38;1.45;;16.47;208.7;0.86;2.42;3.28;8.93;62.53;321.6
Q24;2014;010000495;010783009;1000;5;1;54.62;0.08;60.7;15.09;18.27;;6.32;9.26;;;2.4;51.34;;0.5;0.5;2.47;63.62;178.63
Q24;2014;010000495;010783009;2000;;;41.2;0.34;41.54;43.12;438.54;;99.04;73.42;46.39;;17.62;718.13;12.4;20.72;33.12;;7.12;799.91
Q24;2014;010000495;010783009;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000495;010783009;2200;;;41.2;0.34;41.54;43.12;438.54;;99.04;73.42;46.39;;17.62;718.13;12.4;20.72;33.12;;7.12;799.91
Q24;2014;010000495;010783009;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000495;010783009;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000495;010783009;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;010000495;010783009;9999;5;1;95.82;0.42;102.24;58.21;456.81;;105.36;82.68;46.39;;20.02;769.47;12.4;21.22;33.62;2.47;70.74;978.54
