BOR;AN;FI;FI_EJ;CAEH;CAEF;CUIH;CUIF;CAPH;CAPF;CAVH;CAVF;CAUH;CAUF
Q25;2014;010000024;010780054;0;0;0;0;0;0;2;0;0;0
Q25;2014;010000032;010780062;;1;;;;;;1;;
Q25;2014;010000065;010780096;1;1;;;;;2;1;;
Q25;2014;010000081;010780112;3;10;;;;;6;7;;
Q25;2014;010000099;010780120;1;;;;;;;;;
Q25;2014;010000115;010009132;1;4;;;;;;;;
Q25;2014;010000131;010009132;1;;;;;;;;;
Q25;2014;010000198;010007987;0;1;0;0;0;0;0;0;0;0
Q25;2014;010000214;010007987;2;5;0;0;0;0;0;0;0;0
Q25;2014;010000495;010783009;3;20;;;;;;;;1
Q25;2014;010005239;010008407;1;8;0;0;0;0;3;1;0;0
Q25;2014;010780195;010000156;;2;;;;;;;;
Q25;2014;010780278;010783009;;;;;;;;2;;
Q25;2014;010780476;750005068;1;;;;1;2;;;;
Q25;2014;010780492;360000707;2;7;;;;9;;;;
Q25;2014;020000089;020000022;4;13;;;;1;;;;
Q25;2014;020000097;020000048;9;20;;;;;;;;
Q25;2014;020000105;020000055;2;8;0;0;0;0;0;0;0;0
Q25;2014;020000162;020000063;2;4;0;0;0;1;0;0;0;0
Q25;2014;020000246;020000071;;4;;;;;;1;;
Q25;2014;020000303;750814030;1;1;;;;;6;2;;
Q25;2014;020000394;020000253;6;21;0;0;1;0;2;1;0;0
Q25;2014;020000519;020000261;3;46;;;;6;2;;;
Q25;2014;020000535;020000287;1;6;;;1;;1;5;;
Q25;2014;020000543;020000295;1;10;;;;;2;;;
Q25;2014;020000915;020003620;;;1;6;;;1;7;;
Q25;2014;020001061;020004404;2;1;;;;;1;;;
Q25;2014;020001087;020004495;6;4;;;;;;;;
Q25;2014;020003877;020000253;1;7;0;0;0;0;0;1;0;0
Q25;2014;020004156;590805065;;;;;;;1;1;;
Q25;2014;020004297;020005179;;;;;;;;2;;
Q25;2014;020004677;020000261;;2;;;;;;;;
Q25;2014;020009684;020002085;;1;;;;;1;1;;
Q25;2014;020010310;750719361;;1;;;;;;;;
Q25;2014;020014767;590805065;;1;;;;;;;;
Q25;2014;030000012;030180020;0;4;0;0;0;0;0;0;0;0
Q25;2014;030000061;030780092;3;7;;;1;2;3;5;;
Q25;2014;030000087;030780118;13;42;;;;;1;2;;
Q25;2014;030000095;030780126;;;;;;;3;3;;
Q25;2014;030000160;030780282;0;0;0;0;1;0;0;0;0;0
Q25;2014;030002208;030002158;4;2;;;;;;;;
Q25;2014;040000028;040780124;;;;;;;1;3;;
Q25;2014;040000036;040780132;1;1;;;;;;;;
Q25;2014;040000051;040780173;1;;;;;;;;;
Q25;2014;040000069;040780181;;1;;;;;1;;;
Q25;2014;040000077;040780199;;2;;;;;;;;
Q25;2014;040000093;040780215;2;1;;;;;1;6;;
Q25;2014;040000119;040780231;;2;;;;;;;;
Q25;2014;040000127;040780249;;1;;;;;;;;
Q25;2014;040000135;050002948;1;4;0;0;0;1;0;0;0;0
Q25;2014;040000911;040788879;;1;;;;;5;6;;
Q25;2014;040780389;040000150;;;;;;2;;;;
Q25;2014;050000058;050000033;;;;;0;1;1;0;;
Q25;2014;050000132;050007145;1;2;;;;;;7;;
Q25;2014;050000231;050000116;1;0;0;0;0;0;0;0;0;0
Q25;2014;050000256;050000124;9;14;;;;;2;;;
Q25;2014;050000348;050002948;15;11;0;0;1;1;0;0;0;0
Q25;2014;050000991;050000546;;;;;1;2;1;3;;
Q25;2014;060000163;060780327;;;;;;;;2;;
Q25;2014;060000296;060780640;;2;;;;;;;;
Q25;2014;060000304;060780657;2;4;;;;;2;2;;
Q25;2014;060000411;060780780;3;7;;;;;1;2;;
Q25;2014;060000445;060780814;4;4;;;;;;;;
Q25;2014;060000478;060780897;3;9;;;;1;2;7;;
Q25;2014;060000486;060780905;4;4;;;;;;;;
Q25;2014;060000510;060780954;4;;;;;;;;;
Q25;2014;060000528;060780962;;1;;;1;4;1;;;
Q25;2014;060000536;060006889;3;3;;;1;;1;4;;
Q25;2014;060000551;060781010;;3;;;;;;;;
Q25;2014;060001450;060785011;;;;;;;;;0;1
Q25;2014;060002102;060791761;18;23;;;;;1;;;
Q25;2014;060010949;060790540;;;;;;1;;;;
Q25;2014;060019627;060019551;;;;;1;;;;;
Q25;2014;060021417;060000221;;1;;;;;;;;
Q25;2014;060780392;060000205;;;;;;1;;;;
Q25;2014;060780442;060000213;;;;;;1;;;;
Q25;2014;060780459;010783009;;;;;;1;1;4;;
Q25;2014;060780517;060000239;;;;;4;12;;;;
Q25;2014;060780665;060000312;;1;;;;;1;2;;
Q25;2014;060780699;060000346;;;;;;;;1;;
Q25;2014;060780715;060000361;;;;;1;7;;;;
Q25;2014;060780947;060800174;;2;;;;2;4;;;
Q25;2014;060780996;630786754;;;;;;1;;;;
Q25;2014;060781200;060000635;;;;;1;2;;;;
Q25;2014;060785003;060785011;;;;;;;;;0;1
Q25;2014;060785227;060001476;;;;;1;1;;;;
Q25;2014;060785243;060001484;;;;;1;;;;;
Q25;2014;060788957;060785011;;;;;;;;;0;3
Q25;2014;060790177;060785011;;;;;;;;;0;1
Q25;2014;060790631;060791761;1;8;;;;;;;;
Q25;2014;060792926;060022951;0;0;0;0;0;1;0;0;0;0
Q25;2014;070000013;070002878;;4;;;;;;;;
Q25;2014;070000039;070780119;0;1;;;;;;;;
Q25;2014;070000047;070780127;2;3;;;;;3;2;;
Q25;2014;070000062;070005558;1;;;;;;;;;
Q25;2014;070000070;070780150;;8;;;;;;;;
Q25;2014;070000096;070780184;;2;;;;;;2;;
Q25;2014;070000146;070004742;0;2;0;0;0;0;0;0;0;0
Q25;2014;070000179;070780358;2;9;3;4;1;0;0;0;0;0
Q25;2014;070000187;070780366;;4;;;;;;;;
Q25;2014;070000195;070780374;;1;;;;;1;;;
Q25;2014;070000203;070780382;1;1;;;;;;1;;
Q25;2014;070000609;070005566;6;5;0;0;0;0;3;0;0;0
Q25;2014;070780226;300016847;;1;;;;;;;;
Q25;2014;070780234;750721300;;4;;;;;;;;
Q25;2014;070780317;630786754;;;;;3;1;1;1;;
Q25;2014;070780390;070000211;;;;;;1;;;;
Q25;2014;070780408;070000229;;;;;;1;;;;
Q25;2014;070780424;070000245;;;;;2;14;;;;
Q25;2014;070784517;070002878;2;5;;;;;;;;
Q25;2014;070784897;750820680;;1;;;;;;;;
Q25;2014;080000110;080000037;6;15;0;0;0;0;3;1;0;0
Q25;2014;080000136;750055311;;;;;1;;;;;
Q25;2014;080000219;080001969;;2;;;;;;1;;
Q25;2014;080000250;540019726;2;12;0;0;0;0;0;1;0;0
Q25;2014;080000276;080001969;;1;;;;;;;;
Q25;2014;080000300;080000078;;2;;;;;;;;
Q25;2014;080000318;080000086;5;0;;;;;;;;
Q25;2014;080000425;080000615;;;;;1;1;;;;
Q25;2014;080002140;540019726;1;1;0;0;0;0;0;0;0;0
Q25;2014;080010523;750043994;;;;;;1;;;;
Q25;2014;090000019;090180019;1;;;;;;;;;
Q25;2014;090000175;090781774;8;26;;;;;;;;
Q25;2014;090000183;090781816;;;;;1;;;;;
Q25;2014;090001629;090780107;1;2;;;;;1;;;
Q25;2014;090002841;090781774;;1;;;;;;;;
Q25;2014;100000090;100000017;;1;;;;;5;8;;
Q25;2014;100000108;100000033;;;;1;;;1;;;
Q25;2014;100000116;100000041;2;2;;;;;2;2;;
