BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2014;010000024;010780054;REAADU;12;4380;769;807;54;3048;4;;138;4;2;3.74;1;;27.47;22;8;0.64;17;4;18.48;;;;;1;1
REA;2014;010000024;010780054;SITOT;10;3650;942;;;2196;;;;;;;;;;;;;;;;;;;;;
REA;2014;010000024;010780054;SIUNV;4;1460;436;;;907;;;;4;;1.3;;;;;;;;;;;;;;;
REA;2014;010000024;010780054;SURVADU;6;2190;513;;;1479;;;;4;2;1.26;;;6.73;5;3;;7;;6.89;;;;;;
REA;2014;010000024;010780054;SURVENF;4;1460;298;;;942;;;;;;;;;;;;;;;;;;;;;
REA;2014;010000024;010780054;USIC;6;2190;506;;;1289;;;;3;2;1;;;10.31;10;1;;5;;5;;;;;;
REA;2014;010000032;010780062;SURVADU;4;1460;442;;;960;;;;;;;1;;4.18;4;2;0.21;4;;3.92;;;;2;;0.52
REA;2014;010005239;010008407;SURVADU;6;2190;822;;;1470;;;;0;0;0;1;0;5.43;2;6;0.5;9;3;11.06;0;0;0;0;0;0
REA;2014;010780195;010000156;REAADU;10;3650;850;909;24;4481;7;;285;12;1;12.5;1;;21.9;17;4;1;8;4;12.79;;;;;1;1.1
REA;2014;010780195;010000156;SITOT;6;2190;833;;;1822;;;;;;;;;;;;;;;;;;;;;
REA;2014;010780195;010000156;SURVADU;5;1825;18;;;38;;;;;;;;;;;;;;;;;;;;;
REA;2014;010780195;010000156;USIC;6;2190;833;;;1822;;;;5;3;7;;;7.56;5;2;;1;1;3.07;;;;;;
REA;2014;010780203;010006450;SURVADU;6;2190;376;;;1476;;;;;;;;;4.9;4;1;;;;;;;;;;
REA;2014;020000162;020000063;REAADU;12;4380;454;476;19;4193;23;45;82;4;0;4;2;0;27.63;28;0;1.2;25;0;25.26;0;0;0;3;7;8.71
REA;2014;020000162;020000063;SITOT;18;6570;1428;;;5050;;;;;;;;;;;;;;;;;;;;;
REA;2014;020000162;020000063;SIUNV;6;2190;534;;;1140;;;;3;3;0.8;1;0;8.3;7;2;0.3;8;0;8;0;0;0;0;2;1.5
REA;2014;020000162;020000063;SURVADU;11;4015;365;;;2106;;;;;;;;;;;;;;;;;;;;;
REA;2014;020000162;020000063;USIC;12;4380;894;;;3910;;;;3;1;3.8;3;0;15.14;12;4;1.6;11;2;11.76;0;0;0;1;4;5.64
REA;2014;020000394;020000253;REAADU;8;2920;166;173;6;2494;8;32;38;4;0;3.39;1;0;26.83;28;0;1;18;0;18.15;0;0;0;2;5;5.67
REA;2014;020000394;020000253;SITOT;6;2190;460;;;1359;;;;;;;;;;;;;;;;;;;;;
REA;2014;020000394;020000253;SURVADU;4;1460;216;;;1006;;;;0;0;0;0;0;5.23;5;0;0;0;0;0;0;0;0;0;1;0.49
REA;2014;020000394;020000253;USIC;6;2190;460;;;1359;;;;0;0;0;0;0;9.32;9;0;0;4;0;4;0;0;0;3;;1.66
REA;2014;020000519;020000261;REAADU;8;2920;349;363;27;2344;13;43;80;4;1;4.6;1;;21;16;5;1;17;1;17.9;;;;;;
REA;2014;020000519;020000261;SITOT;10;3650;890;;;2423;;;;;;;;;;;;;;;;;;;;;
REA;2014;020000519;020000261;SIUNV;4;1460;430;;;1063;;;;4;;4;;;6;6;;;5;1;5.9;;;;;;
REA;2014;020000519;020000261;SURVADU;8;2920;421;;;1623;;;;3;;3;;;6;6;;;5;;5;;;;;;
REA;2014;020000519;020000261;USIC;6;2190;460;;;1360;;;;6;;6;;;6;6;;;4;2;5.6;;;;;;
