BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2014;010000024;010780054;M9999;22;3;4.54;1;22;3;4.73
SMURSAMU_P;2014;010000024;010780054;N1220;;;;;18;8;24.25
SMURSAMU_P;2014;010000024;010780054;N2120;;;;0;1;;1
SMURSAMU_P;2014;010000024;010780054;N2223;8;8;9.94;;;;
SMURSAMU_P;2014;010000024;010780054;N5140;10;;9.59;;;;
SMURSAMU_P;2014;010000024;010780054;N9999;18;8;21.13;;19;8;25.25
SMURSAMU_P;2014;010000032;010780062;M9999;4;2;2.87;1;;;
SMURSAMU_P;2014;010000032;010780062;N2120;1;;0.31;;;;
SMURSAMU_P;2014;010000032;010780062;N2223;19;2;6.16;1;;;
SMURSAMU_P;2014;010000032;010780062;N2500;1;;1;;;;
SMURSAMU_P;2014;010000032;010780062;N5140;5;;5;0;;;
SMURSAMU_P;2014;010000032;010780062;N9999;26;2;12.47;;;;
SMURSAMU_P;2014;010780203;010006450;M9999;5;2;7;1;;;
SMURSAMU_P;2014;010780203;010006450;N2120;1;;1;1;;;
SMURSAMU_P;2014;010780203;010006450;N2223;7;24;11.84;1;;;
SMURSAMU_P;2014;010780203;010006450;N5140;5;4;6.91;1;;;
SMURSAMU_P;2014;020000089;020000022;M9999;1;;1;1;;;
SMURSAMU_P;2014;020000089;020000022;N2223;;17;5;0;;;
SMURSAMU_P;2014;020000162;020000063;M9999;7;6;7;1;;;
SMURSAMU_P;2014;020000162;020000063;N1220;2;3;0.58;1;;;
SMURSAMU_P;2014;020000162;020000063;N2120;2;0;0.23;1;;;
SMURSAMU_P;2014;020000162;020000063;N2223;5;3;1.44;1;;;
SMURSAMU_P;2014;020000162;020000063;N2500;9;1;3.37;;;;
SMURSAMU_P;2014;020000162;020000063;N5140;3;0;1.94;1;;;
SMURSAMU_P;2014;020000162;020000063;N9999;21;7;7.55;1;;;
SMURSAMU_P;2014;020000394;020000253;M1140;0;0;0;1;0;0;0
SMURSAMU_P;2014;020000394;020000253;M9999;4;0;2.8;1;5;1;3.4
SMURSAMU_P;2014;020000394;020000253;MREG;0;0;0;1;5;1;3.4
SMURSAMU_P;2014;020000394;020000253;N1220;0;0;0;1;13;0;13.28
SMURSAMU_P;2014;020000394;020000253;N2120;0;0;0.33;1;0;0;0
SMURSAMU_P;2014;020000394;020000253;N2223;13;1;13.77;1;3;0;1.01
SMURSAMU_P;2014;020000394;020000253;N2620;0;0;0;1;0;0;0
SMURSAMU_P;2014;020000394;020000253;N3120;0;0;0;1;0;0;0
SMURSAMU_P;2014;020000394;020000253;N5140;12;0;11.7;1;0;0;0
SMURSAMU_P;2014;020000394;020000253;N9999;25;1;26.5;1;17;1;15.43
SMURSAMU_P;2014;020000519;020000261;M9999;3;;3;1;;;
SMURSAMU_P;2014;020000519;020000261;N2223;4;1;4.5;1;;;
SMURSAMU_P;2014;020000535;020000287;M9999;1;;1;1;;;
SMURSAMU_P;2014;020000535;020000287;N2120;;1;0.1;1;;;
SMURSAMU_P;2014;020000535;020000287;N2223;6;;6;1;;;
SMURSAMU_P;2014;020000535;020000287;N2500;4;2;5.45;;;;
SMURSAMU_P;2014;020000535;020000287;N9999;10;3;11.55;1;;;
SMURSAMU_P;2014;020001061;020004404;M9999;;4;2.5;1;;;
SMURSAMU_P;2014;020001061;020004404;N1220;1;;1;1;;;
SMURSAMU_P;2014;020001061;020004404;N2120;;;0.2;1;;;
SMURSAMU_P;2014;020001061;020004404;N2223;8;;2.57;0;;;
SMURSAMU_P;2014;020001061;020004404;N5140;5;;5;1;;;
SMURSAMU_P;2014;020001087;020004495;M9999;3;6;6.5;1;;;
SMURSAMU_P;2014;020001087;020004495;N2120;1;;1;1;;;
SMURSAMU_P;2014;020001087;020004495;N2223;6;;6;1;;;
SMURSAMU_P;2014;020001087;020004495;N5140;6;;6;1;;;
SMURSAMU_P;2014;030000061;030780092;M9999;18;2;7.4;;;;
SMURSAMU_P;2014;030000061;030780092;N1220;;;;0;14;4;16.86
SMURSAMU_P;2014;030000061;030780092;N2120;;1;0.5;1;;;
SMURSAMU_P;2014;030000061;030780092;N2223;7;0;7;;;;
SMURSAMU_P;2014;030000061;030780092;N5140;8;0;7.64;;;;
SMURSAMU_P;2014;030000079;030780100;M9999;4;;2.97;1;;;
SMURSAMU_P;2014;030000079;030780100;N1220;1;;0.5;1;;;
SMURSAMU_P;2014;030000079;030780100;N2120;;;0.1;1;;;
SMURSAMU_P;2014;030000079;030780100;N2223;26;;9.35;1;;;
SMURSAMU_P;2014;030000079;030780100;N5140;7;;7;;;;
SMURSAMU_P;2014;030000079;030780100;N9999;;;;1;;;
SMURSAMU_P;2014;030000087;030780118;M9999;10;10;17.85;1;;;
SMURSAMU_P;2014;030000087;030780118;N1220;0;0;0;1;;;
