BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJ3M;SEJHP;JOUHP
SSR;2014;010000024;010780054;SSR_A;;;17;;;;;2825;2825
SSR;2014;010000024;010780054;SSR_A53;0;;5;1;;;;1416;1416
SSR;2014;010000024;010780054;SSR_A54;0;;5;1;;;;758;758
SSR;2014;010000024;010780054;SSR_A59;0;;7;1;;;;651;651
SSR;2014;010000024;010780054;SSR_TOT;;;17;0;;;;2825;2825
SSR;2014;010000032;010780062;SSR_A;;40;8;;452;14150;5;63;2596
SSR;2014;010000032;010780062;SSR_A50;1;40;8;0;452;14150;5;63;2596
SSR;2014;010000032;010780062;SSR_TOT;;40;8;0;452;14150;5;63;2596
SSR;2014;010000065;010780096;SSR_A;;68;;;819;25066;33;;
SSR;2014;010000065;010780096;SSR_A50;1;29;;0;469;12046;10;;
SSR;2014;010000065;010780096;SSR_A59;1;39;;0;350;13020;23;;
SSR;2014;010000065;010780096;SSR_TOT;;68;;0;819;25066;33;;
SSR;2014;010000081;010780112;SSR_A;;20;;;193;6783;9;;
SSR;2014;010000081;010780112;SSR_A50;1;20;;0;193;6783;9;;
SSR;2014;010000081;010780112;SSR_TOT;;20;;0;193;6783;9;;
SSR;2014;010000099;010780120;SSR_A;;20;;;281;8078;;;
SSR;2014;010000099;010780120;SSR_A50;1;20;;0;281;8078;;;
SSR;2014;010000099;010780120;SSR_TOT;;20;;0;281;8078;;;
SSR;2014;010000107;010780138;SSR_A;;20;;;275;7164;;;
SSR;2014;010000107;010780138;SSR_A50;1;20;;0;275;7164;;;
SSR;2014;010000107;010780138;SSR_TOT;;20;;0;275;7164;;;
SSR;2014;010000115;010009132;SSR_A;;18;0;;208;5802;1;0;0
SSR;2014;010000115;010009132;SSR_A50;1;18;0;0;208;5802;1;0;0
SSR;2014;010000115;010009132;SSR_TOT;;18;0;0;208;5802;1;0;0
SSR;2014;010000131;010009132;SSR_A;;29;;;156;2810;0;;
SSR;2014;010000131;010009132;SSR_A50;1;29;;0;156;2810;0;;
SSR;2014;010000131;010009132;SSR_TOT;;29;;0;156;2810;0;;
SSR;2014;010000180;010007987;SSR_A;;50;;;573;12255;;;
SSR;2014;010000180;010007987;SSR_A58;1;50;;0;573;12255;;;
SSR;2014;010000180;010007987;SSR_TOT;;50;;0;573;12255;;;
SSR;2014;010000198;010007987;SSR_A;;80;;;1330;20876;;;
SSR;2014;010000198;010007987;SSR_A51;1;80;;;1330;20876;;;
SSR;2014;010000198;010007987;SSR_E;;0;;;103;1594;;;
SSR;2014;010000198;010007987;SSR_E51;1;0;;0;103;1594;;;
SSR;2014;010000198;010007987;SSR_TOT;;80;;0;1433;22470;;;
SSR;2014;010000214;010007987;SSR_A;;151;;;1331;46679;;;
SSR;2014;010000214;010007987;SSR_A50;1;27;;0;167;8170;;;
SSR;2014;010000214;010007987;SSR_A51;1;46;;;525;14364;;;
SSR;2014;010000214;010007987;SSR_A54;1;34;;0;203;9046;;;
SSR;2014;010000214;010007987;SSR_A59;1;44;;0;436;15099;;;
SSR;2014;010000214;010007987;SSR_E51;1;;;0;;;;;
SSR;2014;010000214;010007987;SSR_TOT;;151;;0;1331;46679;;;
SSR;2014;010002129;750056335;SSR_A;;99;;;908;36141;25;;
SSR;2014;010002129;750056335;SSR_A50;1;47;;0;469;16721;10;;
SSR;2014;010002129;750056335;SSR_A51;1;20;;;224;7925;3;;
SSR;2014;010002129;750056335;SSR_A52;1;32;;0;215;11495;12;;
SSR;2014;010002129;750056335;SSR_TOT;;99;;0;908;36141;25;;
SSR;2014;010005239;010008407;SSR_A;;30;0;;362;10538;;;
SSR;2014;010005239;010008407;SSR_A50;1;30;0;0;362;10538;;;
SSR;2014;010005239;010008407;SSR_TOT;;30;0;0;362;10538;;;
SSR;2014;010009314;010780054;SSR_A;;70;;;607;20382;;;
SSR;2014;010009314;010780054;SSR_A50;1;10;;1;;;;;
SSR;2014;010009314;010780054;SSR_A53;1;;;1;;;;;
SSR;2014;010009314;010780054;SSR_A54;1;;;1;;;;;
SSR;2014;010009314;010780054;SSR_A59;1;60;;1;607;20382;;;
SSR;2014;010009314;010780054;SSR_TOT;;70;;0;607;20382;;;
SSR;2014;010780252;010783009;SSR_A;;70;10;;652;20981;27;187;2222
SSR;2014;010780252;010783009;SSR_A50;1;2;;0;;;;;
SSR;2014;010780252;010783009;SSR_A51;1;32;;;468;14047;9;;
SSR;2014;010780252;010783009;SSR_A52;1;36;10;0;184;6934;18;187;2222
SSR;2014;010780252;010783009;SSR_TOT;;70;10;0;652;20981;27;187;2222
SSR;2014;010780278;010783009;SSR_A;;100;;;578;30340;159;;
SSR;2014;010780278;010783009;SSR_A50;1;;;0;;;;;
SSR;2014;010780278;010783009;SSR_A51;1;25;;;196;9871;47;;
SSR;2014;010780278;010783009;SSR_A52;1;50;;0;312;17313;99;;
SSR;2014;010780278;010783009;SSR_A53;1;25;;0;70;3156;13;;
