BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2014;010000024;010780054;M1010;;1;0.6
SSR_P;2014;010000024;010780054;M1040;1;;0.1
SSR_P;2014;010000024;010780054;M1150;1;;0.1
SSR_P;2014;010000024;010780054;M1180;2;;2.05
SSR_P;2014;010000024;010780054;N241P;1;1;0.74
SSR_P;2014;010000024;010780054;N2460;;1;0.3
SSR_P;2014;010000024;010780054;N2710;;1;0.05
SSR_P;2014;010000024;010780054;N3120;;1;0.21
SSR_P;2014;010000024;010780054;NAUT;1;1;1.8
SSR_P;2014;010000024;010780054;NCINF;1;;1
SSR_P;2014;010000032;010780062;M1010;1;1;1.6
SSR_P;2014;010000032;010780062;N241P;1;;0.5
SSR_P;2014;010000032;010780062;N2460;3;;1.56
SSR_P;2014;010000032;010780062;N2500;12;3;13.85
SSR_P;2014;010000032;010780062;NAUT;4;;4
SSR_P;2014;010000032;010780062;NCINF;8;6;11.6
SSR_P;2014;010000065;010780096;M1040;;1;0.1
SSR_P;2014;010000065;010780096;M1320;4;5;3.65
SSR_P;2014;010000065;010780096;N241P;3;;2.6
SSR_P;2014;010000065;010780096;N2460;;2;1.1
SSR_P;2014;010000065;010780096;N2470;1;;0.3
SSR_P;2014;010000065;010780096;N2500;24;8;34.11
SSR_P;2014;010000065;010780096;N2710;2;1;1.39
SSR_P;2014;010000065;010780096;N3120;;3;0.98
SSR_P;2014;010000065;010780096;NCINF;13;11;20.55
SSR_P;2014;010000081;010780112;M1010;;;0.01
SSR_P;2014;010000081;010780112;M1320;;;0.6
SSR_P;2014;010000081;010780112;N241P;;1;0.5
SSR_P;2014;010000081;010780112;N2450;;1;0.05
SSR_P;2014;010000081;010780112;N2500;1;3;5.01
SSR_P;2014;010000081;010780112;N2710;;2;0.04
SSR_P;2014;010000081;010780112;N3120;;1;0.04
SSR_P;2014;010000081;010780112;NAUT;8;4;10.87
SSR_P;2014;010000081;010780112;NCINF;3;4;5.82
SSR_P;2014;010000099;010780120;M1320;;1;0.1
SSR_P;2014;010000099;010780120;N241P;1;1;0.87
SSR_P;2014;010000099;010780120;N2500;3;10;5.89
SSR_P;2014;010000099;010780120;N2710;1;;0.3
SSR_P;2014;010000099;010780120;NAUT;2;4;2.1
SSR_P;2014;010000099;010780120;NCINF;3;8;4.78
SSR_P;2014;010000107;010780138;M1320;;3;0.92
SSR_P;2014;010000107;010780138;MAUT;;1;0.11
SSR_P;2014;010000107;010780138;N241P;1;;0.46
SSR_P;2014;010000107;010780138;N2450;;1;0.21
SSR_P;2014;010000107;010780138;N2500;12;1;6.92
SSR_P;2014;010000107;010780138;N2710;;1;0.21
SSR_P;2014;010000107;010780138;N310H;;1;0.09
SSR_P;2014;010000107;010780138;N3120;;1;0.24
SSR_P;2014;010000107;010780138;NCINF;6;1;5.62
SSR_P;2014;010000115;010009132;M1320;;1;0.6
SSR_P;2014;010000115;010009132;N241P;;1;0.43
SSR_P;2014;010000115;010009132;N2460;;1;0.08
SSR_P;2014;010000115;010009132;N2500;5;2;5.86
SSR_P;2014;010000115;010009132;N2710;;2;0.33
SSR_P;2014;010000115;010009132;N310H;;1;0.25
SSR_P;2014;010000115;010009132;N3120;;2;0.27
SSR_P;2014;010000115;010009132;NAUT;1;;1.34
SSR_P;2014;010000115;010009132;NCINF;2;3;2.94
SSR_P;2014;010000131;010009132;M1180;1;;1
SSR_P;2014;010000131;010009132;N241P;;2;1.12
SSR_P;2014;010000131;010009132;N2450;;1;0.15
SSR_P;2014;010000131;010009132;N2460;;1;0.2
SSR_P;2014;010000131;010009132;N2500;6;6;8.99
SSR_P;2014;010000131;010009132;N2710;;1;0.33
SSR_P;2014;010000131;010009132;N3120;;1;0.03
SSR_P;2014;010000131;010009132;NAUT;;14;3.56
SSR_P;2014;010000131;010009132;NCINF;3;17;11.35
SSR_P;2014;010000180;010007987;M1010;1;1;1.5
SSR_P;2014;010000180;010007987;M1320;1;1;1.5
SSR_P;2014;010000180;010007987;MAUT;1;0;1
SSR_P;2014;010000180;010007987;N2500;6;1;7.08
SSR_P;2014;010000180;010007987;NCINF;11;4;11.28
SSR_P;2014;010000198;010007987;M1180;2;12;3.61
SSR_P;2014;010000198;010007987;N2500;10;3;11.75
SSR_P;2014;010000198;010007987;NCINF;10;3;11.52
SSR_P;2014;010000214;010007987;M1010;3;1;2.86
SSR_P;2014;010000214;010007987;M1150;1;0;0.9
SSR_P;2014;010000214;010007987;M1180;2;0;1.6
SSR_P;2014;010000214;010007987;M1320;3;1;2.86
SSR_P;2014;010000214;010007987;MAUT;0;0;0.27
SSR_P;2014;010000214;010007987;N2500;61;11;63.04
SSR_P;2014;010000214;010007987;NCINF;36;18;44.23
SSR_P;2014;010002129;750056335;M1010;3;;3
SSR_P;2014;010002129;750056335;M1120;;1;0.06
SSR_P;2014;010002129;750056335;M1180;1;;1
SSR_P;2014;010002129;750056335;M1320;1;;1
SSR_P;2014;010002129;750056335;MAUT;;3;0.2
SSR_P;2014;010002129;750056335;N241P;3;2;4.38
SSR_P;2014;010002129;750056335;N2430;1;;1
SSR_P;2014;010002129;750056335;N2450;;1;0.3
SSR_P;2014;010002129;750056335;N2460;2;1;3
SSR_P;2014;010002129;750056335;N2500;14;7;20.85
SSR_P;2014;010002129;750056335;N3120;;2;1
SSR_P;2014;010002129;750056335;NAUT;12;7;18.58
SSR_P;2014;010002129;750056335;NCINF;13;5;18.11
SSR_P;2014;010005239;010008407;M1010;1;1;1.24
SSR_P;2014;010005239;010008407;M1320;1;1;1.24
SSR_P;2014;010005239;010008407;N2500;8;4;10.98
SSR_P;2014;010005239;010008407;NCINF;7;0;4.8
SSR_P;2014;010009314;010780054;M1010;4;2;3.3
SSR_P;2014;010009314;010780054;N241P;1;1;1.08
SSR_P;2014;010009314;010780054;N2460;1;;0.28
SSR_P;2014;010009314;010780054;N2470;;1;0.37
SSR_P;2014;010009314;010780054;N2500;18;4;20.25
SSR_P;2014;010009314;010780054;N2710;1;;1
SSR_P;2014;010009314;010780054;N3120;;1;0.43
SSR_P;2014;010009314;010780054;NAUT;8;;8.98
SSR_P;2014;010009314;010780054;NCINF;13;5;16.36
SSR_P;2014;010780252;010783009;M1010;1;1;1.14
SSR_P;2014;010780252;010783009;M1120;;2;0.15
SSR_P;2014;010780252;010783009;M1180;1;1;1.2
SSR_P;2014;010780252;010783009;N241P;7;;6.69
