BOR;AN;FI;FI_EJ;TELEMED_A1;TELEMED_B1;TELEMED_A2;TELEMED_B2;TELEMED_A3;TELEMED_B3;TELEMED_A4;TELEMED_B4;TELEMED_A5;TELEMED_A6;TELEMED_B6;NEPHRO_A;NEPHRO_B;NEPHRO_C;NEPHRO_D;NEURO_A;NEURO_B;NEURO_C;NEURO_D;RADIO_A;RADIO_B;RADIO_C;RADIO_D;CARDIO_A;CARDIO_B;CARDIO_C;CARDIO_D;DIABETE_A;DIABETE_B;DIABETE_C;DIABETE_D;DERMATO_A;DERMATO_B;DERMATO_C;DERMATO_D;PSY_A;PSY_B;PSY_C;PSY_D;GER_A;GER_B;GER_C;GER_D;MRARE_A;MRARE_B;MRARE_C;MRARE_D;AUTRE_A;AUTRE_B;AUTRE_C;AUTRE_D
TELEMED;2014;010000024;010780054;1;0;0;1;0;0;0;0;01/03/2010;0;;;;;;1;1;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;010000214;010007987;0;0;0;1;0;0;0;0;;0;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;010005239;010008407;0;0;1;1;0;0;0;0;01/07/2014;0;;0;;0;;;;1;1;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;;;;
TELEMED;2014;010006526;690796552;1;0;0;1;1;0;1;0;29/12/2011;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;020000089;020000022;0;0;0;1;0;0;0;0;;0;;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;020000162;020000063;0;0;1;0;0;0;0;0;01/01/2013;0;;0;;0;;0;;0;;1;3;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;020000535;020000287;0;0;0;1;0;0;0;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;oncologie médicale et neurochirurgie;2
TELEMED;2014;020001061;020004404;0;1;0;0;0;0;0;0;19/12/2014;0;;0;;0;;0;;0;;0;;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;030000061;030780092;1;1;1;0;0;0;0;0;01/01/2013;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;2;0;;1;1;0;;0;;0;;Pneumologie, anesthésie, oncologie;2;;
TELEMED;2014;030000079;030780100;0;0;0;1;0;0;0;0;;;;0;;0;;0;;1;2;0;;;;0;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;Neurochirugie;2
TELEMED;2014;030000087;030780118;0;1;0;1;1;0;0;0;;0;;1;3;;;;;1;3;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;030002208;030002158;0;1;0;1;0;0;0;0;01/01/2014;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;
TELEMED;2014;040003113;330029208;1;0;0;0;1;1;0;0;19/10/2012;0;0;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;040784860;330029208;0;1;0;0;0;1;0;0;19/10/2012;0;0;1;2;1;2;0;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;0;;0;;0;;;;0;;;;;
TELEMED;2014;040787541;330029208;1;1;0;0;1;1;0;0;19/10/2012;0;0;1;2;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;
TELEMED;2014;050000231;050000116;0;1;0;0;0;0;0;0;01/06/2014;0;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;060000163;060780327;1;1;1;1;0;0;0;0;01/01/2008;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;
TELEMED;2014;060000304;060780657;0;1;0;0;0;0;0;0;01/01/2009;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;
TELEMED;2014;060000536;060006889;0;1;0;1;0;0;0;0;11/11/2004;0;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;;
TELEMED;2014;060780491;060790797;0;0;0;1;0;0;0;0;01/01/2014;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;Neurochirurgie;1;Neurochirurgie;1
TELEMED;2014;060785003;060785011;0;0;1;0;1;1;0;0;12/12/2012;1;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TELEMED;2014;060788957;060785011;1;0;1;0;1;1;0;0;12/12/2004;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;1;0;;0;;0;;1;1;0;;1;1;0;;0;;0;;;1;;
TELEMED;2014;060794013;060790797;0;0;1;0;1;0;0;0;01/01/2014;0;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;
