BOR;AN;FI;FI_EJ;LIT;JOU;ENT;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2014;010000065;010780096;30;10671;14;;;;;;;9;3;;;;;2;;;;;;;;
USLD;2014;010000081;010780112;30;10422;20;;;;7;;;3;4;;1;;;33;;2;;18;1;4;;
USLD;2014;010000115;010009132;30;9970;75;;;;;;;;;;;;;;;;;;;;;
USLD;2014;010009314;010780054;94;32846;77;;;24;3;;;39;3;;1;1;;6;;;;;;;;
USLD;2014;010009702;010780054;26;8816;7;;;1;;;;1;;;;;;5;;;;;;;;
USLD;2014;010786259;010008407;18;6564;14;;;;;;;;;;;;;;;;;;;;;
USLD;2014;010789717;010008407;17;5971;12;;;;;;;;;;;;;;;;;;;;;
USLD;2014;020000089;020000022;30;10513;29;0;;5;1;0;;20;1;0;;0;;2;;;3;2;1;;;
USLD;2014;020000162;020000063;60;21268;44;1;0;1;0;2;0;11;1;0;2;0;0;26;0;9;1;3;0;1;0;0
USLD;2014;020000535;020000287;44;14827;29;;;;;;;23;2;;;;;3;;;;11;;;;1
USLD;2014;020004677;020000261;50;17460;38;;;;;;;6;;;;14;;;;;;1;;14;;7
USLD;2014;020005476;020000253;41;14219;11;;;;;;;11;;;;;;;0;10;0;0;0;0;0;0
USLD;2014;020009684;020002085;30;10491;18;;;;1;;;;6;10;;;;;;;;1;;1;;
USLD;2014;030000061;030780092;80;29303;57;;;15;2;9;;6;10;1;;;;12;;0;3;2;0;15;;
USLD;2014;030000079;030780100;60;21711;31;;;;;;;;;;;;;;;;;;;;;
USLD;2014;030000087;030780118;115;40944;43;;;1;3;2;;29;7;1;;;;;882;666;;587;;2;;6
USLD;2014;030000160;030780282;40;14541;10;;;;5;;;;;3;;;;2;;;;4;;1;1;
USLD;2014;040000093;040780215;30;10844;6;;;;;;;;5;;;;;1;;;;;;;;
USLD;2014;040780405;040000168;41;14080;30;0;0;0;7;0;0;10;1;0;11;0;0;1;0;4;0;5;0;0;0;0
USLD;2014;050000132;050007145;25;9027;8;;;;;;;;;;;;;;;;;;;;;
USLD;2014;050000231;050000116;30;10246;15;;;;;;;;;;;;;;;;;;;;;
USLD;2014;050000256;050000124;30;10315;11;;;;;;;7;1;;;;;3;;;;;;;;3
USLD;2014;050000348;050002948;50;1666;17;0;0;0;0;0;0;3;0;0;0;0;0;0;;;;1;;0;0;0
USLD;2014;050006436;050002948;0;16343;22;0;0;0;0;23;;26;0;0;0;0;;17;0;0;0;2;0;0;0;0
USLD;2014;060000510;060780954;20;6451;34;;;;;;;;;;;;;34;;;;;;;;
USLD;2014;060000551;060781010;41;14359;25;;;;16;;;;3;;;;;2;;;;;;3;;
USLD;2014;060019213;060005188;34;12218;31;;;;4;;;;6;;;;;21;;;45;;;2;8;2
USLD;2014;060788957;060785011;61;21846;25;;;;;3;;13;;;;;;8;85;;10;1;;3;;
USLD;2014;060790177;060785011;40;14255;8;;;;;;;7;;;;;;1;2;;;;;4;;2
USLD;2014;060790631;060791761;30;10428;19;;;9;;;;5;3;;;;;2;;;4;8;0;2;1;0
USLD;2014;060790680;060780897;30;10633;11;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0
USLD;2014;060791811;750826638;75;27101;40;;;;;;;;;;;;;;;;;;;;;
USLD;2014;060794021;060780988;54;19104;20;;;1;;;;4;;;;;;15;;;;;;2;;
USLD;2014;070000047;070780127;75;25047;46;;;;;;;25;10;;;;;11;;;;11;;10;;2
USLD;2014;070784517;070002878;60;21833;17;0;;0;;0;;13;;0;;0;;4;0;0;0;14;0;1;0;0
USLD;2014;080000110;080000037;43;15397;23;;;2;;2;;9;;;;10;;0;6;0;0;0;0;4;3;0
USLD;2014;080000219;080001969;2;640;3;;;;;;;3;;;;;;;;;;;;;;
USLD;2014;080000276;080001969;20;2990;28;;;2;;;;15;;;;;;11;0;0;0;0;0;;;
USLD;2014;080005960;080000615;65;22074;21;19;;0;;0;;1;;0;;1;;;4;0;0;0;0;0;0;0
USLD;2014;100000116;100000041;30;10620;25;;;;5;;;13;;;;;;7;0;0;0;0;0;3;1;0
USLD;2014;100000140;100000058;30;10613;20;0;0;0;0;0;5;10;0;0;0;0;0;5;0;0;3;0;0;2;0;0
USLD;2014;100000801;100006279;40;12814;28;0;;4;;5;;16;2;;;;;1;;;;;;3;1;0
USLD;2014;100006493;100000017;70;24913;44;;;12;;3;;27;;;;2;;;;;;;;;;
USLD;2014;110000049;110780087;30;10682;36;;;6;1;;;9;;;;;;20;;;;;;4;;
USLD;2014;110000247;110780772;30;10855;51;;;9;1;;;;;;;;;41;;;;7;;34;;
USLD;2014;110006137;110780061;30;10885;20;;;1;;;;;7;1;;;;11;;;;3;;8;;
USLD;2014;110781283;110780137;90;31545;36;;;11;;;;;4;1;;5;15;;;;;24;;2;;14
USLD;2014;110786746;110786324;30;10248;19;;;;;;;14;2;;;;;3;;;;;;1;;
USLD;2014;120000070;120780085;30;11169;32;0;0;4;0;0;0;20;1;0;1;0;0;6;;;;;;7;0;0
USLD;2014;120000088;120780093;30;10965;17;;;1;1;;;14;;;1;;;;;;3;;;3;2;
USLD;2014;120000096;120780101;30;9338;34;;;4;11;;;2;3;;;;;14;;17;;;;18;;
USLD;2014;120000153;120780291;40;14344;19;;;;2;;1;3;1;;4;;;8;;;;;;;;
USLD;2014;120004668;120004619;40;13292;30;0;;3;1;8;;13;2;;1;0;;0;;;2;;;5;1;1
USLD;2014;120782263;120780069;80;27243;133;;;88;;;;5;;;;;;40;;31;;;;;;
USLD;2014;120783097;120004528;50;17776;25;0;;2;;0;;22;;0;;0;;1;0;0;0;0;0;3;0;0
USLD;2014;120786959;120780044;30;10299;47;;;19;;;5;20;2;;;;;;;;;;;3;;7
USLD;2014;130000516;130781339;56;19737;36;;;6;2;;;11;7;;;;;10;;;;;;4;1;
