BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;COMEHPAD
USLD_P;2014;010000065;010780096;MEDCH;;1;0.5;0
USLD_P;2014;010000065;010780096;N2210;3;3;6.55;0
USLD_P;2014;010000065;010780096;N2410;1;;0.5;0
USLD_P;2014;010000065;010780096;N2470;;1;0.1;0
USLD_P;2014;010000065;010780096;N2510;11;2;10.86;0
USLD_P;2014;010000065;010780096;N3120;;1;0.1;1
USLD_P;2014;010000065;010780096;NAUT;0;1;0.53;0
USLD_P;2014;010000081;010780112;MEDCH;;2;0.82;1
USLD_P;2014;010000081;010780112;N2210;4;3;5.65;1
USLD_P;2014;010000081;010780112;N2410;;1;0.13;1
USLD_P;2014;010000081;010780112;N2460;;1;0.2;0
USLD_P;2014;010000081;010780112;N2510;4;;3.09;1
USLD_P;2014;010000081;010780112;N3120;;1;0.12;1
USLD_P;2014;010000081;010780112;NAUT;6;20;15.33;1
USLD_P;2014;010000115;010009132;N2210;4;4;4.84;1
USLD_P;2014;010000115;010009132;N2410;;;1;0
USLD_P;2014;010000115;010009132;N2460;;1;0.15;1
USLD_P;2014;010000115;010009132;N2510;11;2;12.19;1
USLD_P;2014;010000115;010009132;N3120;;3;0.28;1
USLD_P;2014;010000115;010009132;NAUT;8;2;8.75;0
USLD_P;2014;010009314;010780054;MEDCH;3;;2.4;0
USLD_P;2014;010009314;010780054;N2210;14;1;14.8;
USLD_P;2014;010009314;010780054;N2460;1;;0.3;
USLD_P;2014;010009314;010780054;N2470;;1;0.39;
USLD_P;2014;010009314;010780054;N2510;22;5;24.99;
USLD_P;2014;010009314;010780054;NAUT;12;2;12.8;
USLD_P;2014;010009702;010780054;MEDCH;1;;0.2;1
USLD_P;2014;010009702;010780054;N2210;5;1;5.2;
USLD_P;2014;010009702;010780054;N2510;7;4;10.43;
USLD_P;2014;010009702;010780054;NAUT;4;1;4.4;
USLD_P;2014;010786259;010008407;MEDCH;2;0;0.52;
USLD_P;2014;010786259;010008407;N2210;3;1;2.65;
USLD_P;2014;010786259;010008407;N2410;0;1;0.65;
USLD_P;2014;010786259;010008407;N2510;5;4;7.87;
USLD_P;2014;010786259;010008407;NAUT;8;0;5.51;
USLD_P;2014;010789717;010008407;MEDCH;2;0;0.92;
