"";"ID_POINT_D_ACCUEIL";"FINESS";"STR_A1"
"1";"010000024G1";"010000024";"CH DE FLEYRIAT"
"2";"010000032G1";"010000032";"CH BUGEY SUD"
"3";"010005239G1";"010005239";"CH DU HAUT BUGEY - GEOVREISSET"
"4";"010780195G1";"010780195";"CLINIQUE CONVERT"
"5";"010780203G1";"010780203";"HOPITAL PRIVE D AMBERIEU"
"6";"020000162A1";"020000162";"CH SAINT-QUENTIN"
"7";"020000162P1";"020000162";"CH SAINT-QUENTIN"
"8";"020000394A1";"020000394";"CH LAON"
"9";"020000394P1";"020000394";"CH LAON"
"10";"020000519A1";"020000519";"CH SOISSONS"
"11";"020000519P1";"020000519";"CH SOISSONS"
"12";"020000535G1";"020000535";"CH CHAUNY"
"13";"020001061G1";"020001061";"CH CHATEAU-THIERRY"
"14";"020001087G1";"020001087";"CH HIRSON"
"15";"020010047G1";"020010047";"HOPITAL PRIVE SAINT CLAUDE"
"16";"030000061G1";"030000061";"CH DE MOULINS"
"17";"030000079G1";"030000079";"CH DE MONTLUCON"
"18";"030000087G1";"030000087";"CH JACQUES LACARIN VICHY"
"19";"040000093G1";"040000093";"CHI DE MANOSQUE LOUIS RAFFALLI"
"20";"040000135G1";"040000135";"CHI DES ALPES DU SUD SITE DE SISTERON"
"21";"040000911G1";"040000911";"CENTRE HOSPITALIER DE DIGNE LES BAINS"
"22";"050000231G1";"050000231";"CH DES ESCARTONS DE BRIANCON"
"23";"050000256G1";"050000256";"CENTRE HOSPITALIER D EMBRUN"
"24";"050000348G1";"050000348";"CHI DES ALPES DU SUD SITE DE GAP"
"25";"060000478G1";"060000478";"CENTRE HOSPITALIER DE GRASSE"
"26";"060000510G1";"060000510";"CH D ANTIBES JUAN LES PINS"
"27";"060000544G1";"060000544";"CH DE CANNES SIMONE VEIL"
"28";"060002102G1";"060002102";"CH LA PALMOSA DE MENTON"
"29";"060780491G1";"060780491";"INSTITUT ARNAULT TZANCK"
